iter	RMSE
156	0.5199620932
157	0.5177848194
158	0.5162898129
159	0.514401694
160	0.5120864376
161	0.510922726
162	0.508220813
163	0.5069227819
164	0.5050328201
165	0.5034214625
166	0.5021888339
167	0.5006506167
168	0.4984301781
169	0.4968857642
170	0.4946407441
171	0.492432165
172	0.4908191072
173	0.4893027328
174	0.4877359951
175	0.486030295
176	0.4844448792
177	0.4827267587
178	0.4817224767
179	0.480207096
180	0.4790964336
181	0.4774006116
182	0.4757212986
183	0.4743471994
184	0.4732283428
185	0.4709247532
186	0.4696680136
187	0.4672036056
188	0.4661013925
189	0.4632793058
190	0.4608175752
191	0.4595643676
192	0.4574030269
193	0.4568202074
194	0.4553441297
195	0.4540083615
196	0.4520658624
197	0.4512169193
198	0.4500736964
199	0.4493688136
200	0.4478161652
201	0.4465694341
202	0.4450011451
203	0.4433875826
204	0.4428577744
205	0.4413410666
206	0.4395394473
207	0.4380027787
208	0.4368355119
209	0.4350344877
210	0.4336179874
211	0.4319753835
212	0.4301378144
213	0.4288309418
214	0.4272100961
215	0.425391387
216	0.4247542403
217	0.4242888406
218	0.4233325962
219	0.4217168803
220	0.4199713447
221	0.4193976422
222	0.4189144632
223	0.4175409849
224	0.4164211783
225	0.4155119732
226	0.4142271431
227	0.412796422
228	0.411439948
229	0.4104237302
230	0.4084206316
231	0.4065876283
232	0.4050329553
233	0.403163602
234	0.4025534464
235	0.4011121818
236	0.4006088506
237	0.399291771
238	0.3988653438
239	0.3969309913
240	0.3957904428
241	0.3940810472
242	0.3930419689
243	0.3919222258
244	0.3914970449
245	0.3901161547
246	0.3895737167
247	0.3880571327
248	0.3868043076
249	0.3864239434
250	0.3847173206
251	0.3836485176
252	0.3824262249
253	0.3812443232
254	0.3802358338
255	0.3793179259
256	0.3780841342
257	0.376487255
258	0.3754160814
259	0.3743379973
260	0.3732289804
261	0.3719524302
262	0.3710938916
263	0.3701729684
264	0.3697142799
265	0.369151432
266	0.3678320973
267	0.3669087817
268	0.3655628394
269	0.3651552327
270	0.3641158397
271	0.362784397
272	0.3616794081
273	0.3605502634
274	0.3596523321
275	0.3585105735
276	0.3574700238
277	0.3561966838
278	0.3550275068
279	0.354545683
280	0.3532244104
281	0.3518165762
282	0.3504338778
283	0.3496030303
284	0.3483457964
285	0.3476149192
286	0.3464791122
287	0.345583845
288	0.3451934028
289	0.3444131048
290	0.3440372799
291	0.3427924246
292	0.3416492899
293	0.3407037352
294	0.3400955397
295	0.3386756812
296	0.3376107371
297	0.3365395346
298	0.3355595
299	0.3347458493
300	0.3340861567
301	0.3337590498
302	0.3327236208
303	0.3319539205
304	0.3312948388
305	0.3300482013
306	0.3291558563
307	0.3280413552
308	0.3273711361
309	0.3264614206
310	0.325286727
311	0.3241308191
312	0.3236558127
313	0.3223348053
314	0.3219709474
315	0.3206087967
316	0.3197555614
317	0.3195089593
318	0.318047867
319	0.3171759722
320	0.3159647015
321	0.3149533912
322	0.314078481
323	0.3131781332
324	0.3129510039
325	0.3121228959
326	0.3113303412
327	0.3104636295
328	0.3093946701
329	0.3089486944
330	0.3081036518
331	0.307340835
332	0.3067311427
333	0.3060472967
334	0.3052075314
335	0.304445805
336	0.3031704806
337	0.3026652962
338	0.3020131141
339	0.3008832425
340	0.3003820448
341	0.2992044917
342	0.2981911594
343	0.2972943672
344	0.2967670019
345	0.2954124745
346	0.2948838411
347	0.2937247907
348	0.2933127331
349	0.2925412905
350	0.2919427266
351	0.2910884204
352	0.2900873761
353	0.2892600631
354	0.2884360628
355	0.2879519268
356	0.287768905
357	0.2866621049
358	0.286275862
359	0.2854322403
360	0.2845454986
361	0.2838181339
362	0.2828897082
363	0.2816610217
364	0.2811579126
365	0.2804034466
366	0.2791687627
367	0.2785595353
368	0.2778487329
369	0.2775211908
370	0.2769072264
371	0.2762813333
372	0.2755759151
373	0.2749751841
374	0.2743153082
375	0.2735495835
376	0.2730650969
377	0.2725882981
378	0.2716757362
379	0.2711904655
380	0.2710004002
381	0.2704961353
382	0.2693903554
383	0.2688404521
384	0.2682570988
385	0.2676118408
386	0.2671710187
387	0.2665032983
388	0.2656375909
389	0.2650761563
390	0.264413999
391	0.2640196174
392	0.2630594201
393	0.2621255346
394	0.2613144931
395	0.2610409393
396	0.2600798212
397	0.2591626985
398	0.2584843784
399	0.2577745987
400	0.2569759639
401	0.2561644973
402	0.2555688303
403	0.2549713837
404	0.2541579125
405	0.2532541072
406	0.2523192844
407	0.2519054061
408	0.2511718184
409	0.2503145079
410	0.2499595251
411	0.2493393679
412	0.2488929499
413	0.2487460814
414	0.2486004484
415	0.248009289
416	0.2475211045
417	0.2469924011
418	0.2465132186
419	0.246187018
420	0.2459566527
421	0.245619339
422	0.2454853204
423	0.2448585375
424	0.2439742858
425	0.2428487569
426	0.2425959996
427	0.2418276827
428	0.2409278534
429	0.2400366804
430	0.2392723129
431	0.2388279522
432	0.2382334075
433	0.2374370711
434	0.2367159936
435	0.2365871892
436	0.2364875144
437	0.2357551151
438	0.2355708207
439	0.2350681109
440	0.234104441
441	0.2334481385
442	0.232862632
443	0.2320225426
444	0.2315123486
445	0.2307463193
446	0.2296995786
447	0.2290124129
448	0.2282277077
449	0.2278657451
450	0.2272348954
451	0.2271051567
452	0.2264471488
453	0.2259036724
454	0.2254696894
455	0.2250268659
456	0.2249049615
457	0.2240381788
458	0.2235096471
459	0.2230122975
460	0.2228311946
461	0.2223548044
462	0.2215059584
463	0.2213697764
464	0.2208686944
465	0.2205116389
466	0.2196273453
467	0.2189213616
468	0.2186630581
469	0.2185726066
470	0.2179978617
471	0.2171630514
472	0.2167221934
473	0.215897785
474	0.2152552421
475	0.2151446183
476	0.2148501832
477	0.2142364745
478	0.2137249205
479	0.2130486512
480	0.2121512327
481	0.2115981754
482	0.2112549255
483	0.2106601629
484	0.2099538147
485	0.209103766
486	0.2086003554
487	0.2081431597
488	0.2076413158
489	0.207088263
490	0.2067066616
491	0.2060151355
492	0.2056432048
493	0.2050874931
494	0.2047372879
495	0.204242729
496	0.2038675633
497	0.2032457194
498	0.2029000601
499	0.2025444416
