Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ernest Nuamah,gh GHA,"FW,MF",Lyon,19,2003,29,21,"1,838",20.4,3,2,5,3,0,0,4,0,4.0,4.0,3.8,7.8,105,74,237,0.15,0.10,0.24,0.15,0.24,0.20,0.19,0.38,0.20,0.38,Matches
Gerzino Nyamsi,fr FRA,DF,Strasbourg,26,1997,13,13,"1,092",12.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,3,25,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Rabby Nzingoula,cg CGO,"MF,FW",Strasbourg,17,2005,6,1,133,1.5,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,3,8,6,0.00,0.68,0.68,0.00,0.68,0.06,0.07,0.14,0.06,0.14,Matches
Jake O'Brien,ie IRL,DF,Lyon,22,2001,27,27,"2,369",26.3,4,2,6,4,0,0,4,1,3.6,3.6,1.1,4.7,15,68,2,0.15,0.08,0.23,0.15,0.23,0.14,0.04,0.18,0.14,0.18,Matches
Florent Ogier,fr FRA,DF,Clermont Foot,34,1989,14,9,943,10.5,1,1,2,1,0,0,1,0,0.6,0.6,0.5,1.1,4,17,0,0.10,0.10,0.19,0.10,0.19,0.06,0.05,0.10,0.06,0.10,Matches
Joseph Okumu,ke KEN,DF,Reims,26,1997,21,19,"1,743",19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.0,1.5,15,94,3,0.05,0.00,0.05,0.05,0.05,0.08,0.00,0.08,0.08,0.08,Matches
Warmed Omari,km COM,DF,Rennes,23,2000,25,23,"2,071",23.0,1,0,1,1,0,0,5,1,0.7,0.7,0.3,0.9,22,123,1,0.04,0.00,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,Matches
Becir Omeragic,ch SUI,"DF,MF",Montpellier,21,2002,28,26,"2,312",25.7,0,0,0,0,0,0,4,0,0.5,0.5,0.7,1.2,21,71,12,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Jean Onana,cm CMR,MF,Marseille,23,2000,13,5,566,6.3,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,9,32,9,0.16,0.00,0.16,0.16,0.16,0.13,0.01,0.15,0.13,0.15,Matches
Royce Openda Owaga,ga GAB,FW,Lorient,21,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Operi,ci CIV,DF,Le Havre,26,1997,28,28,"2,445",27.2,3,4,7,3,0,0,6,0,1.2,1.2,4.0,5.1,31,82,111,0.11,0.15,0.26,0.11,0.26,0.04,0.15,0.19,0.04,0.19,Matches
Gift Orban,ng NGA,FW,Lyon,21,2002,13,5,474,5.3,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.1,8,6,33,0.19,0.00,0.19,0.19,0.19,0.21,0.00,0.21,0.21,0.21,Matches
Kassoum Ouattara,fr FRA,"DF,FW",Monaco,18,2004,14,7,636,7.1,1,0,1,1,0,0,2,0,1.3,1.3,1.3,2.6,32,22,67,0.14,0.00,0.14,0.14,0.14,0.18,0.19,0.37,0.18,0.37,Matches
Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,"2,987",33.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Azzedine Ounahi,ma MAR,MF,Marseille,23,2000,21,15,"1,209",13.4,2,0,2,2,0,0,3,0,1.0,1.0,1.4,2.4,32,98,70,0.15,0.00,0.15,0.15,0.15,0.07,0.11,0.18,0.07,0.18,Matches
Adam Ounas,dz ALG,FW,Lille,26,1996,17,3,418,4.6,1,0,1,1,0,0,0,0,0.6,0.6,1.9,2.6,20,20,40,0.22,0.00,0.22,0.22,0.22,0.14,0.41,0.55,0.14,0.55,Matches
Patrick Ouotro,ci CIV,FW,Strasbourg,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Pagis,fr FRA,MF,Lorient,20,2002,3,3,165,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,5,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
