Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,30,14,"1,267",14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,4.1,4.1,2.0,6.1,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2.0,5.5,52,26,96,0.30,0.10,0.39,0.30,0.39,0.34,0.20,0.54,0.34,0.54,Matches
Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,3.3,3.3,2.3,5.6,32,39,131,0.40,0.60,1.00,0.40,1.00,0.33,0.23,0.56,0.33,0.56,Matches
Felix Agu,de GER,"DF,MF",Werder Bremen,23,1999,24,19,"1,614",17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,32,32,90,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,26,15,"1,360",15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,5,21,88,0.13,0.00,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,17,11,"1,097",12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches
Faride Alidou,de GER,"FW,MF",Köln,22,2001,26,14,"1,282",14.2,4,0,4,4,0,0,4,0,3.0,3.0,0.6,3.6,51,33,95,0.28,0.00,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26,Matches
Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.00,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27,Matches
Nadiem Amiri,de GER,MF,Mainz 05,26,1996,15,15,"1,315",14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.30,0.45,0.10,0.39,Matches
Nadiem Amiri,de GER,MF,Leverkusen,26,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,6,6,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,28,18,"1,690",18.8,4,2,6,4,0,0,4,0,1.7,1.7,1.8,3.5,20,97,14,0.21,0.11,0.32,0.21,0.32,0.09,0.10,0.19,0.09,0.19,Matches
Waldemar Anton,de GER,DF,Stuttgart,27,1996,33,32,"2,886",32.1,0,3,3,0,0,0,7,0,1.7,1.7,1.0,2.7,38,172,15,0.00,0.09,0.09,0.00,0.09,0.05,0.03,0.09,0.05,0.09,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29,1994,25,11,"1,216",13.5,2,2,4,2,0,0,5,0,2.2,2.2,3.5,5.7,50,28,138,0.15,0.15,0.30,0.15,0.30,0.16,0.26,0.42,0.16,0.42,Matches
Asaf Arania,il ISR,MF,Darmstadt 98,17,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,30,27,"2,506",27.8,2,1,3,2,0,0,9,0,1.0,1.0,3.9,4.9,20,143,19,0.07,0.04,0.11,0.07,0.11,0.04,0.14,0.18,0.04,0.18,Matches
Arthur,br BRA,DF,Leverkusen,20,2003,4,2,184,2.0,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.4,8,7,28,0.00,0.98,0.98,0.00,0.98,0.04,0.15,0.19,0.04,0.19,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,28,1994,29,26,"1,986",22.1,6,1,7,6,0,0,2,0,7.9,7.9,1.3,9.2,56,32,167,0.27,0.05,0.32,0.27,0.32,0.36,0.06,0.42,0.36,0.42,Matches
Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
