Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tammy Abraham,eng ENG,FW,Roma,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,4,15,0.37,0.00,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,Matches
Francesco Acerbi,it ITA,DF,Inter,35,1988,29,26,"2,388",26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,Matches
Yacine Adli,fr FRA,MF,Milan,23,2000,24,17,"1,407",15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,Matches
Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,26,"2,230",24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Lucien Agoume,fr FRA,MF,Inter,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marley Aké,fr FRA,FW,Udinese,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luis Alberto,es ESP,MF,Lazio,30,1992,33,29,"2,311",25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83,212,124,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37,Matches
