names,urls
Maxence Caqueret,/en/players/f81ef10d/Maxence-Caqueret
Andrea Carboni,/en/players/f7e2af2c/Andrea-Carboni
Franco Carboni,/en/players/b033f803/Franco-Carboni
Marco Carnesecchi,/en/players/8ec56e62/Marco-Carnesecchi
Cesare Casadei,/en/players/fb920f3a/Cesare-Casadei
Nicolò Casale,/en/players/3f5f38fb/Nicolo-Casale
Nicolò Casale,/en/players/3f5f38fb/Nicolo-Casale
Federico Cassa,/en/players/5f209d47/Federico-Cassa
Valentín Castellanos,/en/players/da76bab4/Valentin-Castellanos
Santiago Castro,/en/players/ee5565ae/Santiago-Castro
Gaetano Castrovilli,/en/players/0728bebe/Gaetano-Castrovilli
Gaetano Castrovilli,/en/players/0728bebe/Gaetano-Castrovilli
Danilo Cataldi,/en/players/ba3d3bea/Danilo-Cataldi
Zeki Çelik,/en/players/31a62dc7/Zeki-Celik
Alberto Cerri,/en/players/1079c685/Alberto-Cerri
Gabriel Charpentier,/en/players/c52bea9e/Gabriel-Charpentier
Walid Cheddira,/en/players/0545a08e/Walid-Cheddira
Leandro Chichizola,/en/players/8d957256/Leandro-Chichizola
Samuel Chukwueze,/en/players/b8a642fc/Samuel-Chukwueze
Aaron Ciammaglichella,/en/players/20525799/Aaron-Ciammaglichella
Alessandro Circati,/en/players/1223765c/Alessandro-Circati
Alphadjo Cissè,/en/players/d079becb/Alphadjo-Cisse
Patrick Ciurria,/en/players/5de3866c/Patrick-Ciurria
Saúl Coco,/en/players/d0ee1652/Saul-Coco
Lorenzo Colombo,/en/players/04df29a5/Lorenzo-Colombo
Andrea Colpani,/en/players/6499048c/Andrea-Colpani
Florinel Coman,/en/players/a9440c25/Florinel-Coman
Pietro Comuzzo,/en/players/5e3ecc35/Pietro-Comuzzo
Francisco Conceição,/en/players/5ef3d210/Francisco-Conceicao
Diego Coppola,/en/players/22ae86f9/Diego-Coppola
Maxwel Cornet,/en/players/beb391dd/Maxwel-Cornet
Joaquín Correa,/en/players/45b9b619/Joaquin-Correa
Alberto costa,/en/players/4d36e5ae/Alberto-costa
Lassana Coulibaly,/en/players/85a44ecc/Lassana-Coulibaly
Woyo Coulibaly,/en/players/beb6e3a6/Woyo-Coulibaly
Bryan Cristante,/en/players/16657b95/Bryan-Cristante
Domen Črnigoj,/en/players/22cd43d2/Domen-Crnigoj
Juan Cuadrado,/en/players/0ab1f153/Juan-Cuadrado
Patrick Cutrone,/en/players/a4fe8cda/Patrick-Cutrone
Wylan Cyprien,/en/players/3e092724/Wylan-Cyprien
Danilo D'Ambrosio,/en/players/44eb9093/Danilo-DAmbrosio
Lucas Da Cunha,/en/players/007faf7a/Lucas-Da-Cunha
Samuel Dahl,/en/players/bbe7d20b/Samuel-Dahl
Thijs Dallinga,/en/players/b70afb45/Thijs-Dallinga
Maat Daniel Caprini,/en/players/183934cd/Maat-Daniel-Caprini
Flavius Daniliuc,/en/players/7ef972c3/Flavius-Daniliuc
Danilo,/en/players/94b2001f/Danilo
Matteo Darmian,/en/players/96e0490d/Matteo-Darmian
Juan David Cabal,/en/players/ef6eef89/Juan-David-Cabal
Keinan Davis,/en/players/9deaf2c8/Keinan-Davis
Paweł Dawidowicz,/en/players/16bb656a/Pawel-Dawidowicz
Charles De Ketelaere,/en/players/2ef7c612/Charles-De-Ketelaere
Mattia De Sciglio,/en/players/ae4e2852/Mattia-De-Sciglio
Lorenzo De Silvestri,/en/players/e74f0e59/Lorenzo-De-Silvestri
Koni De Winter,/en/players/f4797849/Koni-De-Winter
Alessandro Deiola,/en/players/7f267d66/Alessandro-Deiola
Enrico Del Prato,/en/players/4c6f9258/Enrico-Del-Prato
