name,Squad,position,TIS
Dani de Wit,Bochum,Attacking Midfield,27.808333333333334
Pablo Marín,Real Sociedad,Attacking Midfield,27.770788722341187
Merlin Röhl,Freiburg,Attacking Midfield,27.536549707602337
Félix Lemaréchal,Strasbourg,Attacking Midfield,27.414882545346416
Kirian Rodríguez,Las Palmas,Attacking Midfield,27.00559347743648
Paul Wanner,Heidenheim,Attacking Midfield,26.87169312169312
Gianluca Caprari,Monza,Attacking Midfield,26.85207147375079
Teun Koopmeiners,Juventus,Attacking Midfield,26.262730820483537
Giovanni Fabbian,Bologna,Attacking Midfield,26.022003185981678
Grigoris Kastanos,Hellas Verona,Attacking Midfield,25.873655913978496
Gaetano Oristanio,Venezia,Attacking Midfield,25.467087195331274
Jude Bellingham,Real Madrid,Attacking Midfield,25.4598414088344
Maximilian Philipp,Freiburg,Attacking Midfield,25.0
Ayanda Sishuba,Hellas Verona,Attacking Midfield,25.0
Lucas Beltrán,Fiorentina,Attacking Midfield,24.965346263423186
Mason Mount,Manchester Utd,Attacking Midfield,24.633940620782727
Anass Zaroury,Lens,Attacking Midfield,24.489026063100138
Brais Méndez,Real Sociedad,Attacking Midfield,24.355970346836113
Lorenzo Pellegrini,Roma,Attacking Midfield,23.262936221419977
Augustine Boakye,Saint-Étienne,Attacking Midfield,23.04484993178718
Finn Porath,Holstein Kiel,Attacking Midfield,22.909929835265405
Bernardo Silva,Manchester City,Attacking Midfield,22.754469434832757
James Maddison,Tottenham,Attacking Midfield,22.603542083055743
Alberto Moleiro,Las Palmas,Attacking Midfield,22.276754385964914
Darryl Bakola,Marseille,Attacking Midfield,21.875
Téji Savanier,Montpellier,Attacking Midfield,21.69494577190307
Adam Lallana,Southampton,Attacking Midfield,21.641274238227147
Daichi Kamada,Crystal Palace,Attacking Midfield,21.35057471264368
Justin Kluivert,Bournemouth,Attacking Midfield,21.05086114101184
Daniel Maldini,Monza,Attacking Midfield,20.76856814701378
John Yeboah,Venezia,Attacking Midfield,20.208333333333336
Adrien Thomasson,Lens,Attacking Midfield,20.106039205615478
Aimar Oroz,Osasuna,Attacking Midfield,19.58010255127564
Christoph Baumgartner,RB Leipzig,Attacking Midfield,18.966954022988503
Omari Hutchinson,Ipswich Town,Attacking Midfield,18.5889396780747
Enzo Millot,Stuttgart,Attacking Midfield,18.520555555555553
Selim Amallah,Valladolid,Attacking Midfield,16.742080547596306
Randy Nteka,Rayo Vallecano,Attacking Midfield,16.453565980167813
Lucas Paquetá,West Ham,Attacking Midfield,15.846135265700482
Bruno Fernandes,Manchester Utd,Attacking Midfield,15.611962071480672
Facundo Buonanotte,Leicester City,Attacking Midfield,14.616769547325104
Andreas Pereira,Fulham,Attacking Midfield,13.745937009639096
Morgan Rogers,Aston Villa,Attacking Midfield,12.380136986301368
