name,Squad,position,TIS
Boubacar Traoré,Wolves,Defensive Midfield,27.004642535418633
Mahmut Kücüksahin,Augsburg,Defensive Midfield,27.004642535418633
Niklas Swider,Gladbach,Defensive Midfield,27.004642535418633
Tyler Morton,Liverpool,Defensive Midfield,27.004642535418633
Paul Akouokou,Lyon,Defensive Midfield,27.004642535418633
Leonardo Colombo,Monza,Defensive Midfield,27.004642535418633
Kaden Rodney,Crystal Palace,Defensive Midfield,27.004642535418633
Luka Janes,Heidenheim,Defensive Midfield,27.004642535418633
Patrick Erras,Holstein Kiel,Defensive Midfield,26.967251498501504
Hamzat Ojediran,Lens,Defensive Midfield,26.87193685373977
Lesley Ugochukwu,Southampton,Defensive Midfield,26.802496214507155
Bryan Cristante,Roma,Defensive Midfield,26.706634807032867
James Garner,Everton,Defensive Midfield,26.53210001667352
Pape Gueye,Villarreal,Defensive Midfield,26.380331215092543
Anton Stach,Hoffenheim,Defensive Midfield,26.261831453889517
Marc Bernal,Barcelona,Defensive Midfield,26.249300938296155
Amadou Onana,Aston Villa,Defensive Midfield,26.06399624471914
Johnny Cardoso,Betis,Defensive Midfield,25.93849950228184
Lennard Maloney,Heidenheim,Defensive Midfield,25.937601179983453
Cheikh Niasse,Hellas Verona,Defensive Midfield,25.820168716540085
Soungoutou Magassa,Monaco,Defensive Midfield,25.49639309846737
Oussama El Azzouzi,Bologna,Defensive Midfield,25.000000000000004
Enzo Barrenechea,Valencia,Defensive Midfield,24.64104068331172
Tyler Adams,Bournemouth,Defensive Midfield,24.556158449406993
Sander Berge,Fulham,Defensive Midfield,24.556046134993505
Oliver Skipp,Leicester City,Defensive Midfield,24.32695842769487
Jefferson Lerma,Crystal Palace,Defensive Midfield,24.317836949757442
Rolando Mandragora,Fiorentina,Defensive Midfield,24.231584081843536
Emre Can,Dortmund,Defensive Midfield,24.108872592369476
Roméo Lavia,Chelsea,Defensive Midfield,24.08168404606869
Joris Chotard,Montpellier,Defensive Midfield,24.035324675324677
Christian Nørgaard,Brentford,Defensive Midfield,23.84840296764639
Nicolas Höfler,Freiburg,Defensive Midfield,23.74178625403017
Ellyes Skhiri,Eint Frankfurt,Defensive Midfield,22.987934746549527
André,Wolves,Defensive Midfield,22.879655522192767
Rodrigo Bentancur,Tottenham,Defensive Midfield,22.679208003565414
Oriol Romeu,Girona,Defensive Midfield,22.61899408466484
Ibrahima Sissoko,Bochum,Defensive Midfield,22.2908780151658
Arthur Vermeeren,Atlético Madrid,Defensive Midfield,22.156846202981697
Ylber Ramadani,Lecce,Defensive Midfield,22.0017220785735
Yves Bissouma,Tottenham,Defensive Midfield,21.953793574846213
Antoine Makoumbou,Cagliari,Defensive Midfield,21.08954121239056
Robert Andrich,Leverkusen,Defensive Midfield,20.769408859391884
Elisha Owusu,Auxerre,Defensive Midfield,20.725718142357174
Nemanja Gudelj,Sevilla,Defensive Midfield,20.638687920892362
Renato Tapia,Leganés,Defensive Midfield,19.8867031866709
Jesper Karlström,Udinese,Defensive Midfield,19.336070700453703
Julian Weigl,Gladbach,Defensive Midfield,18.79688328637956
Guido Rodríguez,West Ham,Defensive Midfield,18.633665149734085
Benjamin André,Lille,Defensive Midfield,18.316856358118233
Samuele Ricci,Torino,Defensive Midfield,18.212219830444496
Rani Khedira,Union Berlin,Defensive Midfield,18.140615402975435
Alberto Grassi,Empoli,Defensive Midfield,17.845187122102256
Omar Mascarell,Mallorca,Defensive Midfield,17.37593800723323
Carlos Baleba,Brighton,Defensive Midfield,17.277539860783683
Boubakary Soumaré,Leicester City,Defensive Midfield,16.68314422419686
Moisés Caicedo,Chelsea,Defensive Midfield,16.373862775331563
Senne Lynen,Werder Bremen,Defensive Midfield,16.142349270840896
Reda Belahyane,Hellas Verona,Defensive Midfield,15.607963872835947
Kalvin Phillips,Ipswich Town,Defensive Midfield,15.487794160726496
Nicolò Rovella,Lazio,Defensive Midfield,14.902302778890803
Rabby Nzingoula,Montpellier,Defensive Midfield,14.682730910591733
Flynn Downes,Southampton,Defensive Midfield,13.496795910756838
Atakan Karazor,Stuttgart,Defensive Midfield,13.210676541503608
Mandela Keita,Parma,Defensive Midfield,12.862132130036779
Lucas Torró,Osasuna,Defensive Midfield,12.710125482055307
Dominik Kohr,Mainz 05,Defensive Midfield,12.429651113861642
Antonio Blanco,Alavés,Defensive Midfield,11.70301982301756
Edson Álvarez,West Ham,Defensive Midfield,11.645850634878578
Yvan Neyou,Leganés,Defensive Midfield,11.001191407366772
Mario Martín,Valladolid,Defensive Midfield,10.016178988369965
