name,Squad,position,TIS
Leo Román,Mallorca,Goalkeeper,25.0
Lasse Rieß,Mainz 05,Goalkeeper,25.0
Kjetil Haug,Toulouse,Goalkeeper,25.0
Justin Lacombe,Toulouse,Goalkeeper,25.0
Christian Walton,Ipswich Town,Goalkeeper,25.0
Federico Magro,Hellas Verona,Goalkeeper,25.0
Fernando Pacheco,Espanyol,Goalkeeper,25.0
Federico Brancolini,Empoli,Goalkeeper,25.0
Daniele Sommariva,Genoa,Goalkeeper,25.0
Edoardo Piana,Udinese,Goalkeeper,25.0
Edoardo Corvi,Parma,Goalkeeper,25.0
Danny Ward,Leicester City,Goalkeeper,25.0
Alex McCarthy,Southampton,Goalkeeper,25.0
Alessandro Berardi,Hellas Verona,Goalkeeper,25.0
Alessio Furlanetto,Lazio,Goalkeeper,25.0
Alberto Paleari,Torino,Goalkeeper,25.0
Will Dennis,Bournemouth,Goalkeeper,25.0
Wes Foderingham,West Ham,Goalkeeper,25.0
Vitezslav Jaros,Liverpool,Goalkeeper,25.0
Vito Mannone,Lille,Goalkeeper,25.0
Vitus Eicher,Heidenheim,Goalkeeper,25.0
Wayne Hennessey,Nott'ham Forest,Goalkeeper,25.0
Tobias Sippel,Gladbach,Goalkeeper,25.0
Théo De Percin,Auxerre,Goalkeeper,25.0
Vicente Guaita,Celta Vigo,Goalkeeper,25.0
Unai Marrero,Real Sociedad,Goalkeeper,25.0
Tom Negrel,Auxerre,Goalkeeper,25.0
Tom Heaton,Manchester Utd,Goalkeeper,25.0
Unai Simón,Athletic Club,Goalkeeper,25.0
Renato Marin,Roma,Goalkeeper,25.0
Remi Matthews,Crystal Palace,Goalkeeper,25.0
Raphaël Adiceam,Auxerre,Goalkeeper,25.0
Sven Ulreich,Bayern Munich,Goalkeeper,25.0
Teddy Boulhendi,Nice,Goalkeeper,25.0
Scott Carson,Manchester City,Goalkeeper,25.0
Semuel Pizzignacco,Monza,Goalkeeper,25.0
Sam Johnstone,Wolves,Goalkeeper,25.0
Rui Patrício,Atalanta,Goalkeeper,25.0
Rémy Descamps,Lyon,Goalkeeper,25.0
Tommaso Martinelli,Fiorentina,Goalkeeper,25.0
Steven Benda,Fulham,Goalkeeper,25.0
Thibaut Courtois,Real Madrid,Goalkeeper,25.0
