name,Squad,position,TIS
Glenn Ngosso,Montpellier,Centre-Forward,35.39263907734057
Yann Kitala,Le Havre,Centre-Forward,35.39263907734057
Raúl de Tomás,Rayo Vallecano,Centre-Forward,35.39263907734057
André Silva,Werder Bremen,Centre-Forward,35.290841584158414
Tino Kadewere,Nantes,Centre-Forward,35.26447368421053
Bojan Miovski,Girona,Centre-Forward,35.139416983523446
Tim Kleindienst,Gladbach,Centre-Forward,35.09494794131567
Rafa Mir,Valencia,Centre-Forward,35.06147540983607
Chris Wood,Nott'ham Forest,Centre-Forward,35.00745033112583
Harry Kane,Bayern Munich,Centre-Forward,34.98579545454545
Theo Bair,Auxerre,Centre-Forward,34.833333333333336
Toni Martínez,Alavés,Centre-Forward,34.395109395109394
Lucas Höler,Freiburg,Centre-Forward,34.06640625
Luka Jović,Milan,Centre-Forward,33.84350393700788
Dušan Vlahović,Juventus,Centre-Forward,33.737313937753726
Thierno Barry,Villarreal,Centre-Forward,33.702411167512686
Moritz Broschinski,Bochum,Centre-Forward,33.5955169628433
Evann Guessand,Nice,Centre-Forward,33.527204502814264
Michail Antonio,West Ham,Centre-Forward,33.4061004784689
Patrick Cutrone,Como,Centre-Forward,33.38265606595995
Asier Villalibre,Alavés,Centre-Forward,33.36436170212766
Benedikt Pichler,Holstein Kiel,Centre-Forward,33.36221399730821
Maximilian Beier,Dortmund,Centre-Forward,33.34983831851253
Eddie Nketiah,Arsenal,Centre-Forward,33.14618644067797
Amin Sarr,Hellas Verona,Centre-Forward,33.03478260869565
Danny Welbeck,Brighton,Centre-Forward,32.91723317471108
Amine Salama,Torino,Centre-Forward,32.707774798927616
Raúl Jiménez,Fulham,Centre-Forward,32.52748027057497
Marvin Ducksch,Werder Bremen,Centre-Forward,32.43708053691275
Sergio Camello,Rayo Vallecano,Centre-Forward,32.436067019400355
Michy Batshuayi,Eint Frankfurt,Centre-Forward,32.139900662251655
Brenner,Udinese,Centre-Forward,32.05958549222798
Phil Harres,Holstein Kiel,Centre-Forward,31.96325786646201
Antoine Griezmann,Atlético Madrid,Centre-Forward,31.880816959669083
Nicolas Jackson,Chelsea,Centre-Forward,31.840437788018438
Mostafa Mohamed,Nantes,Centre-Forward,31.81122448979592
Christian Kouamé,Fiorentina,Centre-Forward,31.641881028938908
Jonathan David,Lille,Centre-Forward,31.6289966923925
Joshua Zirkzee,Manchester Utd,Centre-Forward,31.553091944670463
Andy Delort,Montpellier,Centre-Forward,31.442757009345797
Boulaye Dia,Lazio,Centre-Forward,31.435364281108967
Shuto Machino,Holstein Kiel,Centre-Forward,31.341717095310134
Alexis Sánchez,Udinese,Centre-Forward,31.327868852459012
Borja Iglesias,Celta Vigo,Centre-Forward,31.309357541899445
Matthis Abline,Nantes,Centre-Forward,31.242462311557787
Arnaud Kalimuendo,Rennes,Centre-Forward,31.227666841828693
Mirko Marić,Monza,Centre-Forward,31.22641509433962
Ibrahima Wadji,Saint-Étienne,Centre-Forward,31.153846153846153
Mathis Lambourde,Hellas Verona,Centre-Forward,31.085526315789473
Budu Zivzivadze,Heidenheim,Centre-Forward,30.85434173669468
Matheus Cunha,Wolves,Centre-Forward,30.767323845076994
Jeff Ekhator,Genoa,Centre-Forward,30.7421875
Lucas Stassin,Saint-Étienne,Centre-Forward,30.708758193736344
Vitinha,Genoa,Centre-Forward,30.696353065539114
Keinan Davis,Udinese,Centre-Forward,30.452432045779688
Jonas Wind,Wolfsburg,Centre-Forward,30.406073446327685
Georginio Rutter,Brighton,Centre-Forward,30.29867256637168
Ilyes Housni,Le Havre,Centre-Forward,30.288888888888888
Casper Tengstedt,Hellas Verona,Centre-Forward,30.241487786824575
Carlos Vinícius,Fulham,Centre-Forward,30.0
João Pedro,Brighton,Centre-Forward,29.90094779366066
M'Bala Nzola,Lens,Centre-Forward,29.653413424866514
Irvin Cardona,Espanyol,Centre-Forward,29.597772277227723
Kai Havertz,Arsenal,Centre-Forward,29.558183795541055
Pablo Durán,Celta Vigo,Centre-Forward,29.27364864864865
Gorka Guruzeta,Athletic Club,Centre-Forward,29.23611111111111
Gabriel Jesus,Arsenal,Centre-Forward,29.21875
Patson Daka,Leicester City,Centre-Forward,29.175
Florian Sotoca,Lens,Centre-Forward,29.00960170697013
Benedict Hollerbach,Union Berlin,Centre-Forward,28.91967126193001
Florian Ayé,Auxerre,Centre-Forward,28.80893300248139
Ante Budimir,Osasuna,Centre-Forward,28.784617321248742
Marc Cardona,Las Palmas,Centre-Forward,28.756720430107524
Wesley Saïd,Lens,Centre-Forward,28.739104595879557
Alassane Pléa,Gladbach,Centre-Forward,28.549886191198787
Antonio Sanabria,Torino,Centre-Forward,28.53721033868093
William Osula,Newcastle Utd,Centre-Forward,28.450704225352112
Michael Gregoritsch,Freiburg,Centre-Forward,28.299763033175356
Vitor Roque,Betis,Centre-Forward,28.232793522267208
Abdón Prats,Mallorca,Centre-Forward,28.208661417322837
Mamadou Sylla,Valladolid,Centre-Forward,28.17507068803016
Kyogo Furuhashi,Rennes,Centre-Forward,28.118279569892472
Nikola Krstović,Lecce,Centre-Forward,27.973517404383323
Moise Kean,Fiorentina,Centre-Forward,27.67072731637062
Hugo Duro,Valencia,Centre-Forward,27.57075471698113
Ludovic Ajorque,Brest,Centre-Forward,27.13491158014832
André Ayew,Le Havre,Centre-Forward,27.09503510531595
Akor Adams,Sevilla,Centre-Forward,27.0
Roberto Piccoli,Cagliari,Centre-Forward,26.984574468085107
Cédric Bakambu,Betis,Centre-Forward,26.89622641509434
Max Moerstedt,Hoffenheim,Centre-Forward,26.754434589800443
Walid Cheddira,Napoli,Centre-Forward,26.666666666666668
Iker Bravo,Udinese,Centre-Forward,26.393979057591626
Jørgen Strand Larsen,Wolves,Centre-Forward,26.305323722812343
Rasmus Højlund,Manchester Utd,Centre-Forward,26.287037037037038
Armando Broja,Everton,Centre-Forward,26.183176100628934
Abel Ruiz,Girona,Centre-Forward,25.802434030937214
Lorenzo Colombo,Empoli,Centre-Forward,25.787388685175483
Callum Wilson,Newcastle Utd,Centre-Forward,25.740030674846626
Dane Scarlett,Tottenham,Centre-Forward,25.689655172413794
Phillip Tietz,Augsburg,Centre-Forward,25.64354599406528
Cyle Larin,Mallorca,Centre-Forward,25.639067524115756
Mohamed Amoura,Wolfsburg,Centre-Forward,25.59384941675504
Zito Luvumbo,Cagliari,Centre-Forward,25.59162895927602
Jamie Vardy,Leicester City,Centre-Forward,25.550093632958802
Neal Maupay,Everton,Centre-Forward,25.440573770491806
Marc Guiu,Chelsea,Centre-Forward,25.410958904109588
Junior Ajayi,Hellas Verona,Centre-Forward,25.0
Daniel Fila,Venezia,Centre-Forward,24.96224832214765
Andrea Pinamonti,Genoa,Centre-Forward,24.76277161349977
Andrea Petagna,Monza,Centre-Forward,24.461872586872587
Ross Stewart,Southampton,Centre-Forward,24.450757575757574
Paul Onuachu,Southampton,Centre-Forward,24.33153685674548
Rémy Labeau Lascary,Lens,Centre-Forward,24.312205651491368
Pietro Pellegri,Torino,Centre-Forward,24.257246376811594
Johannes Eggestein,St. Pauli,Centre-Forward,24.23657484696717
Vedat Muriqi,Mallorca,Centre-Forward,24.14618119975263
Anastasios Douvikas,Como,Centre-Forward,23.426724137931036
Abdoulie Ceesay,St. Pauli,Centre-Forward,23.41346153846154
Kevin Volland,Union Berlin,Centre-Forward,22.818396226415093
Junior Adamu,Freiburg,Centre-Forward,22.606064237775648
Santiago Castro,Bologna,Centre-Forward,22.42156862745098
Philipp Hofmann,Bochum,Centre-Forward,22.077504196978175
Iago Aspas,Celta Vigo,Centre-Forward,21.679864253393667
Tiago Tomás,Wolfsburg,Centre-Forward,21.28949814126394
Frank Magri,Toulouse,Centre-Forward,20.64708480565371
Loïs Openda,RB Leipzig,Centre-Forward,20.5171714440238
