name,Squad,position,TIS
Enzo Tchato,Montpellier,Right-Back,27.642610054493
Noussair Mazraoui,Manchester Utd,Right-Back,27.564069218093227
Leonidas Stergiou,Stuttgart,Right-Back,27.52175091943483
Ola Aina,Nott'ham Forest,Right-Back,27.51308691995551
Andoni Gorosabel,Athletic Club,Right-Back,27.331255554857734
Kiliann Sildillia,Freiburg,Right-Back,27.17349992152705
Yukinari Sugawara,Southampton,Right-Back,27.090054774606887
Óscar Mingueza,Celta Vigo,Right-Back,27.040450635094906
Zeki Çelik,Roma,Right-Back,27.039602438834606
Kenny Tete,Fulham,Right-Back,26.99525774208091
Antoine Hainaut,Parma,Right-Back,26.9193163921168
Gabriele Zappa,Cagliari,Right-Back,26.74551421674981
Djed Spence,Tottenham,Right-Back,26.63641696918007
Antonio Candela,Venezia,Right-Back,26.578173044959694
Nathaniel Clyne,Crystal Palace,Right-Back,26.537119949944532
Diogo Dalot,Manchester Utd,Right-Back,26.261349752981747
Nicolò Savona,Juventus,Right-Back,26.197379714681425
Iván Balliu,Rayo Vallecano,Right-Back,26.073030164923317
Nordi Mukiele,Leverkusen,Right-Back,25.928276054017886
Kyle Walker,Manchester City,Right-Back,25.717535668663754
Lilian Raolisoa,Angers,Right-Back,25.64971946375009
Jesús Areso,Osasuna,Right-Back,25.64721511166793
Emil Krafth,Newcastle Utd,Right-Back,25.39772727272727
James Justin,Leicester City,Right-Back,25.355397343664418
Felix Passlack,Bochum,Right-Back,25.339629207795497
Filippo Terracciano,Milan,Right-Back,25.067210372298444
Neco Williams,Nott'ham Forest,Right-Back,24.788584148412802
Mërgim Vojvoda,Torino,Right-Back,24.773686690409818
Omar Traoré,Heidenheim,Right-Back,24.657323411476288
Kingsley Ehizibue,Udinese,Right-Back,24.407889668063078
Josha Vagnoman,Stuttgart,Right-Back,24.365073759589166
Dodô,Fiorentina,Right-Back,23.57601122828126
Adrià Altimira,Leganés,Right-Back,23.528182087982632
Ben Johnson,Ipswich Town,Right-Back,23.413605240363403
Andy Pelmard,Lecce,Right-Back,23.34605029966043
Kelvin Amian,Nantes,Right-Back,23.322938834128767
Dimitri Foulquier,Valencia,Right-Back,23.252708632830416
Joël Veltman,Brighton,Right-Back,22.652490938517168
Francesco Zampano,Venezia,Right-Back,21.99637316953113
Marcus Coco,Nantes,Right-Back,21.434071141758533
Allan Nyom,Getafe,Right-Back,21.28416662121873
Matt Doherty,Wolves,Right-Back,21.207795803863938
Juanlu Sánchez,Sevilla,Right-Back,20.908102817519207
Julian Ryerson,Dortmund,Right-Back,20.84987699307715
Christopher Trimmel,Union Berlin,Right-Back,20.834333742860846
Aurélio Buta,Reims,Right-Back,20.531235654446355
Lukas Kübler,Freiburg,Right-Back,20.483118899552053
Daniel Muñoz,Crystal Palace,Right-Back,20.43103626784771
Clinton Mata,Lyon,Right-Back,20.090237394520543
Kilian Fischer,Wolfsburg,Right-Back,19.819765676441072
Adam Smith,Bournemouth,Right-Back,19.642753623188405
Vanderson,Monaco,Right-Back,19.46335522813095
Joe Scally,Gladbach,Right-Back,18.657624118310064
Kiko Femenía,Villarreal,Right-Back,18.623146672736937
Rico Lewis,Manchester City,Right-Back,18.465154538315744
Matty Cash,Aston Villa,Right-Back,17.289526420538365
Mitchell Weiser,Werder Bremen,Right-Back,16.601800331515115
Nélson Semedo,Wolves,Right-Back,16.101047488246493
Valentin Rosier,Leganés,Right-Back,16.078299259275564
Pedro Pereira,Monza,Right-Back,15.5375189063409
Jackson Tchatchoua,Hellas Verona,Right-Back,14.361271427849259
Jon Aramburu,Real Sociedad,Right-Back,13.264205612265032
Nahuel Tenaglia,Alavés,Right-Back,11.899497396651961
Axel Tuanzebe,Ipswich Town,Right-Back,10.481966657900822
Omar El Hilali,Espanyol,Right-Back,5.383557279583058
