Rank,Player,Value
1.0,Joshua Kimmich  •  Bayern Munich,99
2.0,Álex Grimaldo  •  Leverkusen,92
3.0,Pascal Groß  •  Dortmund,90
4.0,Marvin Ducksch  •  Werder Bremen,88
5.0,Nadiem Amiri  •  Mainz 05,83
6.0,Tom Bischof  •  Hoffenheim,80
7.0,Maximilian Arnold  •  Wolfsburg,69
8.0,Kevin Stöger  •  Gladbach,63
9.0,Michael Olise  •  Bayern Munich,61
10.0,Vincenzo Grifo  •  Freiburg,59
