Rank,Player,Value
1.0,Patrik Schick  •  Leverkusen,1.22
2.0,Harry Kane  •  Bayern Munich,1.02
3.0,Omar Marmoush  •  Eint Frankfurt,0.93
4.0,Jonathan Burkardt  •  Mainz 05,0.81
5.0,Ermedin Demirović  •  Stuttgart,0.76
6.0,Victor Boniface  •  Leverkusen,0.73
7.0,Serhou Guirassy  •  Dortmund,0.65
8.0,Nick Woltemade  •  Stuttgart,0.64
9.0,Leroy Sané  •  Bayern Munich,0.62
10.0,Jamal Musiala  •  Bayern Munich,0.6
