Rank,Player,Value
1.0,Mohamed Salah  •  Liverpool,1.15
2.0,Bukayo Saka  •  Arsenal,1.01
3.0,Alexander Isak  •  Newcastle Utd,0.98
4.0,Diogo Jota  •  Liverpool,0.82
5.0,Erling Haaland  •  Manchester City,0.8
,James Maddison  •  Tottenham,0.8
7.0,Harvey Barnes  •  Newcastle Utd,0.73
8.0,Jacob Murphy  •  Newcastle Utd,0.72
9.0,Ollie Watkins  •  Aston Villa,0.71
,Matheus Cunha  •  Wolves,0.71
