Rank,Player,Value
1.0,Liam Delap  •  Ipswich Town,63
2.0,Antoine Semenyo  •  Bournemouth,62
3.0,João Gomes  •  Wolves,59
4.0,Moisés Caicedo  •  Chelsea,57
5.0,Alexis Mac Allister  •  Liverpool,56
6.0,Saša Lukić  •  Fulham,54
7.0,Will Hughes  •  Crystal Palace,52
,Joelinton  •  Newcastle Utd,52
9.0,Ryan Yates  •  Nott'ham Forest,48
10.0,Lewis Cook  •  Bournemouth,45
,Enzo Fernández  •  Chelsea,45
,Idrissa Gana Gueye  •  Everton,45
