Rank,Player,Value
1.0,Bruno Fernandes  •  Manchester Utd,75
2.0,Cole Palmer  •  Chelsea,71
3.0,Mohamed Salah  •  Liverpool,70
4.0,Dejan Kulusevski  •  Tottenham,63
5.0,Enzo Fernández  •  Chelsea,62
6.0,Mikkel Damsgaard  •  Brentford,55
,Bryan Mbeumo  •  Brentford,55
8.0,Leif Davis  •  Ipswich Town,53
9.0,Youri Tielemans  •  Aston Villa,52
10.0,Alex Iwobi  •  Fulham,51
,Eberechi Eze  •  Crystal Palace,51
