Rank,Player,Value
1.0,Antonee Robinson  •  Fulham,26
2.0,Pedro Porro  •  Tottenham,22
3.0,Milos Kerkez  •  Bournemouth,20
,Trent Alexander-Arnold  •  Liverpool,20
5.0,Pervis Estupiñán  •  Brighton,18
6.0,Lucas Digne  •  Aston Villa,17
,Vitaliy Mykolenko  •  Everton,17
,Victor Bernth Kristiansen  •  Leicester City,17
9.0,Anthony Gordon  •  Newcastle Utd,16
10.0,Mikkel Damsgaard  •  Brentford,15
,Andrew Robertson  •  Liverpool,15
