,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
376,783396,Ramón Terrats,Defensive Midfield,2000-10-18,24,['Spain'],181.0,left,2025-02-03,Villarreal CF,2025-06-30,3500000.0,
377,290249,Mauro Arambarri,Central Midfield,1995-09-30,29,"['Uruguay', 'Spain']",175.0,right,2018-07-01,CA Boston River,2028-06-30,5000000.0,
378,281989,Luis Milla,Central Midfield,1994-10-07,30,['Spain'],175.0,right,2022-07-25,Granada CF,2027-06-30,3500000.0,
379,941869,Yellu Santiago,Central Midfield,2004-05-25,20,['Spain'],192.0,right,2024-01-10,Valencia Mestalla,2025-06-30,1000000.0,
380,1124005,Christantus Uche,Attacking Midfield,2003-05-19,21,['Nigeria'],190.0,both,2024-07-01,AD Ceuta FC,2028-06-30,5000000.0,
381,1255616,Alberto Risco,Attacking Midfield,2005-08-30,19,['Spain'],,,,,2026-06-30,200000.0,
382,126737,Juanmi,Left Winger,1993-05-20,31,['Spain'],172.0,right,2025-01-31,Real Betis Balompié,2025-06-30,4000000.0,
383,1033005,Coba da Costa,Left Winger,2002-07-26,22,"['Spain', 'Guinea']",,right,2024-12-01,Getafe CF B,2026-06-30,200000.0,
384,434990,Álex Sola,Right Winger,1999-06-09,25,['Spain'],178.0,right,2024-07-15,Real Sociedad,2027-06-30,3000000.0,
385,282810,Carles Pérez,Right Winger,1998-02-16,27,['Spain'],173.0,left,2024-07-30,Celta de Vigo,2025-06-30,3000000.0,
386,710004,Peter Federico,Right Winger,2002-07-25,22,"['Dominican Republic', 'Spain']",180.0,left,2024-07-04,Real Madrid Castilla,2028-06-30,2000000.0,
387,298976,Borja Mayoral,Centre-Forward,1997-04-05,27,['Spain'],182.0,right,2022-08-01,Real Madrid,2027-06-30,9000000.0,
388,672803,Bertuğ Yıldırım,Centre-Forward,2002-07-12,22,['Türkiye'],191.0,right,2024-08-23,Stade Rennais FC,2025-06-30,3000000.0,
389,948275,Álvaro Rodríguez,Centre-Forward,2004-07-14,20,"['Uruguay', 'Spain']",193.0,left,2024-08-29,Real Madrid,2025-06-30,3000000.0,
390,561613,Joan García,Goalkeeper,2001-05-04,23,['Spain'],191.0,right,2021-07-01,RCD Espanyol B,2028-06-30,10000000.0,
391,172015,Fernando Pacheco,Goalkeeper,1992-05-18,32,['Spain'],187.0,left,2023-01-31,UD Almería,2026-06-30,900000.0,Ankle injury - Return unknown
392,628487,Ángel Fortuño,Goalkeeper,2001-10-05,23,['Spain'],183.0,right,2024-07-01,RCD Espanyol B,2027-06-30,300000.0,
393,371371,Marash Kumbulla,Centre-Back,2000-02-08,25,"['Albania', 'Italy']",191.0,right,2024-08-17,AS Roma,2025-06-30,4500000.0,
394,357884,Fernando Calero,Centre-Back,1995-09-14,29,['Spain'],184.0,right,2019-08-09,: Ablöse €8.00m,2026-06-30,1500000.0,
395,102423,Leandro Cabrera,Centre-Back,1991-06-17,33,"['Uruguay', 'Spain']",190.0,left,2020-01-20,Getafe CF,2025-06-30,1000000.0,
396,92947,Sergi Gómez,Centre-Back,1992-03-28,32,['Spain'],185.0,right,2021-07-28,Sevilla FC,2025-06-30,900000.0,Team captain
397,629511,Pablo Ramón,Centre-Back,2001-06-30,23,['Spain'],184.0,right,2025-01-03,Real Madrid Castilla,2028-06-30,200000.0,
398,709372,Carlos Romero,Left-Back,2001-10-29,23,['Spain'],,left,2024-07-09,Villarreal CF,2025-06-30,2500000.0,
399,166677,Brian Oliván,Left-Back,1994-04-01,30,['Spain'],175.0,left,2022-07-01,RCD Mallorca,2025-06-30,2000000.0,
400,822331,Omar El Hilali,Right-Back,2003-09-12,21,"['Morocco', 'Spain']",183.0,right,2023-01-01,RCD Espanyol B,2027-06-30,3000000.0,
401,290273,Álvaro Tejero,Right-Back,1996-07-20,28,['Spain'],174.0,both,2024-07-09,SD Eibar,2025-06-30,2000000.0,
402,625651,Urko González de Zarate,Defensive Midfield,2001-03-20,23,['Spain'],189.0,right,2025-01-23,Real Sociedad,2025-06-30,1200000.0,
403,337333,Alex Král,Central Midfield,1998-05-19,26,['Czech Republic'],186.0,right,2024-08-07,1.FC Union Berlin,2025-06-30,6000000.0,
404,557147,José Gragera,Central Midfield,2000-05-14,24,['Spain'],186.0,right,2023-01-31,Sporting Gijón,2028-06-30,2000000.0,
405,449496,Álvaro Aguado,Central Midfield,1996-05-01,28,['Spain'],175.0,right,2023-09-11,Without Club,2025-06-30,2000000.0,
406,412045,Pol Lozano,Central Midfield,1999-10-06,25,['Spain'],176.0,right,2020-07-01,RCD Espanyol B,2027-06-30,1800000.0,
407,506248,Edu Expósito,Central Midfield,1996-08-01,28,['Spain'],178.0,right,2022-08-08,SD Eibar,2027-06-30,1500000.0,
408,904712,Justin Smith,Central Midfield,2003-02-04,22,"['Canada', 'France']",189.0,right,,,2026-06-30,300000.0,
409,1178721,Rafel Bauzà,Central Midfield,2005-01-30,20,['Spain'],183.0,right,,,2028-06-30,200000.0,
410,408471,Javi Puado,Left Winger,1998-05-25,26,['Spain'],177.0,right,2018-07-01,RCD Espanyol B,2025-06-30,8000000.0,
411,225593,Pere Milla,Left Winger,1992-09-23,32,['Spain'],180.0,left,2023-08-15,Elche CF,2027-06-30,1500000.0,
412,628498,Jofre Carreras,Right Winger,2001-06-17,23,['Spain'],175.0,right,2022-07-01,RCD Espanyol B,2029-06-30,4000000.0,
413,834744,Antoniu Roca,Right Winger,2002-09-05,22,['Spain'],,right,2024-07-01,RCD Espanyol B,2026-06-30,400000.0,
414,888493,Alejo Veliz,Centre-Forward,2003-09-19,21,['Argentina'],186.0,right,2024-08-07,Tottenham Hotspur,2025-06-30,4000000.0,
415,521407,Walid Cheddira,Centre-Forward,1998-01-22,27,"['Morocco', 'Italy']",187.0,right,2024-08-27,SSC Napoli,2025-06-30,4000000.0,
416,720518,Roberto Fernández,Centre-Forward,2002-07-03,22,['Spain'],186.0,right,2025-01-14,SC Braga,2025-06-30,3500000.0,
417,869458,Omar Sadik,Centre-Forward,2004-03-22,20,['Morocco'],,left,,,2027-06-30,300000.0,
418,275218,Augusto Batalla,Goalkeeper,1996-04-30,28,"['Argentina', 'Italy']",186.0,right,2024-08-23,CA River Plate,2025-06-30,6000000.0,
419,397676,Dani Cárdenas,Goalkeeper,1997-03-28,27,['Spain'],186.0,right,2023-08-18,Levante UD,2027-06-30,1800000.0,
420,451801,Abdul Mumin,Centre-Back,1998-06-06,26,"['Ghana', 'Nigeria']",188.0,right,2022-09-01,Vitória Guimarães SC,2026-06-30,5000000.0,
421,127108,Florian Lejeune,Centre-Back,1991-05-20,33,['France'],190.0,right,2023-07-28,Deportivo Alavés,2027-06-30,2800000.0,
422,692208,Pelayo Fernández,Centre-Back,2003-04-29,21,['Spain'],193.0,right,2024-07-02,FC Barcelona Atlètic,2028-06-30,500000.0,
423,82503,Aridane Hernández,Centre-Back,1989-03-23,35,['Spain'],188.0,right,2023-07-05,CA Osasuna,2025-06-30,400000.0,
424,596122,Pep Chavarría,Left-Back,1998-04-10,26,['Spain'],174.0,left,2022-08-31,Real Zaragoza,2027-06-30,2000000.0,
425,311044,Alfonso Espino,Left-Back,1992-01-05,33,"['Uruguay', 'Spain']",172.0,left,2023-07-17,Cádiz CF,2026-06-30,1500000.0,
426,527966,Andrei Rațiu,Right-Back,1998-06-20,26,"['Romania', 'Spain']",183.0,right,2023-08-26,SD Huesca,2028-06-30,7000000.0,
427,85295,Iván Balliu,Right-Back,1992-01-01,33,"['Albania', 'Spain']",172.0,right,2021-07-14,UD Almería,2025-06-30,1500000.0,
428,268670,Gerard Gumbau,Defensive Midfield,1994-12-18,30,['Spain'],188.0,left,2024-07-15,Granada CF,2025-06-30,2000000.0,
429,517753,Óscar Valentín,Central Midfield,1994-08-20,30,['Spain'],177.0,right,2019-07-01,CF Rayo Majadahonda,2027-06-30,3500000.0,Team captain
430,192009,Unai López,Central Midfield,1995-10-30,29,['Spain'],170.0,right,2022-07-01,Athletic Bilbao,2026-06-30,2800000.0,
431,363057,Pedro Díaz,Central Midfield,1998-06-05,26,['Spain'],180.0,right,2024-08-05,FC Girondins Bordeaux,2028-06-30,2000000.0,
432,525578,Pathé Ciss,Central Midfield,1994-03-16,30,['Senegal'],186.0,right,2021-07-28,CF Fuenlabrada,2025-06-30,2000000.0,
433,560483,Randy Nteka,Attacking Midfield,1997-12-06,27,"['Angola', 'France']",189.0,left,2021-07-28,CF Fuenlabrada,2028-06-30,1500000.0,
434,343273,Joni Montiel,Attacking Midfield,1998-09-03,26,['Spain'],173.0,left,2017-07-01,Rayo Vallecano B,2025-06-30,900000.0,
435,30321,Oscar Trejo,Attacking Midfield,1988-04-26,36,"['Argentina', 'Italy']",180.0,right,2017-07-01,: Ablöse free transfer,2025-06-30,800000.0,
436,257062,Álvaro García,Left Winger,1992-10-27,32,['Spain'],167.0,both,2018-08-23,Cádiz CF,2028-06-30,2500000.0,
437,455181,Jorge de Frutos,Right Winger,1997-02-20,28,['Spain'],173.0,right,2023-08-17,Levante UD,2028-06-30,4000000.0,
438,288318,Adrián Embarba,Right Winger,1992-05-07,32,['Spain'],173.0,right,2024-07-26,UD Almería,2025-06-30,1500000.0,
439,362086,Isi Palazón,Second Striker,1994-12-27,30,['Spain'],169.0,left,2020-01-23,SD Ponferradina,2028-06-30,4000000.0,
440,505674,Sergio Camello,Centre-Forward,2001-02-10,24,['Spain'],182.0,right,2023-08-17,: Ablöse €5.00m,2027-06-30,3500000.0,
441,162038,Raúl de Tomás,Centre-Forward,1994-10-17,30,"['Spain', 'Dominican Republic']",180.0,right,2022-09-13,RCD Espanyol Barcelona,2027-06-30,800000.0,
