Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,PrgC_90,PrgP_90,PrgR_90,xG_90,xAG_90,npxG_90,npxG+xAG_90,Possession_Influence,Defensive_Contribution,Final_Third_Impact,Tactical_Adaptability,TIS
Riccardo Sottil,it ITA,FW,Fiorentina,24.0,1999.0,22,13,1103,12.3,2,3,5,2,0,0,1,0,2.6,2.6,2.5,5.1,66,33,139,0.16,0.24,0.41,0.16,0.41,0.21,0.2,0.41,0.21,0.41,Matches,5.385312783318223,2.6926563916591113,11.341795104261106,0.21214868540344514,0.20398912058023572,0.21214868540344514,0.41613780598368083,10.788757932910244,94.44444444444444,6.544650951949228,6.165004533091569,29.75486677747557
Gio Reyna,us USA,"MF,FW",Dortmund,20.0,2002.0,11,1,280,3.1,0,0,0,0,0,0,1,0,0.8,0.8,0.8,1.6,8,20,19,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.52,0.27,0.52,Matches,2.571428571428571,6.428571428571429,6.107142857142857,0.2571428571428572,0.2571428571428572,0.2571428571428572,0.5142857142857143,8.392857142857144,94.44444444444444,8.035714285714285,7.619047619047621,29.703373015873016
Arthur,br BRA,DF,Leverkusen,20.0,2003.0,4,2,184,2.0,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.4,8,7,28,0.0,0.98,0.98,0.0,0.98,0.04,0.15,0.19,0.04,0.19,Matches,3.91304347826087,3.423913043478261,13.695652173913045,0.04891304347826088,0.14673913043478262,0.04891304347826088,0.19565217391304351,11.684782608695654,100.0,2.547554347826087,2.898550724637682,29.686933876811594
Marcos Alonso,es ESP,DF,Barcelona,32.0,1990.0,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches,3.928571428571429,5.0,11.785714285714286,0.03571428571428572,0.17857142857142858,0.03571428571428572,0.2142857142857143,11.50793650793651,100.0,2.604166666666666,3.1746031746031753,29.6812996031746
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31.0,1991.0,14,5,464,5.2,2,1,3,2,0,1,0,0,1.4,0.6,0.9,1.5,8,22,38,0.39,0.19,0.58,0.39,0.58,0.27,0.17,0.44,0.11,0.28,Matches,1.5517241379310345,4.267241379310344,7.370689655172414,0.271551724137931,0.17456896551724138,0.11637931034482757,0.29094827586206895,7.3275862068965525,100.0,5.859374999999998,4.310344827586207,29.680091594827584
Musa Al-Taamari,jo JOR,FW,Montpellier,26.0,1997.0,27,24,1928,21.4,5,2,7,5,0,0,0,0,3.6,3.6,3.5,7.1,81,54,168,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33,Matches,3.781120331950208,2.5207468879668053,7.842323651452283,0.16804979253112035,0.16338174273858921,0.16804979253112035,0.33143153526970953,7.857883817427387,100.0,5.202930497925311,4.910096818810512,29.669400501383123
Luis Henrique,br BRA,"FW,DF",Marseille,21.0,2001.0,15,8,784,8.7,1,0,1,1,0,0,0,0,1.3,1.3,0.7,2.0,30,40,84,0.11,0.0,0.11,0.11,0.11,0.15,0.08,0.23,0.15,0.23,Matches,3.4438775510204085,4.591836734693878,9.642857142857144,0.14923469387755103,0.08035714285714286,0.14923469387755103,0.2295918367346939,9.821428571428573,100.0,3.9461096938775504,3.401360544217688,29.667703018707485
Stredair Appuah,fr FRA,"FW,MF",Nantes,19.0,2004.0,4,0,84,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,0,2,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,Matches,3.2142857142857144,0.0,2.142857142857143,0.4285714285714286,0.0,0.4285714285714286,0.4285714285714286,2.9761904761904767,100.0,8.928571428571427,6.349206349206351,29.65277777777778
Evann Guessand,ci CIV,FW,Nice,22.0,2001.0,34,14,1553,17.3,6,0,6,4,2,2,1,0,8.4,6.8,1.4,8.2,40,34,114,0.35,0.0,0.35,0.23,0.23,0.48,0.08,0.56,0.39,0.47,Matches,2.31809401159047,1.9703799098518995,6.6065679330328395,0.4867997424339987,0.08113329040566644,0.3940759819703799,0.4752092723760463,6.052801030264006,94.44444444444444,10.020927237604633,7.040137368534021,29.638289690205337
Mikkel Kaufmann,dk DEN,FW,Union Berlin,22.0,2001.0,18,4,486,5.4,1,0,1,1,0,0,0,0,1.3,1.3,1.0,2.3,6,11,34,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42,Matches,1.111111111111111,2.0370370370370368,6.296296296296296,0.24074074074074073,0.18518518518518517,0.24074074074074073,0.4259259259259259,5.246913580246913,100.0,6.944444444444443,6.310013717421125,29.63563100137174
