Rank,Player,Value
1.0,Junya Ito  •  Reims,62
2.0,Rayan Cherki  •  Lyon,59
3.0,Maghnes Akliouche  •  Monaco,58
4.0,Mason Greenwood  •  Marseille,57
5.0,Eliesse Ben Seghir  •  Monaco,43
,Désiré Doué  •  Paris S-G,43
,Ousmane Dembélé  •  Paris S-G,43
8.0,Aron Dønnum  •  Toulouse,40
9.0,Osame Sahraoui  •  Lille,39
,Lee Kang-in  •  Paris S-G,39
