Rank,Player,Value
1.0,Ousmane Dembélé  •  Paris S-G,43
2.0,Mason Greenwood  •  Marseille,37
3.0,Bradley Barcola  •  Paris S-G,32
4.0,Emanuel Emegha  •  Strasbourg,31
,Amine Gouiri  •  2 squads,31
6.0,Hamed Junior Traorè  •  Auxerre,26
,Keito Nakamura  •  Reims,26
8.0,Evann Guessand  •  Nice,25
9.0,Matthis Abline  •  Nantes,24
,Ludovic Blas  •  Rennes,24
,Alexandre Lacazette  •  Lyon,24
,Zakaria Aboukhlal  •  Toulouse,24
