Rank,Player,Value
1.0,Désiré Doué  •  Paris S-G,1.32
2.0,Rayan Cherki  •  Lyon,0.91
3.0,Bradley Barcola  •  Paris S-G,0.84
4.0,Ousmane Dembélé  •  Paris S-G,0.77
5.0,Sebastian Nanasi  •  Strasbourg,0.76
6.0,Malick Fofana  •  Lyon,0.75
,João Neves  •  Paris S-G,0.75
8.0,Maghnes Akliouche  •  Monaco,0.74
9.0,Georges Mikautadze  •  Lyon,0.71
10.0,Fabián Ruiz Peña  •  Paris S-G,0.7
