Rank,Player,Value
1.0,Ousmane Dembélé  •  Paris S-G,1.47
2.0,Mika Biereth  •  Monaco,1.31
3.0,Bradley Barcola  •  Paris S-G,1.08
4.0,Rayan Cherki  •  Lyon,0.91
5.0,Sofiane Diop  •  Nice,0.85
6.0,Georges Mikautadze  •  Lyon,0.79
7.0,Lee Kang-in  •  Paris S-G,0.71
8.0,Neal Maupay  •  Marseille,0.7
9.0,Désiré Doué  •  Paris S-G,0.69
,Evann Guessand  •  Nice,0.69
