Rank,Player,Value
1.0,Bradley Barcola  •  Paris S-G,303
2.0,Junya Ito  •  Reims,238
,Achraf Hakimi  •  Paris S-G,238
,Luis Henrique  •  Marseille,238
5.0,Mason Greenwood  •  Marseille,236
6.0,Ousmane Dembélé  •  Paris S-G,222
7.0,Diego Moreira  •  Strasbourg,205
8.0,Dilane Bakwa  •  Strasbourg,200
9.0,Adrien Truffert  •  Rennes,194
10.0,Moses Simon  •  Nantes,188
,Maghnes Akliouche  •  Monaco,188
