Rank,Player,Value
1.0,Raphinha  •  Barcelona,116
2.0,Sergio Gómez  •  Real Sociedad,101
3.0,Alex Baena  •  Villarreal,100
4.0,Luis Milla  •  Getafe,84
5.0,Álex Berenguer  •  Athletic Club,79
6.0,Antoine Griezmann  •  Atlético Madrid,77
7.0,Luka Modrić  •  Real Madrid,68
8.0,José Luis García Vayá  •  Valencia,65
9.0,Viktor Tsyhankov  •  Girona,62
10.0,Isaac Palazón Camacho  •  Rayo Vallecano,61
,Carlos Vicente  •  Alavés,61
