Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Keyliane Abdallah,fr FRA,FW,Marseille,18-340,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-164,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Himad Abdelli,dz ALG,"MF,FW",Angers,25-114,1999,24,24,"2,132",23.7,6,1,7,3,3,4,2,0,5.6,2.4,2.8,5.3,85,160,93,0.25,0.04,0.30,0.13,0.17,0.24,0.12,0.35,0.10,0.22,Matches
Mohamed Abdelmoneim,eg EGY,DF,Nice,26-038,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ali Abdi,tn TUN,"DF,MF",Nice,31-081,1993,17,11,941,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.19,0.19,0.38,0.19,0.38,0.11,0.13,0.24,0.11,0.24,Matches
Matthis Abline,fr FRA,FW,Nantes,21-348,2003,25,24,"1,990",22.1,7,1,8,6,1,1,2,0,7.2,6.4,2.8,9.2,50,33,129,0.32,0.05,0.36,0.27,0.32,0.33,0.13,0.45,0.29,0.42,Matches
Abner,br BRA,DF,Lyon,24-288,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.10,0.12,0.02,0.12,Matches
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-021,2000,23,22,"1,827",20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,29,22,152,0.34,0.10,0.44,0.30,0.39,0.50,0.07,0.57,0.42,0.49,Matches
Akor Adams,ng NGA,FW,Montpellier,25-041,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
Martin Adeline,fr FRA,MF,Reims,21-099,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adryelson,br BRA,DF,Lyon,26-353,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Emmanuel Agbadou,ci CIV,DF,Reims,27-267,1997,14,14,"1,260",14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-138,2005,4,0,147,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,6,2,17,0.61,0.00,0.61,0.61,0.61,0.31,0.04,0.35,0.31,0.35,Matches
Ruben Aguilar,fr FRA,DF,Lens,31-319,1993,10,7,616,6.8,1,1,2,1,0,0,2,0,0.3,0.3,0.7,1.0,8,30,53,0.15,0.15,0.29,0.15,0.29,0.04,0.10,0.14,0.04,0.14,Matches
Naouirou Ahamada,fr FRA,"MF,FW",Rennes,22-347,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Jean-Eudes Aholou,ci CIV,MF,Angers,30-356,1994,23,23,"1,751",19.5,2,0,2,2,0,0,7,0,1.8,1.8,0.4,2.1,15,64,16,0.10,0.00,0.10,0.10,0.10,0.09,0.02,0.11,0.09,0.11,Matches
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-259,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Ludovic Ajorque,fr FRA,FW,Brest,31-014,1994,22,20,"1,753",19.5,10,1,11,10,0,1,4,0,8.0,7.3,2.4,9.6,8,33,90,0.51,0.05,0.56,0.51,0.56,0.41,0.12,0.53,0.37,0.49,Matches
Ümit Akdag,ro ROU,DF,Toulouse,21-156,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Sergio Akieme,es ESP,DF,Reims,27-085,1997,21,20,"1,758",19.5,1,1,2,1,0,0,4,0,0.6,0.6,1.3,1.9,43,67,73,0.05,0.05,0.10,0.05,0.10,0.03,0.06,0.10,0.03,0.10,Matches
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-014,2002,23,19,"1,697",18.9,3,6,9,3,0,0,2,0,5.3,5.3,5.4,10.7,90,133,166,0.16,0.32,0.48,0.16,0.48,0.28,0.29,0.57,0.28,0.57,Matches
Clément Akpa,ci CIV,DF,Auxerre,23-107,2001,23,21,"1,852",20.6,0,1,1,0,0,0,5,0,0.1,0.1,0.9,1.0,23,60,23,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches
Chuba Akpom,eng ENG,FW,Lille,29-153,1995,5,3,287,3.2,2,0,2,2,0,1,0,0,2.2,1.4,0.3,1.8,1,2,17,0.63,0.00,0.63,0.63,0.63,0.70,0.10,0.80,0.45,0.55,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-051,2004,21,19,"1,425",15.8,3,4,7,3,0,0,2,0,3.4,3.4,3.3,6.7,70,49,112,0.19,0.25,0.44,0.19,0.44,0.22,0.21,0.42,0.22,0.42,Matches
Jim Allevinah,ga GAB,FW,Angers,30-012,1995,20,19,"1,331",14.8,0,3,3,0,0,0,3,0,2.8,2.8,2.3,5.0,31,37,70,0.00,0.20,0.20,0.00,0.20,0.19,0.15,0.34,0.19,0.34,Matches
Thiago Almada,ar ARG,"MF,FW",Lyon,23-319,2001,7,2,275,3.1,0,2,2,0,0,0,1,0,0.2,0.2,0.7,0.9,9,34,14,0.00,0.65,0.65,0.00,0.65,0.07,0.23,0.29,0.07,0.29,Matches
Jordan Amavi,fr FRA,DF,Brest,31-002,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Kelvin Amian,fr FRA,DF,Nantes,27-031,1998,22,16,"1,568",17.4,1,0,1,1,0,0,4,0,0.9,0.9,0.7,1.6,25,53,57,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches
Michael Amir Murillo,pa PAN,DF,Marseille,29-028,1996,23,20,"1,807",20.1,1,2,3,1,0,0,1,0,1.5,1.5,2.5,4.0,28,110,72,0.05,0.10,0.15,0.05,0.15,0.07,0.13,0.20,0.07,0.20,Matches
Mathis Amougou,fr FRA,MF,Saint-Étienne,19-052,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Benjamin André,fr FRA,MF,Lille,34-220,1990,22,22,"1,972",21.9,0,1,1,0,0,0,10,0,1.3,1.3,1.3,2.6,20,158,51,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12,Matches
Dennis Appiah,fr FRA,DF,Saint-Étienne,32-275,1992,22,16,"1,588",17.6,0,1,1,0,0,0,1,0,0.1,0.1,2.0,2.1,38,67,75,0.00,0.06,0.06,0.00,0.06,0.01,0.11,0.12,0.01,0.12,Matches
Carlens Arcus,ht HAI,DF,Angers,28-256,1996,21,19,"1,542",17.1,0,1,1,0,0,0,2,0,0.0,0.0,1.2,1.2,28,49,59,0.00,0.06,0.06,0.00,0.06,0.00,0.07,0.07,0.00,0.07,Matches
Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,21-335,2003,17,13,"1,137",12.6,4,2,6,4,0,0,2,0,2.7,2.7,1.5,4.2,32,67,97,0.32,0.16,0.47,0.32,0.47,0.22,0.12,0.33,0.22,0.33,Matches
Marco Asensio,es ESP,"FW,MF",Paris S-G,29-049,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21,Matches
Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-262,2000,23,19,"1,641",18.2,2,4,6,2,0,0,6,0,0.8,0.8,3.2,4.0,71,77,145,0.11,0.22,0.33,0.11,0.33,0.04,0.18,0.22,0.04,0.22,Matches
Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-328,2005,9,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,14,0.00,0.00,0.00,0.00,0.00,0.10,0.96,1.06,0.10,1.06,Matches
Valentin Atangana Edoa,fr FRA,MF,Reims,19-198,2005,25,24,"2,047",22.7,0,0,0,0,0,0,6,0,0.9,0.9,0.5,1.4,33,75,24,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Florian Ayé,fr FRA,FW,Auxerre,28-051,1997,17,4,403,4.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,4,22,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.11,0.09,0.11,Matches
André Ayew,gh GHA,FW,Le Havre,35-084,1989,18,10,997,11.1,4,1,5,4,0,0,2,0,2.9,2.9,0.0,3.0,3,15,25,0.36,0.09,0.45,0.36,0.45,0.26,0.00,0.27,0.26,0.27,Matches
Neil El Aynaoui,fr FRA,MF,Lens,23-252,2001,16,9,907,10.1,4,0,4,2,2,2,2,0,2.5,0.9,1.0,2.0,9,47,17,0.40,0.00,0.40,0.20,0.20,0.25,0.10,0.35,0.09,0.20,Matches
