Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Toti Gomes,pt POR,DF,Wolves,26-054,1999,21,20,"1,714",19.0,0,1,1,0,0,0,4,0,0.1,0.1,0.7,0.8,17,53,10,0.00,0.05,0.05,0.00,0.05,0.00,0.04,0.04,0.00,0.04,Matches
Diego Gómez,py PAR,MF,Brighton,21-349,2003,6,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,13,2,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.21,0.02,0.21,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-292,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Nicolás González,es ESP,MF,Manchester City,23-067,2002,4,4,300,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,23,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-015,2001,26,25,"2,108",23.4,6,5,11,5,1,2,2,0,7.8,6.3,4.9,11.2,104,88,187,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-299,2002,29,29,"2,471",27.5,0,2,2,0,0,0,5,0,0.9,0.9,2.8,3.7,54,138,44,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Matches
Archie Gray,eng ENG,DF,Tottenham,18-364,2006,20,12,"1,155",12.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,27,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-182,1995,16,6,609,6.8,0,1,1,0,0,0,3,0,0.8,0.8,1.7,2.4,66,43,111,0.00,0.15,0.15,0.00,0.15,0.12,0.25,0.36,0.12,0.36,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-180,2000,18,18,"1,620",18.0,1,0,1,1,0,0,4,0,1.2,1.2,0.0,1.3,5,43,4,0.06,0.00,0.06,0.06,0.06,0.07,0.00,0.07,0.07,0.07,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-284,2004,12,5,379,4.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,14,14,41,0.00,0.24,0.24,0.00,0.24,0.07,0.15,0.22,0.07,0.22,Matches
Albert Grønbaek,dk DEN,"MF,FW",Southampton,23-292,2001,3,2,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-102,1996,23,7,748,8.3,2,4,6,2,0,0,1,0,2.2,2.2,1.1,3.3,28,28,55,0.24,0.48,0.72,0.24,0.72,0.26,0.13,0.39,0.26,0.39,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-241,2000,27,27,"2,430",27.0,3,2,5,3,0,0,7,0,1.6,1.6,1.1,2.7,15,109,8,0.11,0.07,0.19,0.11,0.19,0.06,0.04,0.10,0.06,0.10,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-030,2006,7,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,2,6,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-115,1997,28,28,"2,423",26.9,3,6,9,3,0,0,4,0,2.8,2.8,5.1,7.9,40,197,63,0.11,0.22,0.33,0.11,0.33,0.10,0.19,0.29,0.10,0.29,Matches
Marc Guiu,es ESP,FW,Chelsea,19-066,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-138,1990,24,16,"1,445",16.1,0,2,2,0,0,0,1,0,1.6,1.6,2.0,3.7,38,95,61,0.00,0.12,0.12,0.00,0.12,0.10,0.13,0.23,0.10,0.23,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-296,2003,23,17,"1,546",17.2,0,1,1,0,0,0,3,0,1.6,1.6,1.0,2.5,38,91,73,0.00,0.06,0.06,0.00,0.06,0.09,0.06,0.15,0.09,0.15,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-047,2002,27,26,"2,378",26.4,5,0,5,5,0,0,1,0,4.2,3.8,1.9,5.8,70,198,92,0.19,0.00,0.19,0.19,0.19,0.16,0.07,0.23,0.15,0.22,Matches
Erling Haaland,no NOR,FW,Manchester City,24-233,2000,27,27,"2,390",26.6,20,3,23,19,1,2,2,0,19.9,18.3,2.8,21.1,19,17,102,0.75,0.11,0.87,0.72,0.83,0.75,0.10,0.85,0.69,0.79,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-184,2004,27,24,"2,189",24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches
