Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Paulo Dybala,ar ARG,"FW,MF",Roma,31-116,1993,23,16,"1,406",15.6,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,121,0.38,0.19,0.58,0.19,0.38,0.41,0.32,0.73,0.26,0.58,Matches
Enzo Ebosse,cm CMR,DF,Udinese,26-000,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Éderson,br BRA,MF,Atalanta,25-247,1999,28,25,"2,239",24.9,3,1,4,3,0,0,3,0,2.9,2.9,3.7,6.6,28,160,61,0.12,0.04,0.16,0.12,0.16,0.12,0.15,0.27,0.12,0.27,Matches
Kingsley Ehizibue,nl NED,DF,Udinese,29-290,1995,25,23,"1,868",20.8,0,1,1,0,0,0,4,0,1.1,1.1,1.3,2.5,37,42,97,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12,Matches
Jeff Ekhator,it ITA,"FW,MF",Genoa,18-120,2006,19,5,640,7.1,1,1,2,1,0,0,1,0,1.3,1.3,0.9,2.3,4,14,44,0.14,0.14,0.28,0.14,0.28,0.19,0.13,0.32,0.19,0.32,Matches
Jurgen Ekkelenkamp,nl NED,MF,Udinese,24-340,2000,24,13,"1,317",14.6,3,2,5,3,0,0,1,0,1.6,1.6,1.0,2.6,24,48,54,0.21,0.14,0.34,0.21,0.34,0.11,0.07,0.18,0.11,0.18,Matches
Emmanuel Ekong,se SWE,"MF,FW",Empoli,22-259,2002,15,0,186,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,5,19,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Caleb Ekuban,gh GHA,FW,Genoa,30-353,1994,13,3,442,4.9,1,3,4,1,0,0,1,0,2.7,2.7,0.7,3.4,4,7,37,0.20,0.61,0.81,0.20,0.81,0.55,0.15,0.70,0.55,0.70,Matches
Mikael Ellertsson,is ISL,"DF,MF",Venezia,23-000,2002,27,22,"1,871",20.8,2,1,3,2,0,0,1,0,1.1,1.1,0.7,1.8,28,29,70,0.10,0.05,0.14,0.10,0.14,0.05,0.04,0.09,0.05,0.09,Matches
Elif Elmas,mk MKD,FW,Torino,25-168,1999,4,3,244,2.7,3,0,3,3,0,0,0,0,0.4,0.4,0.2,0.7,10,8,12,1.11,0.00,1.11,1.11,1.11,0.16,0.09,0.25,0.16,0.25,Matches
Emerson,br BRA,DF,Milan,26-056,1999,17,16,"1,377",15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
Yannik Engelhardt,de GER,"MF,DF",Como,24-032,2001,20,11,"1,073",11.9,1,1,2,1,0,0,3,0,0.6,0.6,1.4,1.9,13,50,16,0.08,0.08,0.17,0.08,0.17,0.05,0.12,0.16,0.05,0.16,Matches
Martin Erlic,hr CRO,DF,Bologna,27-046,1998,6,4,290,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,11,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Sebastiano Esposito,it ITA,"FW,MF",Empoli,22-252,2002,24,18,"1,610",17.9,8,0,8,7,1,2,1,0,5.1,3.6,1.6,5.2,25,56,66,0.45,0.00,0.45,0.39,0.39,0.29,0.09,0.38,0.20,0.29,Matches
Nahuel Estévez,ar ARG,MF,Parma,29-117,1995,10,6,542,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,3,26,2,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
Giovanni Fabbian,it ITA,MF,Bologna,22-056,2003,22,7,837,9.3,2,1,3,2,0,0,2,0,1.6,1.6,1.1,2.7,12,11,33,0.22,0.11,0.32,0.22,0.32,0.17,0.12,0.29,0.17,0.29,Matches
Alieu Fadera,gm GAM,"FW,DF",Como,23-128,2001,24,20,"1,592",17.7,1,3,4,1,0,0,2,1,1.6,1.6,3.9,5.5,73,35,157,0.06,0.17,0.23,0.06,0.23,0.09,0.22,0.31,0.09,0.31,Matches
Nicolò Fagioli,it ITA,MF,Fiorentina,24-027,2001,5,2,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,2,16,3,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.26,0.02,0.26,Matches
Nicolò Fagioli,it ITA,MF,Juventus,24-027,2001,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,19,41,18,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
Wladimiro Falcone,it ITA,GK,Lecce,29-333,1995,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,33-137,1991,7,3,257,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,13,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
Jacopo Fazzini,it ITA,"MF,FW",Empoli,21-360,2003,12,9,769,8.5,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,17,24,47,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches
