Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ramon Hendriks,nl NED,DF,Stuttgart,23-236,2001,18,7,786,8.7,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,5,24,18,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
Paul Hennrich,de GER,MF,Hoffenheim,20-005,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,28-016,1997,15,10,935,10.4,0,2,2,0,0,0,3,0,0.5,0.4,1.4,1.8,9,29,55,0.00,0.19,0.19,0.00,0.19,0.05,0.14,0.18,0.04,0.18,Matches
Mario Hermoso,es ESP,DF,Leverkusen,29-266,1995,4,3,293,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2,20,3,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,Matches
Piero Hincapié,ec ECU,DF,Leverkusen,23-061,2002,23,20,"1,936",21.5,1,1,2,1,0,0,5,0,2.3,2.3,2.2,4.5,33,114,58,0.05,0.05,0.09,0.05,0.09,0.11,0.10,0.21,0.11,0.21,Matches
Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22-229,2002,20,18,"1,489",16.5,6,2,8,6,0,0,2,0,4.7,4.7,3.0,7.7,39,57,82,0.36,0.12,0.48,0.36,0.48,0.28,0.18,0.46,0.28,0.46,Matches
Nicolas Höfler,de GER,MF,Freiburg,35-002,1990,16,7,763,8.5,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,27,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Jonas Hofmann,de GER,"MF,DF",Leverkusen,32-240,1992,6,3,241,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.8,3,8,20,0.37,0.00,0.37,0.37,0.37,0.19,0.09,0.28,0.19,0.28,Matches
Philipp Hofmann,de GER,FW,Bochum,31-346,1993,25,20,"1,787",19.9,2,3,5,2,0,0,4,0,3.8,3.8,3.3,7.1,7,43,91,0.10,0.15,0.25,0.10,0.25,0.19,0.16,0.36,0.19,0.36,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,30-244,1994,23,14,"1,280",14.2,2,4,6,2,0,1,1,0,4.8,4.0,1.7,5.7,10,23,83,0.14,0.28,0.42,0.14,0.42,0.33,0.12,0.46,0.28,0.40,Matches
