Name,Defensive Actions,Aerial Duels,Passing and Build-up,Defensive Awareness,Discipline,TIS
Marquinhos,12.43589744,4.076923077,13.8525641,4.807692308,1.153846154,2.991171967
Pau Cubarsí,8.114035088,2.728070175,11.35964912,3.377192982,0.701754386,2.663617781
Pau Torres,8.023255814,2.325581395,9.25,3.604651163,0.406976744,2.64564256
Virgil van Dijk,11.55172414,2.455172414,8.027586207,5.689655172,0.517241379,2.146720984
William Saliba,10.98814229,2.434782609,8.086956522,3.833992095,1.106719368,1.904977572
