Name,Dribbling,Crosses and Playmaking,Goal Threat,Final Third Impact,Ball Carrying,TIS
Bukayo Saka,10.07092199,7.829787234,0.893617021,42.62411348,10.07092199,4.033300781
Ousmane Dembélé,12.51612903,5.567741935,3.070967742,48.25806452,12.51612903,2.924242424
Rodrygo,9.398907104,4.027322404,0.721311475,41.80327869,9.398907104,2.764977477
