name,Squad,position,TIS
Liberato Cacace,Empoli,Left-Back,23.910208316705244
Javi López,Real Sociedad,Left-Back,23.891261312217193
Andrea Cambiaso,Juventus,Left-Back,23.708892617449667
Theo Hernández,Milan,Left-Back,23.699228829037775
Milos Kerkez,Bournemouth,Left-Back,23.202817375417677
Aarón Martín,Genoa,Left-Back,23.180677619095174
Riccardo Calafiori,Arsenal,Left-Back,23.128235294117648
Javi Hernández,Leganés,Left-Back,23.041506322155033
Andrew Robertson,Liverpool,Left-Back,23.02481617647059
Phillipp Mwene,Mainz 05,Left-Back,22.582426572854455
Lucas Hernández,Paris S-G,Left-Back,22.49202500956999
Nicolas Cozza,Nantes,Left-Back,22.375995246583482
Jonas Föhrenbach,Heidenheim,Left-Back,22.336662338959353
Antonino Gallo,Lecce,Left-Back,22.19520088537125
Nhoa Sangui,Reims,Left-Back,22.049370854769723
Léo Pétrot,Saint-Étienne,Left-Back,21.912730081091517
Sergi Cardona,Villarreal,Left-Back,21.8968584709088
Eduard Sobol,Strasbourg,Left-Back,21.852941176470587
Ferland Mendy,Real Madrid,Left-Back,21.737489025460928
Sergio Akieme,Reims,Left-Back,21.515508933949004
Johan Mojica,Mallorca,Left-Back,21.493320138545275
Tom Rothe,Union Berlin,Left-Back,20.86198167791707
Nicolás Tagliafico,Lyon,Left-Back,20.778966789667894
Alberto Moreno,Como,Left-Back,20.541124605610065
Reinildo Mandava,Atlético Madrid,Left-Back,20.440616912639015
Leif Davis,Ipswich Town,Left-Back,20.423387997122088
Robin Gosens,Fiorentina,Left-Back,20.11827379353568
Carlos Romero,Espanyol,Left-Back,20.021716710959502
Ramy Bensebaini,Dortmund,Left-Back,19.909318821083524
Melvin Bard,Nice,Left-Back,19.807971664275467
Giuseppe Pezzella,Empoli,Left-Back,19.709864603481623
Almugera Kabar,Dortmund,Left-Back,19.56070588235294
Emerson,Milan,Left-Back,18.880558759451496
Aihen Muñoz,Real Sociedad,Left-Back,18.701750934487507
Domagoj Bradarić,Hellas Verona,Left-Back,18.19723474899648
Antonee Robinson,Fulham,Left-Back,17.79016645449523
Javi Galán,Atlético Madrid,Left-Back,17.05121107266436
Manu Sánchez,Alavés,Left-Back,16.943048881524444
Maximilian Wittek,Bochum,Left-Back,16.474411764705884
Diego Rico,Getafe,Left-Back,15.884111920150536
Clément Akpa,Auxerre,Left-Back,15.77766484563588
Adrià Pedrosa,Sevilla,Left-Back,15.648593350383631
Romain Perraud,Betis,Left-Back,13.868259371497365
Deiver Machado,Lens,Left-Back,13.389122498960306
Hassane Kamara,Udinese,Left-Back,11.039970376639864
Ashley Young,Everton,Left-Back,10.659186217839736
Marc Cucurella,Chelsea,Left-Back,8.33880613243449
Marcos Alonso,Celta Vigo,Left-Back,6.9687745098039215
