name,Squad,position,TIS
Wahbi Khazri,Montpellier,Left Winger,32.269891928402565
Mattia Felici,Cagliari,Left Winger,32.16746031746031
Jamie Gittens,Dortmund,Left Winger,31.56202291217994
Ante Rebić,Lecce,Left Winger,31.409943977591034
Lassine Sinayoko,Auxerre,Left Winger,31.394641023384086
Jack Clarke,Ipswich Town,Left Winger,31.214642857142856
Bryan Zaragoza,Osasuna,Left Winger,30.871366567460313
Martial Godo,Fulham,Left Winger,30.625
Borna Sosa,Torino,Left Winger,30.49266158622636
Yann Karamoh,Torino,Left Winger,30.208345042935207
Jota Silva,Nott'ham Forest,Left Winger,29.980439560439557
Mamadou Diakhon,Reims,Left Winger,29.51937095825985
Juanmi,Getafe,Left Winger,29.464571987152635
Tete Morente,Lecce,Left Winger,29.242088744588745
Moi Gómez,Osasuna,Left Winger,29.02922403901319
Tomás Conechny,Alavés,Left Winger,28.97213164866517
Florinel Coman,Cagliari,Left Winger,28.898845060412224
Franco Cervi,Celta Vigo,Left Winger,28.843493909191583
Robin Hack,Gladbach,Left Winger,28.685668739791428
Juan Cruz,Leganés,Left Winger,28.416434802770773
Pere Milla,Espanyol,Left Winger,27.5755710414247
Leandro Trossard,Arsenal,Left Winger,27.436388910849338
Bryan Gil,Girona,Left Winger,27.10952104258321
Ander Barrenetxea,Real Sociedad,Left Winger,26.997637463825306
Jacob Ondrejka,Parma,Left Winger,26.904761904761905
Iliman Ndiaye,Everton,Left Winger,26.773931298678235
Sergi Canós,Valencia,Left Winger,26.683648170011804
Diego Moreira,Strasbourg,Left Winger,26.599794467969193
Alieu Fadera,Como,Left Winger,26.352424324000953
Matteo Ruggeri,Atalanta,Left Winger,25.87267136739753
Carlos Forbs,Wolves,Left Winger,25.727888286116137
Tidiam Gomis,RB Leipzig,Left Winger,25.0
Chiquinho,Wolves,Left Winger,25.0
Julien Duranville,Dortmund,Left Winger,24.950090876045074
Coba da Costa,Getafe,Left Winger,24.86255611982041
Bjarki Bjarkason,Venezia,Left Winger,24.691587301587305
Benito Ramírez,Las Palmas,Left Winger,24.357326951399113
Valentino Lazaro,Torino,Left Winger,23.368562266300174
Javi Puado,Espanyol,Left Winger,22.89786771712101
Ryan Fraser,Southampton,Left Winger,22.228657018362902
Hugo Álvarez,Celta Vigo,Left Winger,21.335250798228447
Mattia Zaccagni,Lazio,Left Winger,21.264721108884434
Emmanuel Gyasi,Empoli,Left Winger,18.54521080638559
