name,Shot Stopping,Expected Goals Prevented,Cross and Aerial Control,Sweeper Keeper Activity,Passing,TIS,Distribution Ability
Alisson,2.200956937799043,-0.014354066985646,0.3349282296650718,1.87,5.977777778,2.696428571428571,26.267942583732054
Gianluigi Donnarumma,2.527472527472528,-0.0384615384615385,0.4395604395604395,0.55,5.077777778,2.5,25.21978021978022
Jan Oblak,2.423076923076923,-0.0884615384615384,0.6153846153846154,0.81,5.933333333,2.5,20.73076923076923
Mike Maignan,2.5185185185185186,-0.1703703703703705,0.7407407407407407,1.89,10.58888889,2.5,35.851851851851855
Thibaut Courtois,1.9130434782608696,-0.0695652173913043,0.4347826086956521,0.57,7.5,1.6666666666666663,29.52173913043478
