,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
441,Cole Campbell,USA,"MF,FW",Dortmund,de  Bundesliga,19-019,2006.0,0.2,13,15,86.7,176,46,8,9,88.9,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0
442,Emre Can,GER,"DF,MF",Dortmund,de  Bundesliga,31-058,1994.0,17.7,1435,1583,90.7,26277,8575,567,602,94.2,744,782,95.1,115,170,67.6,0,0.3,0.7,-0.3,4,95,3,0,96
443,Peio Canales,ESP,"MF,FW",Athletic Club,es  La Liga,20-053,2005.0,1.3,39,51,76.5,674,94,18,20,90.0,17,21,81.0,3,9,33.3,0,0.1,0.1,-0.1,2,3,0,0,2
444,Matteo Cancellieri,ITA,"FW,MF",Parma,it  Serie A,23-027,2002.0,15.8,211,312,67.6,2943,842,124,164,75.6,66,88,75.0,9,28,32.1,0,0.7,0.7,-0.7,11,16,7,5,24
445,Fali Candé,GNB,DF,Venezia,it  Serie A,27-046,1998.0,7.0,339,416,81.5,5880,2506,155,163,95.1,150,172,87.2,31,71,43.7,1,0.5,0.0,0.5,2,28,0,0,21
446,Antonio Candela,ITA,DF,Venezia,it  Serie A,24-318,2000.0,11.2,299,403,74.2,4708,1990,158,183,86.3,120,162,74.1,15,35,42.9,1,0.8,0.5,0.2,9,26,6,6,27
447,Antonio Candela,ITA,DF,Valladolid,es  La Liga,24-318,2000.0,3.0,112,154,72.7,1832,633,62,66,93.9,38,60,63.3,9,19,47.4,0,0.0,0.1,0.0,1,6,2,2,9
448,Sergi Canós,ESP,"MF,FW",Valencia,es  La Liga,28-037,1997.0,4.0,89,155,57.4,1455,409,50,62,80.6,31,51,60.8,6,23,26.1,1,0.2,0.2,0.8,4,9,3,3,9
449,Jaydee Canvot,FRA,"DF,MF",Toulouse,fr  Ligue 1,18-225,2006.0,8.1,302,351,86.0,5104,1373,134,145,92.4,143,158,90.5,19,33,57.6,0,0.3,0.3,-0.3,3,29,5,2,31
450,Pierrick Capelle,FRA,MF,Angers,fr  Ligue 1,37-330,1987.0,4.6,145,187,77.5,2462,709,71,82,86.6,61,79,77.2,9,17,52.9,0,1.2,0.7,-1.2,5,15,2,1,17
451,Gianluca Caprari,ITA,"MF,FW",Monza,it  Serie A,31-224,1993.0,11.7,347,441,78.7,5586,1263,176,192,91.7,122,153,79.7,33,63,52.4,1,1.5,1.5,-0.5,23,17,11,1,50
452,Elia Caprile,ITA,GK,Cagliari,it  Serie A,23-198,2001.0,9.0,225,350,64.3,7252,5862,24,24,100.0,103,106,97.2,98,220,44.5,0,0.0,0.0,0.0,0,5,0,0,0
453,Elia Caprile,ITA,GK,Napoli,it  Serie A,23-198,2001.0,3.6,81,98,82.7,2186,1425,12,12,100.0,45,45,100.0,24,40,60.0,0,0.0,0.0,0.0,0,2,0,0,0
454,Gabin Capuano,FRA,FW,Lens,fr  Ligue 1,18-319,2006.0,0.1,2,2,100.0,22,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
455,Francesco Caputo,ITA,FW,Empoli,it  Serie A,37-217,1987.0,0.1,2,2,100.0,26,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
456,Maxence Caqueret,FRA,MF,Como,it  Serie A,25-024,2000.0,5.2,168,206,81.6,2750,1084,80,94,85.1,67,80,83.8,16,20,80.0,2,0.5,0.2,1.5,5,23,4,1,22
457,Maxence Caqueret,FRA,MF,Lyon,fr  Ligue 1,25-024,2000.0,6.4,274,343,79.9,4339,1547,138,164,84.1,109,124,87.9,17,28,60.7,0,0.4,0.6,-0.4,10,39,10,0,50
458,Simon Cara,FRA,MF,Montpellier,fr  Ligue 1,19-284,2005.0,0.1,3,4,75.0,49,1,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
459,Andrea Carboni,ITA,DF,Monza,it  Serie A,24-035,2001.0,18.5,718,859,83.6,12178,3816,332,359,92.5,316,364,86.8,57,96,59.4,1,0.3,0.2,0.7,4,36,3,3,42
460,Franco Carboni,ITA,DF,Venezia,it  Serie A,21-341,2003.0,2.0,50,73,68.5,782,310,29,34,85.3,16,26,61.5,4,12,33.3,0,0.1,0.1,-0.1,2,3,2,2,3
461,Valentin Carboni,ARG,"MF,FW",Marseille,fr  Ligue 1,20-006,2005.0,1.1,57,64,89.1,816,162,32,34,94.1,19,20,95.0,3,4,75.0,0,0.1,0.1,-0.1,3,4,4,2,4
462,Cárdenas,ESP,GK,Rayo Vallecano,es  La Liga,27-348,1997.0,5.0,74,140,52.9,2459,1922,6,6,100.0,40,41,97.6,28,92,30.4,0,0.0,0.0,0.0,0,2,0,0,0
463,Irvin Cardona,FRA,"FW,MF",Espanyol,es  La Liga,27-215,1997.0,6.7,100,161,62.1,1428,432,56,73,76.7,31,49,63.3,6,21,28.6,1,0.6,1.2,0.4,9,9,11,4,15
464,Irvin Cardona,FRA,FW,Saint-Étienne,fr  Ligue 1,27-215,1997.0,4.2,104,153,68.0,1343,337,70,86,81.4,26,41,63.4,4,11,36.4,1,0.8,0.8,0.2,7,7,3,1,11
465,Marc Cardona,ESP,FW,Las Palmas,es  La Liga,29-246,1995.0,1.0,29,33,87.9,420,70,16,17,94.1,9,10,90.0,2,2,100.0,0,0.0,0.1,0.0,0,3,0,0,2
466,Sergi Cardona,ESP,DF,Villarreal,es  La Liga,25-246,1999.0,24.5,870,1117,77.9,14486,5179,419,480,87.3,386,461,83.7,54,121,44.6,6,5.1,3.6,0.9,36,48,29,17,55
467,Johnny Cardoso,USA,MF,Betis,es  La Liga,23-172,2001.0,17.0,656,774,84.8,10031,2568,361,401,90.0,239,270,88.5,36,54,66.7,1,0.9,0.6,0.1,7,41,2,0,55
468,Tiago Cardoso,LUX,GK,Gladbach,de  Bundesliga,18-338,2006.0,1.0,32,39,82.1,749,496,10,10,100.0,15,15,100.0,7,14,50.0,0,0.0,0.0,0.0,0,0,0,0,0
469,Patrik Carlgren,SWE,GK,Nantes,fr  Ligue 1,33-062,1992.0,3.0,65,93,69.9,1846,1453,13,13,100.0,26,26,100.0,25,52,48.1,0,0.0,0.0,0.0,0,1,0,0,0
470,Diego Carlos,BRA,DF,Aston Villa,eng  Premier League,31-361,1993.0,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34
471,Carmona,ESP,DF,Sevilla,es  La Liga,23-041,2002.0,24.2,1137,1393,81.6,18244,6840,566,644,87.9,493,576,85.6,49,99,49.5,0,1.3,0.5,-1.3,11,73,11,3,82
472,Marco Carnesecchi,ITA,GK,Atalanta,it  Serie A,24-253,2000.0,25.0,568,768,74.0,15650,10278,75,75,100.0,327,328,99.7,165,362,45.6,0,0.2,0.0,-0.2,1,7,0,0,0
473,Sergio Carreira,ESP,"MF,DF",Celta Vigo,es  La Liga,24-149,2000.0,10.6,404,531,76.1,6667,2211,195,223,87.4,179,225,79.6,28,57,49.1,3,2.2,2.0,0.8,10,20,19,6,32
474,Dani Carvajal,ESP,DF,Real Madrid,es  La Liga,33-059,1992.0,6.8,399,463,86.2,6523,1419,197,212,92.9,170,195,87.2,26,35,74.3,0,0.2,0.3,-0.2,5,20,5,0,27
475,Fabio Carvalho,POR,"FW,MF",Brentford,eng  Premier League,22-193,2002.0,5.1,126,178,70.8,1755,442,78,94,83.0,32,45,71.1,7,18,38.9,1,0.7,0.6,0.3,4,11,5,1,17
476,William Carvalho,POR,MF,Betis,es  La Liga,32-338,1992.0,2.7,151,183,82.5,2361,796,87,96,90.6,42,51,82.4,14,24,58.3,0,0.0,0.1,0.0,1,18,1,0,20
477,Cesare Casadei,ITA,MF,Torino,it  Serie A,22-060,2003.0,3.6,108,134,80.6,1735,323,57,67,85.1,44,52,84.6,6,13,46.2,1,0.1,0.1,0.9,2,8,2,0,10
478,Marc Casado,ESP,MF,Barcelona,es  La Liga,21-178,2003.0,17.2,1178,1318,89.4,18132,4184,628,678,92.6,459,486,94.4,61,92,66.3,3,1.4,1.8,1.6,9,136,6,0,104
479,Nicolò Casale,ITA,DF,Bologna,it  Serie A,27-025,1998.0,6.7,310,354,87.6,6182,2066,93,105,88.6,190,205,92.7,25,31,80.6,0,0.3,0.3,-0.3,2,14,1,0,17
480,Nicolò Casale,ITA,DF,Lazio,it  Serie A,27-025,1998.0,1.5,100,110,90.9,2040,595,27,30,90.0,59,62,95.2,13,17,76.5,0,0.0,0.0,0.0,0,12,0,0,6
481,Casemiro,BRA,MF,Manchester Utd,eng  Premier League,33-016,1992.0,12.2,563,706,79.7,9345,2959,269,306,87.9,228,269,84.8,47,77,61.0,0,2.2,1.8,-2.2,18,59,17,5,59
482,Kaelan Casey,ENG,DF,West Ham,eng  Premier League,20-134,2004.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
483,Matty Cash,POL,"DF,FW",Aston Villa,eng  Premier League,27-216,1997.0,15.5,500,641,78.0,8085,2435,253,282,89.7,210,268,78.4,26,58,44.8,1,1.0,1.0,0.0,9,30,4,3,31
484,Josué Casimir,FRA,"MF,FW",Le Havre,fr  Ligue 1,23-168,2001.0,13.5,235,351,67.0,3830,938,124,149,83.2,86,124,69.4,22,46,47.8,2,1.2,0.7,0.8,13,13,7,3,26
485,Federico Cassa,ITA,"MF,FW",Atalanta,it  Serie A,19-038,2006.0,0.2,5,6,83.3,54,9,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
486,Cristian Cásseres Jr.,VEN,MF,Toulouse,fr  Ligue 1,25-050,2000.0,21.2,775,994,78.0,13352,3569,340,412,82.5,362,417,86.8,56,111,50.5,2,1.6,1.9,0.4,21,59,16,3,89
487,Timothy Castagne,BEL,DF,Fulham,eng  Premier League,29-096,1995.0,13.9,611,746,81.9,9772,3167,305,336,90.8,259,301,86.0,30,63,47.6,1,1.2,0.4,-0.2,8,41,5,3,53
488,Valentín Castellanos,ARG,FW,Lazio,it  Serie A,26-159,1998.0,19.7,266,407,65.4,3704,925,152,206,73.8,89,132,67.4,9,19,47.4,3,2.5,2.0,0.5,19,37,12,2,49
489,Jean-Charles Castelletto,CMR,"DF,MF",Nantes,fr  Ligue 1,30-044,1995.0,22.3,914,1030,88.7,16079,5951,366,390,93.8,468,507,92.3,65,107,60.7,0,0.1,0.3,-0.1,2,66,5,1,76
490,Santiago Castro,ARG,FW,Bologna,it  Serie A,20-163,2004.0,22.7,316,409,77.3,5796,861,129,158,81.6,135,159,84.9,37,49,75.5,4,2.2,1.5,1.8,24,20,6,0,33
491,Gaetano Castrovilli,ITA,"MF,FW",Monza,it  Serie A,28-022,1997.0,1.6,49,65,75.4,674,178,33,35,94.3,16,21,76.2,0,3,0.0,0,0.1,0.1,-0.1,1,3,0,0,6
492,Gaetano Castrovilli,ITA,"MF,FW",Lazio,it  Serie A,28-022,1997.0,1.6,66,78,84.6,1057,235,37,45,82.2,25,26,96.2,4,4,100.0,0,0.7,0.0,-0.7,2,7,0,0,10
493,Danilo Cataldi,ITA,MF,Fiorentina,it  Serie A,30-217,1994.0,13.4,597,712,83.8,10209,3155,264,294,89.8,269,295,91.2,47,92,51.1,0,0.6,0.5,-0.6,11,65,9,2,67
494,Catena,ESP,DF,Osasuna,es  La Liga,30-134,1994.0,23.8,859,1053,81.6,18822,7430,194,214,90.7,538,584,92.1,124,238,52.1,1,0.7,0.7,0.3,3,47,2,0,66
495,Maximiliano Caufriez,BEL,DF,Valencia,es  La Liga,28-023,1997.0,1.0,11,14,78.6,219,77,3,3,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1
496,Dani Ceballos,ESP,MF,Real Madrid,es  La Liga,28-216,1996.0,9.2,897,949,94.5,14879,4286,428,439,97.5,383,398,96.2,63,79,79.7,0,1.4,1.7,-1.4,14,119,9,0,111
497,Abdoulie Ceesay,GAM,FW,St. Pauli,de  Bundesliga,21-065,2004.0,0.6,7,13,53.8,57,2,6,9,66.7,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
498,Zeki Çelik,TUR,DF,Roma,it  Serie A,28-022,1997.0,17.4,768,935,82.1,12250,3962,375,421,89.1,325,386,84.2,46,80,57.5,2,1.3,0.8,0.7,14,59,12,6,66
499,Fabien Centonze,FRA,DF,Nantes,fr  Ligue 1,29-054,1996.0,0.9,40,52,76.9,606,273,24,26,92.3,12,16,75.0,3,5,60.0,0,0.2,0.2,-0.2,3,1,4,3,8
500,Alberto Cerri,ITA,FW,Como,it  Serie A,28-329,1996.0,1.0,15,23,65.2,184,7,10,16,62.5,2,4,50.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,0
501,Franco Cervi,ARG,"FW,MF",Celta Vigo,es  La Liga,30-289,1994.0,2.9,90,131,68.7,1658,584,36,46,78.3,44,52,84.6,8,22,36.4,0,0.3,0.3,-0.3,5,12,2,0,14
502,Julian Chabot,GER,DF,Stuttgart,de  Bundesliga,27-027,1998.0,18.1,1132,1280,88.4,20452,8054,484,514,94.2,541,585,92.5,97,161,60.2,1,0.2,0.6,0.8,5,91,3,0,65
503,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,de  Bundesliga,19-299,2005.0,6.2,351,415,84.6,6359,2943,135,150,90.0,189,212,89.2,23,41,56.1,0,0.4,0.3,-0.4,4,40,2,0,40
504,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,de  Bundesliga,22-103,2002.0,7.9,202,307,65.8,3465,1233,106,126,84.1,61,88,69.3,26,69,37.7,0,1.2,1.6,-1.2,18,19,13,4,37
505,Trevoh Chalobah,ENG,DF,Crystal Palace,eng  Premier League,25-249,1999.0,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34
506,Trevoh Chalobah,ENG,DF,Chelsea,eng  Premier League,25-249,1999.0,3.3,233,256,91.0,4089,1240,104,110,94.5,110,116,94.8,18,27,66.7,1,1.1,0.2,-0.1,2,14,1,0,12
507,Timothy Chandler,USA,DF,Eint Frankfurt,de  Bundesliga,34-347,1990.0,0.2,13,19,68.4,238,93,5,6,83.3,6,8,75.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1
508,Conor Chaplin,ENG,"MF,FW",Ipswich Town,eng  Premier League,28-023,1997.0,6.8,170,229,74.2,2652,699,85,101,84.2,74,94,78.7,6,17,35.3,1,0.6,0.6,0.4,6,17,7,2,25
509,Brendan Chardonnet,FRA,DF,Brest,fr  Ligue 1,30-079,1994.0,21.8,808,989,81.7,17007,6376,235,257,91.4,449,485,92.6,118,227,52.0,0,0.6,0.6,-0.6,5,59,2,1,46
510,Gabriel Charpentier,CGO,FW,Parma,it  Serie A,25-298,1999.0,3.0,33,55,60.0,508,188,18,26,69.2,11,18,61.1,3,3,100.0,2,0.9,0.3,1.1,7,3,2,0,7
511,Raúl Chasco,ESP,DF,Valladolid,es  La Liga,21-179,2003.0,1.4,35,58,60.3,730,329,15,19,78.9,13,20,65.0,7,16,43.8,0,0.0,0.1,0.0,1,5,1,0,3
512,Anrie Chase,JPN,DF,Stuttgart,de  Bundesliga,20-352,2004.0,8.2,497,541,91.9,8794,2536,202,210,96.2,260,277,93.9,31,47,66.0,0,0.0,0.5,0.0,0,28,2,1,28
513,Pep Chavarría,ESP,DF,Rayo Vallecano,es  La Liga,26-335,1998.0,19.3,876,1076,81.4,14022,4838,459,507,90.5,349,412,84.7,55,105,52.4,1,1.1,1.4,-0.1,14,57,15,7,78
514,Arthur Chaves,BRA,DF,Hoffenheim,de  Bundesliga,24-041,2001.0,16.4,658,808,81.4,11246,3876,251,280,89.6,347,381,91.1,36,96,37.5,0,0.1,0.3,-0.1,5,45,1,0,45
515,Jhoanner Chávez,ECU,"DF,MF",Lens,fr  Ligue 1,22-320,2002.0,6.6,230,308,74.7,3617,1446,129,149,86.6,74,100,74.0,20,40,50.0,0,0.7,1.3,-0.7,9,10,8,5,9
516,Walid Cheddira,MAR,FW,Napoli,it  Serie A,27-048,1998.0,0.1,2,3,66.7,28,14,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1
517,Walid Cheddira,MAR,FW,Espanyol,es  La Liga,27-048,1998.0,6.6,66,91,72.5,924,232,36,46,78.3,23,29,79.3,2,5,40.0,1,1.2,0.4,-0.2,6,3,1,0,11
518,Chema,ESP,MF,Real Madrid,es  La Liga,19-320,2005.0,0.1,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
519,Théo Chennahi,FRA,"MF,DF",Montpellier,fr  Ligue 1,20-033,2005.0,0.1,2,3,66.7,33,26,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0
520,Sidiki Cherif,FRA,FW,Angers,fr  Ligue 1,18-086,2006.0,3.6,33,62,53.2,469,79,20,33,60.6,12,19,63.2,0,0,,0,0.2,0.2,-0.2,2,3,1,1,3
521,Rayan Cherki,FRA,"FW,MF",Lyon,fr  Ligue 1,21-206,2003.0,14.8,677,864,78.4,10910,3368,374,418,89.5,235,283,83.0,55,116,47.4,9,7.7,8.3,1.3,51,62,56,3,147
522,Lucas Chevalier,FRA,GK,Lille,fr  Ligue 1,23-125,2001.0,25.0,615,787,78.1,15353,10799,151,151,100.0,304,310,98.1,159,323,49.2,0,0.5,0.2,-0.5,1,9,0,0,1
523,Fabio Chiarodia,ITA,DF,Gladbach,de  Bundesliga,19-279,2005.0,0.7,36,42,85.7,623,146,14,16,87.5,20,22,90.9,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,2
524,Julián Chicco,ARG,MF,Leganés,es  La Liga,27-057,1998.0,2.2,73,91,80.2,1224,384,34,41,82.9,31,34,91.2,6,9,66.7,0,0.1,0.1,-0.1,1,8,2,0,14
525,Leandro Chichizola,ARG,GK,Parma,it  Serie A,34-349,1990.0,1.0,36,50,72.0,854,507,6,6,100.0,23,23,100.0,7,20,35.0,0,0.0,0.0,0.0,0,1,0,0,1
526,Federico Chiesa,ITA,FW,Liverpool,eng  Premier League,27-137,1997.0,0.3,15,18,83.3,168,40,11,12,91.7,2,3,66.7,1,1,100.0,0,0.0,0.1,0.0,0,2,0,0,1
527,Ben Chilwell,ENG,"DF,MF",Crystal Palace,eng  Premier League,28-080,1996.0,0.6,21,29,72.4,322,72,12,13,92.3,8,11,72.7,1,5,20.0,0,0.1,0.3,-0.1,1,2,1,0,2
528,Chiquinho,POR,MF,Wolves,eng  Premier League,25-034,2000.0,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0
529,Chiquinho,POR,"MF,FW",Mallorca,es  La Liga,25-034,2000.0,1.6,22,34,64.7,299,87,13,15,86.7,5,9,55.6,2,7,28.6,0,0.0,0.1,0.0,2,0,0,0,1
530,Pedro Chirivella,ESP,MF,Nantes,fr  Ligue 1,27-292,1997.0,20.0,988,1187,83.2,18092,5946,423,467,90.6,422,473,89.2,120,197,60.9,2,1.2,1.2,0.8,13,128,17,3,130
531,Joris Chotard,FRA,MF,Montpellier,fr  Ligue 1,23-168,2001.0,15.3,470,583,80.6,8732,2806,210,239,87.9,194,230,84.3,59,90,65.6,0,0.3,0.8,-0.3,5,55,9,3,60
532,Hamza Choudhury,ENG,"MF,DF",Leicester City,eng  Premier League,27-161,1997.0,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3
533,Andreas Christensen,DEN,DF,Barcelona,es  La Liga,28-335,1996.0,0.3,14,16,87.5,254,77,4,5,80.0,10,11,90.9,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
534,Ryan Christie,SCO,MF,Bournemouth,eng  Premier League,30-017,1995.0,22.2,775,971,79.8,13760,3925,347,392,88.5,345,392,88.0,75,149,50.3,3,3.3,2.7,-0.3,37,107,28,4,130
535,Carney Chukwuemeka,ENG,"MF,FW",Dortmund,de  Bundesliga,21-142,2003.0,0.4,13,18,72.2,125,42,7,9,77.8,3,4,75.0,0,0,,0,0.2,0.2,-0.2,1,1,2,0,3
536,Samuel Chukwueze,NGA,"FW,MF",Milan,it  Serie A,25-293,1999.0,8.9,271,362,74.9,4692,944,133,152,87.5,112,146,76.7,24,50,48.0,0,2.2,2.0,-2.2,20,18,14,5,26
537,Aaron Ciammaglichella,ITA,MF,Torino,it  Serie A,20-044,2005.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
538,Jasper Cillessen,NED,GK,Las Palmas,es  La Liga,35-323,1989.0,24.7,640,955,67.0,16647,12360,139,141,98.6,326,333,97.9,173,476,36.3,0,0.0,0.0,0.0,0,12,0,0,0
539,Alessandro Circati,AUS,DF,Parma,it  Serie A,21-152,2003.0,4.0,149,170,87.6,2853,696,48,56,85.7,84,90,93.3,13,20,65.0,0,0.0,0.0,0.0,0,3,0,0,5
540,Pathé Ciss,SEN,MF,Rayo Vallecano,es  La Liga,30-360,1994.0,14.7,639,756,84.5,11094,3449,293,327,89.6,284,315,90.2,51,76,67.1,1,0.9,0.5,0.1,14,77,5,0,89
541,Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,it  Serie A,18-140,2006.0,0.1,6,8,75.0,90,18,4,6,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
542,Djaoui Cissé,FRA,MF,Rennes,fr  Ligue 1,21-039,2004.0,4.4,171,197,86.8,3432,1105,67,73,91.8,75,84,89.3,27,32,84.4,0,0.1,0.2,-0.1,4,17,4,0,31
543,Seydouba Cissé,GUI,MF,Leganés,es  La Liga,24-029,2001.0,19.2,677,804,84.2,11304,2322,316,353,89.5,274,311,88.1,63,96,65.6,0,0.3,0.5,-0.3,9,56,10,0,73
544,Yoann Cissé,FRA,MF,Auxerre,fr  Ligue 1,20-088,2004.0,0.0,1,2,50.0,6,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
545,Patrick Ciurria,ITA,"MF,DF",Monza,it  Serie A,30-030,1995.0,8.4,189,275,68.7,3216,851,88,105,83.8,71,98,72.4,22,45,48.9,1,1.7,0.9,-0.7,7,13,1,1,16
546,Harry Clarke,ENG,DF,Ipswich Town,eng  Premier League,24-009,2001.0,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14
547,Jack Clarke,ENG,"FW,MF",Ipswich Town,eng  Premier League,24-108,2000.0,9.6,227,295,76.9,3740,898,115,131,87.8,97,110,88.2,12,26,46.2,3,1.8,0.9,1.2,18,20,5,0,28
548,Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,de  Bundesliga,26-278,1998.0,15.6,341,419,81.4,5275,986,181,216,83.8,128,145,88.3,22,27,81.5,1,0.9,1.4,0.1,12,23,16,4,38
549,Jonathan Clauss,FRA,"DF,MF",Nice,fr  Ligue 1,32-167,1992.0,17.7,659,915,72.0,10741,4338,348,403,86.4,240,324,74.1,57,138,41.3,4,5.0,4.1,-1.0,33,43,24,8,62
550,Silvi Clúa,ESP,MF,Girona,es  La Liga,20-041,2005.0,1.8,75,95,78.9,1302,271,31,37,83.8,36,42,85.7,5,8,62.5,0,0.0,0.0,0.0,1,3,0,0,3
551,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,eng  Premier League,33-340,1991.0,4.4,117,159,73.6,2184,878,49,63,77.8,55,62,88.7,12,24,50.0,0,0.1,0.1,-0.1,2,10,1,1,6
552,Conor Coady,ENG,DF,Leicester City,eng  Premier League,32-014,1993.0,9.0,453,505,89.7,7865,3026,193,200,96.5,230,239,96.2,29,56,51.8,0,0.1,0.5,-0.1,1,25,2,0,22
553,Marcus Coco,FRA,DF,Nantes,fr  Ligue 1,28-260,1996.0,9.1,351,438,80.1,5875,2265,171,185,92.4,145,177,81.9,27,54,50.0,1,1.2,1.0,-0.2,10,27,9,5,32
554,Saúl Coco,EQG,DF,Torino,it  Serie A,26-030,1999.0,26.0,1106,1257,88.0,20244,5930,400,437,91.5,610,655,93.1,83,138,60.1,0,0.0,0.2,0.0,0,67,1,0,61
555,Séamus Coleman,IRL,DF,Everton,eng  Premier League,36-151,1988.0,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8
556,Nathan Collins,IRL,DF,Brentford,eng  Premier League,23-315,2001.0,28.0,1340,1549,86.5,25372,8688,458,518,88.4,765,821,93.2,106,175,60.6,1,1.4,1.2,-0.4,7,89,7,2,101
557,Nnamdi Collins,GER,DF,Eint Frankfurt,de  Bundesliga,21-060,2004.0,12.2,596,678,87.9,9615,2866,278,295,94.2,272,303,89.8,31,56,55.4,1,1.0,0.9,0.0,2,42,4,1,48
558,Toby Collyer,ENG,MF,Manchester Utd,eng  Premier League,21-067,2004.0,1.5,61,68,89.7,920,106,29,32,90.6,26,27,96.3,3,4,75.0,0,0.3,0.4,-0.3,2,2,1,0,5
559,Lorenzo Colombo,ITA,"FW,MF",Empoli,it  Serie A,23-003,2002.0,21.2,297,441,67.3,4321,858,166,214,77.6,85,126,67.5,22,41,53.7,2,2.5,0.8,-0.5,17,20,10,2,36
560,Andrea Colpani,ITA,"FW,MF",Fiorentina,it  Serie A,25-304,1999.0,15.5,360,447,80.5,5676,1174,203,218,93.1,123,154,79.9,25,52,48.1,1,1.3,1.3,-0.3,17,18,15,1,56
561,Levi Colwill,ENG,DF,Chelsea,eng  Premier League,22-013,2003.0,26.0,1827,2039,89.6,33149,11901,648,697,93.0,1051,1109,94.8,109,183,59.6,1,1.1,1.1,-0.1,12,123,6,2,108
562,Florinel Coman,ROU,"FW,MF",Cagliari,it  Serie A,26-335,1998.0,1.5,38,45,84.4,517,156,22,25,88.0,14,15,93.3,0,2,0.0,0,0.0,0.0,0.0,0,3,1,0,3
563,Kingsley Coman,FRA,FW,Bayern Munich,de  Bundesliga,28-271,1996.0,11.5,512,601,85.2,8025,1354,277,306,90.5,205,233,88.0,24,42,57.1,4,3.2,4.0,0.8,30,25,25,5,41
564,Eray Cömert,SUI,"DF,MF",Valladolid,es  La Liga,27-035,1998.0,13.2,522,606,86.1,10592,3571,155,179,86.6,305,325,93.8,56,88,63.6,0,0.0,0.1,0.0,0,34,1,0,35
565,Santi Comesaña,ESP,MF,Villarreal,es  La Liga,28-157,1996.0,18.6,814,940,86.6,13784,4345,380,422,90.0,359,396,90.7,58,79,73.4,2,1.4,1.9,0.6,20,104,20,1,112
566,Pietro Comuzzo,ITA,DF,Fiorentina,it  Serie A,20-019,2005.0,21.1,916,1068,85.8,18992,5336,227,260,87.3,559,606,92.2,122,173,70.5,0,0.5,0.1,-0.5,4,47,1,0,57
567,Francisco Conceição,POR,FW,Juventus,it  Serie A,22-087,2002.0,11.2,316,405,78.0,5288,757,157,191,82.2,136,157,86.6,19,38,50.0,3,3.8,3.8,-0.8,19,12,16,8,24
568,Diego Conde,ESP,GK,Villarreal,es  La Liga,26-134,1998.0,19.8,467,587,79.6,11408,7465,107,108,99.1,257,263,97.7,101,213,47.4,1,0.2,0.0,0.8,2,7,1,0,0
569,Tomás Conechny,ARG,"FW,MF",Alavés,es  La Liga,26-346,1998.0,7.8,170,272,62.5,2657,781,93,134,69.4,65,94,69.1,8,26,30.8,0,0.2,0.7,-0.2,6,10,9,7,14
