,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
29,Karim Adeyemi,GER,"FW,MF",Dortmund,de  Bundesliga,23-052,2002.0,10.4,219,291,75.3,3235,567,122,145,84.1,75,91,82.4,11,17,64.7,3,2.7,2.0,0.3,18,7,11,0,18
30,Simon Adingra,CIV,"FW,MF",Brighton,eng  Premier League,23-069,2002.0,6.9,167,222,75.2,2322,501,105,120,87.5,47,63,74.6,9,19,47.4,1,1.1,1.7,-0.1,8,3,8,2,10
31,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,4.5,158,210,75.2,1922,372,104,122,85.2,38,50,76.0,4,11,36.4,0,0.2,1.2,-0.2,5,3,10,4,13
32,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,12.4,649,798,81.3,12791,4149,273,301,90.7,260,290,89.7,108,178,60.7,4,2.2,2.0,1.8,21,80,10,3,96
33,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,210,271,77.5,5491,3758,27,27,100.0,117,120,97.5,65,121,53.7,0,0.0,0.0,0.0,0,2,0,0,0
34,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
35,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,0.3,12,16,75.0,202,22,6,8,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1
36,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,4.7,205,237,86.5,3625,963,94,103,91.3,85,94,90.4,21,26,80.8,0,0.3,0.5,-0.3,6,24,3,1,23
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,15.3,274,389,70.4,4795,1122,125,160,78.1,108,137,78.8,33,47,70.2,1,3.3,3.2,-2.3,18,19,11,9,26
38,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,5.7,280,343,81.6,5780,2007,92,100,92.0,143,159,89.9,42,70,60.0,0,0.0,0.0,0.0,0,9,0,0,14
