,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
182,Nikola Vasilj,BIH,GK,St. Pauli,de  Bundesliga,29-099,1995,25,25,2250,25.0,30,1.2,102,70,71.6,6,4,15,7,28.0,4,1,3,0,75.0
183,Devis Vásquez,COL,GK,Empoli,it  Serie A,26-303,1998,23,23,2070,23.0,32,1.39,93,60,66.7,4,9,10,5,21.7,3,1,1,1,50.0
184,Bart Verbruggen,NED,GK,Brighton,eng  Premier League,22-205,2002,26,26,2340,26.0,39,1.5,99,62,66.7,10,10,6,6,23.1,6,6,0,0,0.0
185,Guglielmo Vicario,ITA,GK,Tottenham,eng  Premier League,28-155,1996,16,16,1440,16.0,17,1.06,65,48,73.8,8,2,6,4,25.0,0,0,0,0,
186,Fran Vieites,ESP,GK,Betis,es  La Liga,25-308,1999,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,
187,Iván Villar,ESP,GK,Celta Vigo,es  La Liga,27-245,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
188,Christian Walton,ENG,GK,Ipswich Town,eng  Premier League,29-122,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0
189,Danny Ward,WAL,GK,Leicester City,eng  Premier League,31-262,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
190,Timon Weiner,GER,GK,Holstein Kiel,de  Bundesliga,26-052,1999,24,24,2160,24.0,58,2.42,135,79,60.0,4,5,15,2,8.3,4,4,0,0,0.0
191,Robin Zentner,GER,GK,Mainz 05,de  Bundesliga,30-134,1994,25,25,2250,25.0,26,1.04,103,76,77.7,13,5,7,9,36.0,4,3,1,0,25.0
192,Michael Zetterer,GER,GK,Werder Bremen,de  Bundesliga,29-242,1995,25,25,2250,25.0,49,1.96,120,74,60.8,9,6,10,5,20.0,2,2,0,0,0.0
