,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
657,Charles De Ketelaere,BEL,"MF,FW",Atalanta,it  Serie A,24-001,2001.0,18.5,5,38,17,44.7,2.05,0.92,0.13,0.29,12.1,0,0,0,4.4,4.4,0.12,0.6,0.6
658,Rodrigo De Paul,ARG,MF,Atlético Madrid,es  La Liga,30-291,1994.0,16.6,3,13,4,30.8,0.78,0.24,0.23,0.75,23.2,0,0,0,1.2,1.2,0.09,1.8,1.8
659,Théo De Percin,MTQ,GK,Auxerre,fr  Ligue 1,24-037,2001.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
660,Mattia De Sciglio,ITA,DF,Empoli,it  Serie A,32-142,1992.0,8.5,1,5,3,60.0,0.59,0.35,0.2,0.33,16.9,0,0,0,0.6,0.6,0.12,0.4,0.4
661,Lorenzo De Silvestri,ITA,DF,Bologna,it  Serie A,36-292,1988.0,8.5,1,6,2,33.3,0.7,0.23,0.17,0.5,11.3,0,0,0,0.6,0.6,0.1,0.4,0.4
662,Thibault De Smet,BEL,DF,Reims,fr  Ligue 1,26-279,1998.0,2.1,0,1,0,0.0,0.47,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1
663,Koni De Winter,BEL,DF,Genoa,it  Serie A,22-272,2002.0,15.1,3,11,7,63.6,0.73,0.46,0.27,0.43,9.0,0,0,0,1.7,1.7,0.15,1.3,1.3
664,Amar Dedić,BIH,"DF,FW",Marseille,fr  Ligue 1,22-205,2002.0,1.6,0,4,1,25.0,2.43,0.61,0.0,0.0,15.4,0,0,0,0.8,0.8,0.21,-0.8,-0.8
665,Alessandro Deiola,ITA,MF,Cagliari,it  Serie A,29-222,1995.0,11.6,0,12,2,16.7,1.03,0.17,0.0,0.0,19.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7
666,Romain Del Castillo,FRA,FW,Brest,fr  Ligue 1,28-347,1996.0,11.4,5,14,7,50.0,1.23,0.62,0.14,0.29,20.1,0,3,4,4.6,1.4,0.1,0.4,0.6
667,Enrico Del Prato,ITA,DF,Parma,it  Serie A,25-121,1999.0,22.7,4,10,5,50.0,0.44,0.22,0.4,0.8,12.0,0,0,0,1.9,1.9,0.19,2.1,2.1
668,Liam Delap,ENG,FW,Ipswich Town,eng  Premier League,22-031,2003.0,23.3,10,53,24,45.3,2.28,1.03,0.15,0.33,16.2,0,2,2,8.1,6.5,0.12,1.9,1.5
669,Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,it  Serie A,24-033,2001.0,7.9,3,13,3,23.1,1.65,0.38,0.23,1.0,20.2,0,0,0,1.0,1.0,0.07,2.0,2.0
670,Andy Delort,ALG,FW,Montpellier,fr  Ligue 1,33-153,1991.0,4.8,0,12,3,25.0,2.52,0.63,0.0,0.0,16.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0
671,Olivier Deman,BEL,DF,Werder Bremen,de  Bundesliga,24-339,2000.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
672,Ali Dembélé,FRA,DF,Torino,it  Serie A,21-065,2004.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
673,Ousmane Dembélé,FRA,FW,Paris S-G,fr  Ligue 1,27-300,1997.0,15.5,20,77,42,54.5,4.97,2.71,0.25,0.45,15.9,0,1,1,14.2,13.4,0.17,5.8,5.6
674,Ermedin Demirović,BIH,FW,Stuttgart,de  Bundesliga,26-351,1998.0,14.4,9,42,14,33.3,2.92,0.97,0.21,0.64,12.5,0,0,2,8.1,6.4,0.15,0.9,2.6
675,Sepp van den Berg,NED,DF,Brentford,eng  Premier League,23-081,2001.0,19.5,0,12,4,33.3,0.61,0.2,0.0,0.0,11.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8
676,Arthur Desmas,FRA,GK,Le Havre,fr  Ligue 1,30-338,1994.0,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
677,Justin Devenny,NIR,MF,Crystal Palace,eng  Premier League,21-151,2003.0,3.5,1,6,3,50.0,1.7,0.85,0.17,0.33,22.2,1,0,0,0.5,0.5,0.08,0.5,0.5
678,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,eng  Premier League,26-186,1998.0,2.0,0,1,0,0.0,0.49,0.0,0.0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2
679,Michele Di Gregorio,ITA,GK,Juventus,it  Serie A,27-227,1997.0,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
680,Giovanni Di Lorenzo,ITA,DF,Napoli,it  Serie A,31-219,1993.0,28.0,3,16,4,25.0,0.57,0.14,0.19,0.75,11.4,0,0,0,2.5,2.5,0.17,0.5,0.5
681,Boulaye Dia,SEN,"MF,FW",Lazio,it  Serie A,28-115,1996.0,17.2,7,25,14,56.0,1.45,0.81,0.28,0.5,13.1,0,0,0,4.9,4.9,0.2,2.1,2.1
682,Mouctar Diakhaby,GUI,DF,Valencia,es  La Liga,28-082,1996.0,0.8,1,4,2,50.0,4.74,2.37,0.25,0.5,11.6,0,0,0,0.5,0.5,0.12,0.5,0.5
683,Mamadou Diakhon,FRA,"FW,MF",Reims,fr  Ligue 1,19-170,2005.0,6.3,1,11,5,45.5,1.75,0.79,0.09,0.2,19.8,1,0,0,0.4,0.4,0.04,0.6,0.6
684,Bafodé Diakité,FRA,DF,Lille,fr  Ligue 1,24-064,2001.0,24.0,3,12,6,50.0,0.5,0.25,0.25,0.5,8.2,0,0,0,1.9,1.9,0.16,1.1,1.1
685,Oumar Diakité,CIV,FW,Reims,fr  Ligue 1,21-081,2003.0,17.5,4,26,9,34.6,1.48,0.51,0.15,0.44,12.1,0,0,1,5.5,4.7,0.18,-1.5,-0.7
686,Amad Diallo,CIV,"FW,MF",Manchester Utd,eng  Premier League,22-243,2002.0,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.1,1.9,1.9
687,Assane Diao,ESP,"FW,MF",Como,it  Serie A,19-185,2005.0,9.0,5,17,8,47.1,1.89,0.89,0.29,0.63,15.5,0,0,0,2.1,2.1,0.12,2.9,2.9
688,Assane Diao,ESP,FW,Betis,es  La Liga,19-185,2005.0,3.1,1,7,1,14.3,2.27,0.32,0.14,1.0,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2
689,Habib Diarra,SEN,"MF,FW",Strasbourg,fr  Ligue 1,21-067,2004.0,21.6,4,22,10,45.5,1.02,0.46,0.09,0.2,20.2,0,2,2,3.0,1.4,0.06,1.0,0.6
690,Moussa Diarra,MLI,DF,Alavés,es  La Liga,24-121,2000.0,17.6,0,1,0,0.0,0.06,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0
691,Rúben Dias,POR,DF,Manchester City,eng  Premier League,27-301,1997.0,15.2,0,14,4,28.6,0.92,0.26,0.0,0.0,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1
692,Krépin Diatta,SEN,DF,Monaco,fr  Ligue 1,26-014,1999.0,4.1,0,2,1,50.0,0.49,0.24,0.0,0.0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
693,Kandet Diawara,GUI,FW,Le Havre,fr  Ligue 1,25-029,2000.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
694,Mahamadou Diawara,FRA,MF,Le Havre,fr  Ligue 1,20-022,2005.0,4.6,0,5,1,20.0,1.08,0.22,0.0,0.0,20.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
695,Mahamadou Diawara,FRA,MF,Lyon,fr  Ligue 1,20-022,2005.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
696,Brahim Díaz,MAR,"FW,MF",Real Madrid,es  La Liga,25-220,1999.0,10.9,4,16,8,50.0,1.46,0.73,0.25,0.5,12.2,0,0,0,3.4,3.4,0.22,0.6,0.6
697,Luis Díaz,COL,FW,Liverpool,eng  Premier League,28-057,1997.0,20.6,9,54,23,42.6,2.63,1.12,0.17,0.39,13.9,0,0,0,7.6,7.6,0.14,1.4,1.4
698,Pedro Díaz,ESP,MF,Rayo Vallecano,es  La Liga,26-279,1998.0,6.3,1,12,2,16.7,1.9,0.32,0.08,0.5,23.2,0,0,0,0.7,0.7,0.06,0.3,0.3
699,Tyler Dibling,ENG,"FW,MF",Southampton,eng  Premier League,18-364,2006.0,16.1,2,24,9,37.5,1.49,0.56,0.08,0.22,20.6,0,0,0,2.1,2.1,0.09,-0.1,-0.1
700,Diego,ESP,"FW,MF",Leganés,es  La Liga,24-327,2000.0,7.4,2,18,7,38.9,2.44,0.95,0.11,0.29,13.4,0,0,0,1.7,1.7,0.1,0.3,0.3
701,Justin Diehl,GER,"FW,DF",Stuttgart,de  Bundesliga,20-104,2004.0,1.2,1,7,1,14.3,6.06,0.87,0.14,1.0,15.8,0,0,0,1.0,1.0,0.14,0.0,0.0
702,Bamba Dieng,SEN,"FW,MF",Angers,fr  Ligue 1,24-353,2000.0,5.4,3,12,5,41.7,2.23,0.93,0.17,0.4,18.8,2,1,1,3.0,2.3,0.19,0.0,-0.3
703,Eric Dier,ENG,DF,Bayern Munich,de  Bundesliga,31-055,1994.0,7.3,0,5,2,40.0,0.68,0.27,0.0,0.0,7.1,0,0,0,0.6,0.6,0.11,-0.6,-0.6
704,Lucas Digne,FRA,DF,Aston Villa,eng  Premier League,31-234,1993.0,22.9,0,13,3,23.1,0.57,0.13,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
705,Kembo Diliwidi,FRA,DF,Lens,fr  Ligue 1,19-036,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
706,Federico Dimarco,ITA,"DF,FW",Inter,it  Serie A,27-121,1997.0,18.7,4,47,17,36.2,2.52,0.91,0.09,0.24,20.8,7,0,0,2.7,2.7,0.06,1.3,1.3
707,Stole Dimitrievski,MKD,GK,Valencia,es  La Liga,31-076,1993.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
708,Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,de  Bundesliga,24-110,2000.0,3.3,0,8,0,0.0,2.46,0.0,0.0,,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9
709,Eren Dinkçi,GER,"MF,FW",Freiburg,de  Bundesliga,23-088,2001.0,12.7,0,13,3,23.1,1.02,0.24,0.0,0.0,20.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9
710,Sinaly Diomande,CIV,DF,Auxerre,fr  Ligue 1,23-336,2001.0,13.8,3,7,3,42.9,0.51,0.22,0.43,1.0,14.3,0,0,0,1.0,1.0,0.15,2.0,2.0
711,Lois Diony,FRA,FW,Angers,fr  Ligue 1,32-081,1992.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
712,Issa Diop,FRA,DF,Fulham,eng  Premier League,28-061,1997.0,14.0,0,5,2,40.0,0.36,0.14,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
713,Sérigné Diop,SEN,FW,Brest,fr  Ligue 1,19-303,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
714,Sofiane Diop,FRA,"MF,FW",Nice,fr  Ligue 1,24-275,2000.0,9.7,6,21,11,52.4,2.17,1.14,0.29,0.55,16.7,3,0,0,5.9,5.9,0.28,0.1,0.1
715,Andy Diouf,FRA,MF,Lens,fr  Ligue 1,21-298,2003.0,18.4,1,27,3,11.1,1.47,0.16,0.04,0.33,19.9,0,0,0,1.9,1.9,0.07,-0.9,-0.9
716,Yehvann Diouf,FRA,GK,Reims,fr  Ligue 1,25-115,1999.0,25.0,0,1,1,100.0,0.04,0.04,0.0,0.0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
717,Assane Dioussé,SEN,MF,Auxerre,fr  Ligue 1,27-172,1997.0,2.4,0,2,1,50.0,0.84,0.42,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
718,Axel Disasi,FRA,DF,Aston Villa,eng  Premier League,27-000,1998.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,7.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
719,Axel Disasi,FRA,DF,Chelsea,eng  Premier League,27-000,1998.0,4.0,1,2,1,50.0,0.49,0.25,0.5,1.0,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7
720,Roman Dixon,ENG,DF,Everton,eng  Premier League,20-075,2004.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
721,Álvaro djaló,ESP,FW,Athletic Club,es  La Liga,25-207,1999.0,5.1,1,14,3,21.4,2.76,0.59,0.07,0.33,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2
722,Djené,TOG,"DF,MF",Getafe,es  La Liga,33-070,1991.0,23.0,0,5,0,0.0,0.22,0.0,0.0,,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
723,Nasser Djiga,BFA,DF,Wolves,eng  Premier League,22-116,2002.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
724,Berat Djimsiti,ALB,DF,Atalanta,it  Serie A,32-020,1993.0,21.0,1,16,4,25.0,0.76,0.19,0.06,0.25,9.5,0,0,0,2.4,2.4,0.15,-1.4,-1.4
725,Marko Dmitrović,SRB,GK,Leganés,es  La Liga,33-046,1992.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
726,Ritsu Doan,JPN,FW,Freiburg,de  Bundesliga,26-268,1998.0,23.0,8,43,18,41.9,1.87,0.78,0.19,0.44,16.7,1,0,0,5.0,5.0,0.13,3.0,3.0
727,Dodô,BRA,DF,Fiorentina,it  Serie A,26-114,1998.0,26.7,0,20,4,20.0,0.75,0.15,0.0,0.0,17.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8
728,Danilho Doekhi,NED,DF,Union Berlin,de  Bundesliga,26-254,1998.0,25.0,1,31,4,12.9,1.24,0.16,0.03,0.25,10.4,0,0,0,2.5,2.5,0.08,-1.5,-1.5
729,Matt Doherty,IRL,DF,Wolves,eng  Premier League,33-054,1992.0,16.9,2,9,3,33.3,0.53,0.18,0.22,0.67,11.3,0,0,0,1.0,1.0,0.11,1.0,1.0
730,Jeremy Doku,BEL,"FW,MF",Manchester City,eng  Premier League,22-288,2002.0,11.9,3,23,9,39.1,1.93,0.75,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,2.0,2.0
731,Marc Domenech,ESP,FW,Mallorca,es  La Liga,19-069,2006.0,1.3,0,3,1,33.3,2.35,0.78,0.0,0.0,21.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
732,Álex Domínguez,ESP,GK,Toulouse,fr  Ligue 1,26-224,1998.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
733,Benjamín Domínguez,ARG,FW,Bologna,it  Serie A,21-173,2003.0,10.7,3,23,13,56.5,2.16,1.22,0.13,0.23,18.7,0,0,0,1.9,1.9,0.08,1.1,1.1
734,Carlos Dominguez,ESP,DF,Celta Vigo,es  La Liga,24-028,2001.0,8.2,0,3,1,33.3,0.37,0.12,0.0,0.0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
735,Israel Domínguez,ESP,FW,Sevilla,es  La Liga,21-308,2003.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
736,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,eng  Premier League,26-256,1998.0,14.8,0,15,6,40.0,1.02,0.41,0.0,0.0,18.3,0,0,0,1.3,1.3,0.09,-1.3,-1.3
737,Sergi Dominguez,ESP,DF,Barcelona,es  La Liga,19-344,2005.0,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
738,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr  Ligue 1,26-014,1999.0,18.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
739,Patrick Dorgu,DEN,DF,Manchester Utd,eng  Premier League,20-136,2004.0,2.5,0,2,1,50.0,0.81,0.41,0.0,0.0,17.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
740,Patrick Dorgu,DEN,"DF,FW",Lecce,it  Serie A,20-136,2004.0,20.4,3,36,10,27.8,1.76,0.49,0.08,0.3,19.0,0,0,0,3.3,3.3,0.09,-0.3,-0.3
741,Alfie Dorrington,ENG,DF,Tottenham,eng  Premier League,19-325,2005.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
742,Niklas Dorsch,GER,MF,Augsburg,de  Bundesliga,27-055,1998.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
743,Niklas Dorsch,GER,MF,Heidenheim,de  Bundesliga,27-055,1998.0,9.0,2,5,2,40.0,0.56,0.22,0.4,1.0,19.5,1,0,0,0.8,0.8,0.17,1.2,1.2
744,Alberto Dossena,ITA,DF,Como,it  Serie A,26-149,1998.0,20.1,0,12,3,25.0,0.6,0.15,0.0,0.0,11.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8
745,Abdoulaye Doucouré,MLI,MF,Everton,eng  Premier League,32-069,1993.0,21.3,2,21,5,23.8,0.99,0.24,0.1,0.4,14.0,0,0,0,3.0,3.0,0.14,-1.0,-1.0
746,Cheick Doucouré,MLI,MF,Crystal Palace,eng  Premier League,25-062,2000.0,5.0,0,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
747,Désiré Doué,FRA,"FW,MF",Paris S-G,fr  Ligue 1,19-281,2005.0,13.4,2,40,13,32.5,3.0,0.97,0.05,0.15,18.5,0,0,0,2.7,2.7,0.07,-0.7,-0.7
748,Guela Doué,CIV,DF,Strasbourg,fr  Ligue 1,22-145,2002.0,23.2,1,17,6,35.3,0.73,0.26,0.06,0.17,13.8,0,0,0,0.8,0.8,0.05,0.2,0.2
749,Douglas,BRA,MF,Nantes,fr  Ligue 1,28-057,1997.0,18.1,2,24,11,45.8,1.32,0.61,0.08,0.18,15.6,0,0,0,2.6,2.6,0.11,-0.6,-0.6
750,Ismaël Doukouré,FRA,"MF,DF",Strasbourg,fr  Ligue 1,21-230,2003.0,20.8,0,1,0,0.0,0.05,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
751,Issa Doumbia,CIV,MF,Venezia,it  Serie A,21-146,2003.0,7.2,0,9,3,33.3,1.25,0.42,0.0,0.0,15.8,0,0,0,0.6,0.6,0.07,-0.6,-0.6
752,Kamory Doumbia,MLI,MF,Brest,fr  Ligue 1,22-021,2003.0,10.3,1,16,7,43.8,1.55,0.68,0.06,0.14,18.4,1,0,0,1.7,1.7,0.11,-0.7,-0.7
753,Amidou Doumbouya,FRA,DF,Nice,fr  Ligue 1,17-218,2007.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
754,Anastasios Douvikas,GRE,FW,Como,it  Serie A,25-221,1999.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
755,Anastasios Douvikas,GRE,FW,Celta Vigo,es  La Liga,25-221,1999.0,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,11.1,0,0,0,4.4,4.4,0.26,-1.4,-1.4
756,Artem Dovbyk,UKR,FW,Roma,it  Serie A,27-263,1997.0,20.3,9,45,18,40.0,2.21,0.88,0.16,0.39,13.6,0,2,2,9.5,7.9,0.18,-0.5,-0.9
757,Flynn Downes,ENG,MF,Southampton,eng  Premier League,26-050,1999.0,16.8,1,9,3,33.3,0.54,0.18,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,0.4,0.4
758,Tommy Doyle,ENG,MF,Wolves,eng  Premier League,23-145,2001.0,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6
759,Radu Drăgușin,ROU,DF,Tottenham,eng  Premier League,23-036,2002.0,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
760,Patrick Drewes,GER,GK,Bochum,de  Bundesliga,32-035,1993.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
761,Tim Drexler,GER,DF,Hoffenheim,de  Bundesliga,20-005,2005.0,4.0,0,2,2,100.0,0.5,0.5,0.0,0.0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
762,Domingos Duarte,POR,DF,Getafe,es  La Liga,30-001,1995.0,11.0,0,1,0,0.0,0.09,0.0,0.0,,14.4,0,0,0,0.0,0.0,0.01,0.0,0.0
763,Martin Dúbravka,SVK,GK,Newcastle Utd,eng  Premier League,36-055,1989.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
764,Marvin Ducksch,GER,FW,Werder Bremen,de  Bundesliga,31-004,1994.0,19.9,6,51,20,39.2,2.57,1.01,0.1,0.25,17.7,6,1,2,7.8,6.2,0.12,-1.8,-1.2
765,Ondrej Duda,SVK,MF,Hellas Verona,it  Serie A,30-096,1994.0,17.9,0,15,3,20.0,0.84,0.17,0.0,0.0,26.8,2,0,0,0.6,0.6,0.04,-0.6,-0.6
766,Duk,CPV,"MF,FW",Leganés,es  La Liga,25-023,2000.0,0.5,0,1,1,100.0,1.84,1.84,0.0,0.0,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0
767,Denzel Dumfries,NED,"DF,FW",Inter,it  Serie A,28-327,1996.0,18.8,6,34,17,50.0,1.8,0.9,0.18,0.35,10.5,0,0,0,5.1,5.1,0.15,0.9,0.9
768,Alfred Duncan,GHA,MF,Venezia,it  Serie A,32-001,1993.0,9.6,0,14,4,28.6,1.45,0.42,0.0,0.0,25.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8
769,Lewis Dunk,ENG,DF,Brighton,eng  Premier League,33-110,1991.0,17.4,0,10,2,20.0,0.58,0.12,0.0,0.0,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7
770,Jáder Durán,COL,FW,Aston Villa,eng  Premier League,21-088,2003.0,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
771,Pablo Durán,ESP,"FW,MF",Celta Vigo,es  La Liga,23-290,2001.0,9.9,4,16,6,37.5,1.62,0.61,0.25,0.67,14.0,0,0,0,2.8,2.8,0.18,1.2,1.2
772,Julien Duranville,BEL,"FW,MF",Dortmund,de  Bundesliga,18-310,2006.0,2.9,0,3,1,33.3,1.03,0.34,0.0,0.0,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
773,Hugo Duro,ESP,FW,Valencia,es  La Liga,25-121,1999.0,18.8,7,37,11,29.7,1.96,0.58,0.19,0.64,11.1,1,0,0,6.4,6.4,0.17,0.6,0.6
774,Jean-Kevin Duverne,HAI,DF,Nantes,fr  Ligue 1,27-242,1997.0,6.0,0,4,0,0.0,0.67,0.0,0.0,,17.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
775,Paulo Dybala,ARG,"FW,MF",Roma,it  Serie A,31-116,1993.0,15.6,6,47,15,31.9,3.01,0.96,0.06,0.2,21.1,6,3,3,6.4,4.0,0.09,-0.4,-1.0
776,Stefan Džodić,SRB,"DF,MF",Montpellier,fr  Ligue 1,19-361,2005.0,2.1,0,2,0,0.0,0.95,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
777,Adam Dźwigała,POL,"DF,MF",St. Pauli,de  Bundesliga,29-167,1995.0,2.1,0,5,0,0.0,2.34,0.0,0.0,,11.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
778,Aron Dønnum,NOR,"DF,MF",Toulouse,fr  Ligue 1,26-325,1998.0,22.0,1,24,4,16.7,1.09,0.18,0.04,0.25,20.4,0,0,0,1.6,1.6,0.07,-0.6,-0.6
779,Enzo Ebosse,CMR,DF,Udinese,it  Serie A,26-000,1999.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
780,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993.0,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
781,Éderson,BRA,MF,Atalanta,it  Serie A,25-247,1999.0,24.9,3,29,10,34.5,1.17,0.4,0.1,0.3,17.6,0,0,0,2.9,2.9,0.1,0.1,0.1
782,Noah Edjouma,FRA,"MF,FW",Toulouse,fr  Ligue 1,19-158,2005.0,0.9,2,5,3,60.0,5.63,3.38,0.4,0.67,10.2,0,0,0,1.3,1.3,0.26,0.7,0.7
783,George Edmundson,ENG,DF,Ipswich Town,eng  Premier League,27-192,1997.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
784,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,eng  Premier League,27-054,1998.0,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
785,Odsonne Édouard,FRA,FW,Leicester City,eng  Premier League,27-054,1998.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
786,Samuel Edozie,ENG,"DF,FW",Southampton,eng  Premier League,22-042,2003.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
787,Ronnie Edwards,ENG,DF,Southampton,eng  Premier League,21-348,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
788,Johannes Eggestein,GER,FW,St. Pauli,de  Bundesliga,26-307,1998.0,20.0,3,34,10,29.4,1.7,0.5,0.06,0.2,15.7,0,1,2,4.7,3.1,0.09,-1.7,-1.1
789,Maximilian Eggestein,GER,MF,Freiburg,de  Bundesliga,28-093,1996.0,22.8,0,21,5,23.8,0.92,0.22,0.0,0.0,20.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2
790,Kingsley Ehizibue,NED,DF,Udinese,it  Serie A,29-290,1995.0,20.8,0,12,3,25.0,0.58,0.14,0.0,0.0,15.4,0,0,0,1.1,1.1,0.1,-1.1,-1.1
791,Chidera Ejuke,NGA,FW,Sevilla,es  La Liga,27-068,1998.0,8.2,2,17,6,35.3,2.07,0.73,0.12,0.33,18.8,0,0,0,0.9,0.9,0.05,1.1,1.1
792,Jeff Ekhator,ITA,"FW,MF",Genoa,it  Serie A,18-120,2006.0,7.1,1,10,3,30.0,1.41,0.42,0.1,0.33,15.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3
793,Hugo Ekitike,FRA,FW,Eint Frankfurt,de  Bundesliga,22-264,2002.0,19.9,13,82,32,39.0,4.12,1.61,0.15,0.38,15.3,0,1,3,17.1,14.8,0.18,-4.1,-2.8
794,Jurgen Ekkelenkamp,NED,MF,Udinese,it  Serie A,24-340,2000.0,14.6,3,17,8,47.1,1.16,0.55,0.18,0.38,17.5,0,0,0,1.6,1.6,0.09,1.4,1.4
795,Jacques Ekomie,GAB,DF,Angers,fr  Ligue 1,21-204,2003.0,3.8,0,1,0,0.0,0.26,0.0,0.0,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0
