,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
31,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,4.5,1,13,4,30.8,2.9,0.89,0.08,0.25,13.1,0,0,0,1.5,1.5,0.12,-0.5,-0.5
32,Yacine Adli,FRA,MF,Fiorentina,it  Serie A,24-225,2000.0,12.4,3,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.5,0.5,0.04,2.5,2.5
33,Adrián,ESP,GK,Betis,es  La Liga,38-067,1987.0,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
34,Adryelson,BRA,DF,Lyon,fr  Ligue 1,26-353,1998.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Vasilije Adžić,MNE,"MF,FW",Juventus,it  Serie A,18-303,2006.0,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
36,Michel Aebischer,SUI,MF,Bologna,it  Serie A,28-064,1997.0,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,20.3,1,0,0,0.3,0.3,0.04,-0.3,-0.3
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,de  Bundesliga,27-027,1998.0,15.3,2,31,10,32.3,2.03,0.65,0.06,0.2,19.6,0,0,0,2.8,2.8,0.09,-0.8,-0.8
38,Emmanuel Agbadou,CIV,DF,Wolves,eng  Premier League,27-267,1997.0,5.7,0,2,1,50.0,0.35,0.18,0.0,0.0,35.3,0,0,0,0.0,0.0,0.02,0.0,0.0
39,Emmanuel Agbadou,CIV,DF,Reims,fr  Ligue 1,27-267,1997.0,14.0,0,15,3,20.0,1.07,0.21,0.0,0.0,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5
40,Asher Agbinone,ENG,MF,Crystal Palace,eng  Premier League,19-164,2005.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,fr  Ligue 1,19-138,2005.0,1.6,1,3,2,66.7,1.84,1.22,0.33,0.5,13.0,0,0,0,0.5,0.5,0.17,0.5,0.5
42,Julen Agirrezabala,ESP,GK,Athletic Club,es  La Liga,24-075,2000.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
43,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,13.8,0,7,0,0.0,0.51,0.0,0.0,,14.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
44,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,11.0,2,3,3,100.0,0.27,0.27,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,1.3,1.3
45,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,4.5,0,9,0,0.0,2.0,0.0,0.0,,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
46,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
47,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,18.6,0,15,5,33.3,0.81,0.27,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4
48,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,6.8,1,4,2,50.0,0.58,0.29,0.25,0.5,15.2,0,0,0,0.3,0.3,0.07,0.7,0.7
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,0.6,0,1,0,0.0,1.55,0.0,0.0,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0
50,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,0.9,0,1,0,0.0,1.06,0.0,0.0,,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
52,Jean-Eudes Aholou,CIV,MF,Angers,fr  Ligue 1,30-356,1994.0,19.5,2,26,7,26.9,1.34,0.36,0.08,0.29,18.5,0,0,0,1.8,1.8,0.07,0.2,0.2
53,Joseph Aidoo,GHA,DF,Valladolid,es  La Liga,29-163,1995.0,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
54,Joseph Aidoo,GHA,DF,Celta Vigo,es  La Liga,29-163,1995.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,fr  Ligue 1,19-259,2005.0,1.4,0,3,1,33.3,2.13,0.71,0.0,0.0,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
56,Ola Aina,NGA,DF,Nott'ham Forest,eng  Premier League,28-154,1996.0,27.1,2,8,2,25.0,0.29,0.07,0.25,1.0,25.0,0,0,0,0.6,0.6,0.07,1.4,1.4
57,Rayan Aït-Nouri,ALG,DF,Wolves,eng  Premier League,23-278,2001.0,25.6,3,22,5,22.7,0.86,0.2,0.14,0.6,15.1,0,0,0,1.9,1.9,0.09,1.1,1.1
58,Junior Ajayi,CIV,FW,Hellas Verona,it  Serie A,20-151,2004.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
59,Kristoffer Ajer,NOR,DF,Brentford,eng  Premier League,26-328,1998.0,12.6,0,7,2,28.6,0.56,0.16,0.0,0.0,10.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7
60,Ludovic Ajorque,FRA,FW,Brest,fr  Ligue 1,31-014,1994.0,19.5,10,36,18,50.0,1.85,0.92,0.28,0.56,11.9,0,0,1,8.0,7.3,0.2,2.0,2.7
61,Manuel Akanji,SUI,DF,Manchester City,eng  Premier League,29-235,1995.0,19.0,0,10,1,10.0,0.53,0.05,0.0,0.0,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
62,Ümit Akdag,ROU,DF,Toulouse,fr  Ligue 1,21-156,2003.0,4.8,0,2,0,0.0,0.41,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
63,Nathan Aké,NED,DF,Manchester City,eng  Premier League,30-021,1995.0,7.5,0,3,0,0.0,0.4,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,es  La Liga,20-329,2004.0,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,0.4,0.4
65,Sergio Akieme,ESP,DF,Reims,fr  Ligue 1,27-085,1997.0,19.5,1,19,4,21.1,0.97,0.2,0.05,0.25,21.1,0,0,0,0.6,0.6,0.03,0.4,0.4
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,fr  Ligue 1,23-014,2002.0,18.9,3,43,10,23.3,2.28,0.53,0.07,0.3,16.3,1,0,0,5.3,5.3,0.12,-2.3,-2.3
67,Clément Akpa,CIV,DF,Auxerre,fr  Ligue 1,23-107,2001.0,20.6,0,4,1,25.0,0.19,0.05,0.0,0.0,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
68,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it  Serie A,32-151,1992.0,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
69,David Akpan Ankeye,NGA,"FW,MF",Genoa,it  Serie A,23-025,2002.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
70,Kevin Akpoguma,NGA,DF,Hoffenheim,de  Bundesliga,29-326,1995.0,18.8,0,3,0,0.0,0.16,0.0,0.0,,30.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
71,Chuba Akpom,ENG,FW,Lille,fr  Ligue 1,29-153,1995.0,3.2,2,9,6,66.7,2.82,1.88,0.22,0.33,12.9,0,0,1,2.2,1.4,0.16,-0.2,0.6
72,David Alaba,AUT,DF,Real Madrid,es  La Liga,32-260,1992.0,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
73,Andreas Albers,DEN,FW,St. Pauli,de  Bundesliga,34-353,1990.0,0.7,1,3,1,33.3,4.35,1.45,0.33,1.0,11.9,0,0,0,0.6,0.6,0.2,0.4,0.4
74,Raúl Albiol,ESP,DF,Villarreal,es  La Liga,39-188,1985.0,13.2,0,2,0,0.0,0.15,0.0,0.0,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
75,Carlos Alcaraz,ARG,MF,Southampton,eng  Premier League,22-101,2002.0,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
76,Carlos Alcaraz,ARG,"MF,FW",Everton,eng  Premier League,22-101,2002.0,2.5,1,12,5,41.7,4.76,1.98,0.08,0.2,23.2,0,0,0,0.7,0.7,0.06,0.3,0.3
77,Omar Alderete,PAR,DF,Getafe,es  La Liga,28-075,1996.0,23.7,0,27,7,25.9,1.14,0.29,0.0,0.0,21.9,5,0,0,0.7,0.7,0.03,-0.7,-0.7
78,Carles Aleñá,ESP,"MF,FW",Getafe,es  La Liga,27-065,1998.0,5.0,0,5,1,20.0,1.0,0.2,0.0,0.0,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9
79,Carles Aleñá,ESP,"MF,FW",Alavés,es  La Liga,27-065,1998.0,4.0,0,6,2,33.3,1.52,0.51,0.0,0.0,18.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
80,Trent Alexander-Arnold,ENG,DF,Liverpool,eng  Premier League,26-155,1998.0,23.8,2,38,7,18.4,1.59,0.29,0.05,0.29,23.6,2,0,0,1.6,1.6,0.04,0.4,0.4
81,Alfon,ESP,"FW,MF",Celta Vigo,es  La Liga,25-311,1999.0,7.6,2,28,10,35.7,3.69,1.32,0.07,0.2,16.8,0,0,0,3.3,3.3,0.12,-1.3,-1.3
82,Mohamed Ali Cho,FRA,"FW,MF",Nice,fr  Ligue 1,21-051,2004.0,15.8,3,33,14,42.4,2.08,0.88,0.09,0.21,17.8,0,0,0,3.4,3.4,0.1,-0.4,-0.4
83,Faride Alidou,GER,"FW,MF",Hellas Verona,it  Serie A,23-236,2001.0,0.8,0,1,0,0.0,1.27,0.0,0.0,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
