,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
113,Jonas Omlin,SUI,GK,Gladbach,de  Bundesliga,31-060,1994,5.1,10,1,0,1,0,9.8,0.28,-0.2,-0.05,38,89,42.7,245,15,29.8,31.2,26,61.5,45.0,69,1,1.4,5,0.98,16.2
114,André Onana,CMR,GK,Manchester Utd,eng  Premier League,28-343,1996,28.0,40,3,0,10,1,40.1,0.32,1.1,0.04,92,362,25.4,969,114,29.2,30.0,115,68.7,48.2,334,19,5.7,18,0.64,11.5
115,Stefan Ortega,GER,GK,Manchester City,eng  Premier League,32-125,1992,9.0,15,1,0,1,0,13.4,0.33,-1.6,-0.18,31,69,44.9,287,36,18.8,25.2,45,33.3,27.5,96,2,2.1,9,1.0,15.3
116,Jesús Owono,EQG,GK,Alavés,es  La Liga,24-010,2001,4.4,6,1,0,2,0,4.5,0.39,-1.5,-0.34,42,95,44.2,106,11,58.5,44.2,34,97.1,67.7,61,6,9.8,1,0.23,8.1
117,Daniele Padelli,ITA,GK,Udinese,it  Serie A,39-137,1985,1.0,0,0,0,0,0,0.8,0.26,0.8,0.77,3,7,42.9,18,2,33.3,30.5,2,50.0,32.0,11,1,9.1,0,0.0,15.0
118,Alex Padilla,ESP,GK,Athletic Club,es  La Liga,21-191,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
119,Alberto Paleari,ITA,GK,Torino,it  Serie A,32-194,1992,1.0,3,0,0,0,0,2.2,0.32,-0.8,-0.77,8,12,66.7,26,5,34.6,31.0,6,50.0,42.0,12,0,0.0,5,5.0,27.3
120,Alex Palmer,ENG,GK,Ipswich Town,eng  Premier League,28-213,1996,4.0,9,0,0,2,1,8.2,0.39,0.2,0.05,18,48,37.5,84,11,32.1,33.2,30,70.0,51.2,62,4,6.5,4,1.0,11.7
121,Rui Patrício,POR,GK,Atalanta,it  Serie A,37-024,1988,2.0,1,0,0,0,0,2.8,0.38,1.8,0.92,4,7,57.1,51,9,9.8,24.3,11,18.2,32.3,12,0,0.0,9,4.5,24.5
122,Iñaki Peña,ESP,GK,Barcelona,es  La Liga,26-009,1999,14.5,18,2,0,1,0,16.6,0.29,-1.4,-0.1,21,75,28.0,511,74,11.0,25.0,77,24.7,31.1,135,3,2.2,89,6.13,23.8
123,Daniel Peretz,ISR,GK,Bayern Munich,de  Bundesliga,24-244,2000,3.0,5,0,0,0,0,4.0,0.58,-1.0,-0.32,5,25,20.0,96,5,25.0,29.5,7,14.3,29.6,17,0,0.0,8,2.67,21.2
124,Simone Perilli,ITA,GK,Hellas Verona,it  Serie A,30-063,1995,1.0,1,0,0,0,0,2.0,0.34,1.0,1.04,3,16,18.8,17,2,64.7,48.8,6,83.3,62.2,18,1,5.6,3,3.0,22.3
125,Mattia Perin,ITA,GK,Juventus,it  Serie A,32-121,1992,5.0,3,0,0,0,0,3.7,0.23,0.7,0.14,11,44,25.0,170,30,22.4,29.4,12,50.0,40.8,50,3,6.0,3,0.6,14.0
126,Lucas Perri,BRA,GK,Lyon,fr  Ligue 1,27-091,1997,25.0,31,2,1,3,0,37.5,0.29,6.5,0.26,88,271,32.5,681,141,32.2,31.8,127,40.9,38.2,345,24,7.0,24,0.96,13.7
127,Đorđe Petrović,SRB,GK,Strasbourg,fr  Ligue 1,25-154,1999,22.0,26,4,0,2,2,31.0,0.28,7.0,0.32,92,264,34.8,1028,87,21.9,27.8,77,50.6,42.4,363,24,6.6,32,1.45,15.3
128,Luca Philipp,GER,GK,Hoffenheim,de  Bundesliga,24-103,2000,5.0,11,1,0,1,1,10.1,0.35,0.1,0.01,27,83,32.5,137,21,51.1,38.7,31,41.9,39.4,66,3,4.5,3,0.6,11.8
129,Jordan Pickford,ENG,GK,Everton,eng  Premier League,31-004,1994,28.0,35,0,1,6,0,35.6,0.3,0.6,0.02,240,617,38.9,978,123,51.3,40.5,186,61.8,48.3,415,23,5.5,51,1.82,16.0
130,Semuel Pizzignacco,ITA,GK,Monza,it  Serie A,23-191,2001,4.3,7,0,0,0,0,6.1,0.34,-0.9,-0.21,26,54,48.1,114,12,36.8,32.8,28,42.9,39.8,60,0,0.0,4,0.94,16.0
131,Nick Pope,ENG,GK,Newcastle Utd,eng  Premier League,32-326,1992,18.0,26,0,0,3,1,24.8,0.3,-0.2,-0.01,47,183,25.7,385,117,28.1,31.3,135,55.6,43.9,251,25,10.0,36,2.0,14.3
132,Ivan Provedel,ITA,GK,Lazio,it  Serie A,30-359,1994,27.0,36,4,0,3,2,27.5,0.3,-6.5,-0.24,129,339,38.1,911,87,30.4,33.2,103,60.2,46.7,339,27,8.0,26,0.96,13.9
133,Ionuț Radu,ROU,GK,Venezia,it  Serie A,27-287,1997,5.0,4,1,0,0,0,6.3,0.26,2.3,0.47,15,84,17.9,179,19,41.9,37.8,15,60.0,45.9,65,6,9.2,0,0.0,8.4
134,Hákon Rafn Valdimarsson,ISL,GK,Brentford,eng  Premier League,23-149,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.0,4.7
135,Aaron Ramsdale,ENG,GK,Southampton,eng  Premier League,26-301,1998,20.0,48,4,0,9,0,45.3,0.32,-2.7,-0.13,132,400,33.0,733,90,42.7,35.5,116,75.0,54.1,263,17,6.5,14,0.7,12.4
136,Federico Ravaglia,ITA,GK,Bologna,it  Serie A,25-120,1999,8.0,9,1,0,1,0,7.0,0.37,-2.0,-0.25,29,82,35.4,283,39,24.7,29.4,29,41.4,37.4,70,11,15.7,5,0.63,11.6
137,David Raya,ESP,GK,Arsenal,eng  Premier League,29-177,1995,28.0,24,2,2,4,0,24.8,0.25,0.8,0.03,117,353,33.1,910,123,30.7,30.1,109,67.9,48.9,300,38,12.7,43,1.54,16.3
138,Pepe Reina,ESP,GK,Como,it  Serie A,42-192,1982,10.0,12,1,0,3,0,9.7,0.26,-2.3,-0.23,39,103,37.9,285,35,33.7,32.2,26,26.9,29.5,131,2,1.5,5,0.5,12.2
139,Álex Remiro,ESP,GK,Real Sociedad,es  La Liga,29-352,1995,26.0,27,5,0,4,0,25.3,0.23,-1.7,-0.06,141,360,39.2,744,76,32.9,33.2,173,66.5,50.8,316,18,5.7,23,0.88,13.3
140,Guillaume Restes,FRA,GK,Toulouse,fr  Ligue 1,20-000,2005,20.3,22,1,0,2,2,18.5,0.28,-1.5,-0.07,53,195,27.2,495,58,28.7,29.3,95,55.8,42.0,251,4,1.6,23,1.14,16.1
141,Adrian Rodriguez,ESP,GK,Alavés,es  La Liga,24-089,2000,0.4,0,0,0,0,0,0.0,,0.0,0.0,5,17,29.4,6,0,100.0,62.0,11,100.0,68.2,12,0,0.0,0,0.0,8.0
142,Leo Román,ESP,GK,Mallorca,es  La Liga,24-248,2000,5.0,7,1,0,0,0,8.5,0.31,1.5,0.3,33,91,36.3,140,12,52.1,41.4,30,60.0,50.9,75,4,5.3,2,0.4,12.0
143,Gerónimo Rulli,ARG,GK,Marseille,fr  Ligue 1,32-295,1992,25.0,30,2,1,3,1,32.8,0.3,3.8,0.15,65,160,40.6,817,98,15.2,24.3,84,42.9,35.6,238,20,8.4,46,1.84,18.0
144,Mathew Ryan,AUS,GK,Lens,fr  Ligue 1,32-337,1992,5.0,7,2,0,0,0,8.1,0.34,1.1,0.22,15,52,28.8,123,26,30.1,31.5,23,65.2,42.7,71,9,12.7,5,1.0,12.7
145,Frederik Rønnow,DEN,GK,Union Berlin,de  Bundesliga,32-219,1992,20.0,25,1,1,1,1,28.8,0.33,4.8,0.24,91,250,36.4,553,108,33.5,33.1,90,72.2,52.8,293,26,8.9,19,0.95,13.0
146,José Sá,POR,GK,Wolves,eng  Premier League,32-053,1993,21.0,40,4,1,5,2,33.5,0.32,-4.5,-0.22,64,279,22.9,563,86,38.5,35.2,117,53.0,41.2,333,24,7.2,35,1.67,15.6
147,Matvei Safonov,RUS,GK,Paris S-G,fr  Ligue 1,26-014,1999,6.8,5,2,0,1,0,5.5,0.23,0.5,0.07,23,59,39.0,199,37,25.6,28.8,31,25.8,29.1,65,5,7.7,12,1.77,18.1
148,Brice Samba,FRA,GK,Rennes,fr  Ligue 1,30-320,1994,8.0,13,0,0,2,0,15.1,0.33,2.1,0.27,33,107,30.8,281,32,27.8,31.1,57,50.9,38.0,107,6,5.6,6,0.75,12.7
149,Brice Samba,FRA,GK,Lens,fr  Ligue 1,30-320,1994,15.0,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1
150,Robert Sánchez,ESP,GK,Chelsea,eng  Premier League,27-113,1997,22.0,27,4,0,2,0,27.9,0.24,0.9,0.04,61,257,23.7,819,134,29.1,31.4,52,36.5,33.6,229,30,13.1,45,2.05,15.2
151,Kauã Santos,BRA,GK,Eint Frankfurt,de  Bundesliga,21-334,2003,4.5,9,1,0,3,1,8.0,0.24,0.0,0.0,12,49,24.5,145,23,29.0,30.9,16,43.8,38.8,77,9,11.7,8,1.78,13.6
152,Razvan Sava,ROU,GK,Udinese,it  Serie A,22-263,2002,12.0,16,3,1,4,2,14.5,0.24,0.5,0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2.0,13,1.08,14.8
153,Alexander Schwolow,GER,GK,Union Berlin,de  Bundesliga,32-282,1992,5.0,12,1,0,0,0,8.2,0.32,-3.8,-0.75,25,53,47.2,133,23,29.3,29.9,26,53.8,42.3,68,0,0.0,4,0.8,15.0
154,Simone Scuffet,ITA,GK,Cagliari,it  Serie A,28-284,1996,13.0,23,5,0,6,0,20.4,0.28,-2.6,-0.2,71,181,39.2,305,50,42.0,35.5,99,53.5,42.3,189,6,3.2,7,0.54,11.8
155,Jacopo Seghetti,ITA,GK,Empoli,it  Serie A,20-022,2005,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.12,3,9,33.3,16,5,37.5,33.8,5,60.0,39.0,4,0,0.0,1,1.0,26.0
156,Matz Sels,BEL,GK,Nott'ham Forest,eng  Premier League,33-013,1992,28.0,33,2,1,4,0,36.0,0.29,3.0,0.11,192,532,36.1,532,61,70.7,45.6,194,80.4,55.4,506,17,3.4,6,0.21,7.9
157,Alen Sherri,ALB,GK,Cagliari,it  Serie A,27-086,1997,6.0,9,0,0,0,0,8.6,0.35,-0.4,-0.07,25,67,37.3,150,20,32.7,30.9,48,37.5,34.4,64,4,6.3,5,0.83,12.5
158,Rui Silva,POR,GK,Betis,es  La Liga,31-032,1994,15.0,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9
159,Marco Silvestri,ITA,GK,Empoli,it  Serie A,34-009,1991,4.0,10,0,0,3,1,7.2,0.33,-1.8,-0.46,21,60,35.0,101,12,56.4,39.5,13,23.1,25.2,54,1,1.9,4,1.0,13.0
160,Unai Simón,ESP,GK,Athletic Club,es  La Liga,27-273,1997,10.0,9,0,0,1,0,8.7,0.31,-0.3,-0.03,40,109,36.7,237,43,30.4,31.8,49,75.5,57.2,115,5,4.3,17,1.7,17.6
161,Tobias Sippel,GER,GK,Gladbach,de  Bundesliga,36-354,1988,0.7,3,0,0,1,0,1.2,0.3,-1.8,-2.72,9,22,40.9,22,2,45.5,39.2,12,100.0,69.2,13,0,0.0,0,0.0,2.0
162,Antonio Sivera,ESP,GK,Alavés,es  La Liga,28-212,1996,22.2,34,9,2,1,1,33.7,0.29,0.7,0.03,209,484,43.2,549,58,66.8,46.0,150,78.0,56.7,290,22,7.6,21,0.95,13.0
163,Łukasz Skorupski,POL,GK,Bologna,it  Serie A,33-310,1991,20.0,25,1,0,1,2,21.6,0.34,-1.4,-0.07,89,247,36.0,698,83,29.8,32.5,78,50.0,44.1,178,12,6.7,10,0.5,11.4
164,Yann Sommer,SUI,GK,Inter,it  Serie A,36-084,1988,25.0,24,2,0,3,1,22.5,0.23,-0.5,-0.02,73,153,47.7,842,100,16.6,26.4,90,14.4,25.6,262,11,4.2,9,0.36,13.0
165,David Soria,ESP,GK,Getafe,es  La Liga,31-341,1993,27.0,22,5,0,2,0,26.1,0.28,4.1,0.15,210,544,38.6,495,50,69.3,47.1,225,89.3,60.3,338,16,4.7,22,0.81,13.4
166,Juan Soriano,ESP,GK,Leganés,es  La Liga,27-200,1997,6.0,7,0,0,1,1,8.8,0.36,2.8,0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.0,8.4
167,Marco Sportiello,ITA,GK,Milan,it  Serie A,32-305,1992,1.0,2,0,0,0,0,2.0,0.68,0.0,0.03,5,7,71.4,31,6,16.1,24.6,10,20.0,29.8,9,0,0.0,3,3.0,32.7
168,Filip Stankovic,SRB,GK,Venezia,it  Serie A,23-014,2002,15.2,23,4,0,3,1,25.2,0.26,3.2,0.21,48,161,29.8,438,51,29.5,31.6,74,43.2,34.2,249,12,4.8,13,0.86,10.8
169,Jason Steele,ENG,GK,Brighton,eng  Premier League,34-205,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4
170,Jakub Stolarczyk,POL,GK,Leicester City,eng  Premier League,24-082,2000,6.0,12,0,0,1,0,10.9,0.38,-1.1,-0.18,48,115,41.7,191,23,49.7,33.8,33,60.6,44.2,113,6,5.3,6,1.0,12.5
171,Zion Suzuki,JPN,GK,Parma,it  Serie A,22-202,2002,26.8,43,5,3,3,2,40.7,0.32,-0.3,-0.01,114,443,25.7,912,142,39.4,36.6,153,54.9,48.2,446,48,10.8,21,0.78,11.1
172,Mile Svilar,SRB,GK,Roma,it  Serie A,25-196,1999,28.0,30,4,0,4,1,31.9,0.26,2.9,0.1,81,289,28.0,948,121,23.3,29.8,128,53.1,44.3,329,20,6.1,23,0.82,14.3
173,Wojciech Szczęsny,POL,GK,Barcelona,es  La Liga,34-327,1990,6.0,2,0,0,0,0,2.9,0.26,0.9,0.15,12,31,38.7,180,29,13.3,24.9,19,36.8,36.0,62,3,4.8,19,3.17,19.9
174,Marc-André ter Stegen,GER,GK,Barcelona,es  La Liga,32-315,1992,5.5,5,1,0,0,0,4.6,0.25,-0.4,-0.08,13,28,46.4,186,31,13.4,27.3,17,17.6,29.9,64,3,4.7,6,1.09,13.9
175,Pietro Terracciano,ITA,GK,Fiorentina,it  Serie A,35-003,1990,3.0,3,0,0,0,0,3.1,0.24,0.1,0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.0,17.0
176,Kevin Trapp,GER,GK,Eint Frankfurt,de  Bundesliga,34-246,1990,20.5,30,0,0,6,1,30.5,0.29,1.5,0.07,59,233,25.3,655,105,29.0,28.7,106,40.6,37.2,333,17,5.1,17,0.83,13.3
177,Mark Travers,IRL,GK,Bournemouth,eng  Premier League,25-297,1999,5.0,5,0,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.0,12.9
178,Stefano Turati,ITA,GK,Monza,it  Serie A,23-187,2001,23.7,41,2,0,8,2,37.1,0.3,-1.9,-0.08,152,374,40.6,751,89,40.5,34.5,111,63.1,46.8,361,17,4.7,22,0.93,13.8
179,Sven Ulreich,GER,GK,Bayern Munich,de  Bundesliga,36-220,1988,1.0,0,0,0,0,0,0.0,,0.0,0.0,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.0,12.3
180,Jonas Urbig,GER,GK,Bayern Munich,de  Bundesliga,21-215,2003,1.0,3,0,0,1,0,1.5,0.34,-1.5,-1.49,5,6,83.3,37,6,16.2,27.4,0,,,7,3,42.9,3,3.0,19.9
181,Maarten Vandevoordt,BEL,GK,RB Leipzig,de  Bundesliga,23-013,2002,1.5,1,0,0,0,0,1.1,0.18,0.1,0.03,4,16,25.0,34,11,20.6,27.0,15,60.0,47.0,29,3,10.3,2,1.33,12.8
182,Nikola Vasilj,BIH,GK,St. Pauli,de  Bundesliga,29-099,1995,25.0,30,1,0,4,1,34.3,0.31,5.3,0.21,126,367,34.3,946,91,33.5,32.2,112,44.6,37.8,329,18,5.5,21,0.84,13.3
183,Devis Vásquez,COL,GK,Empoli,it  Serie A,26-303,1998,23.0,32,1,0,3,0,28.5,0.29,-3.5,-0.15,116,402,28.9,697,76,47.1,38.6,114,64.9,51.6,394,28,7.1,10,0.43,10.4
184,Bart Verbruggen,NED,GK,Brighton,eng  Premier League,22-205,2002,26.0,39,6,1,4,2,34.9,0.31,-2.1,-0.08,87,274,31.8,902,94,25.5,29.2,65,67.7,48.7,319,23,7.2,39,1.5,14.0
185,Guglielmo Vicario,ITA,GK,Tottenham,eng  Premier League,28-155,1996,16.0,17,0,0,2,0,21.8,0.34,4.8,0.3,11,45,24.4,546,86,7.7,21.4,49,6.1,19.2,198,22,11.1,22,1.38,13.9
186,Fran Vieites,ESP,GK,Betis,es  La Liga,25-308,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.0,12.8
187,Iván Villar,ESP,GK,Celta Vigo,es  La Liga,27-245,1997,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
188,Christian Walton,ENG,GK,Ipswich Town,eng  Premier League,29-122,1995,6.0,16,2,0,0,0,15.0,0.41,-1.0,-0.17,38,108,35.2,176,27,45.5,35.2,50,56.0,43.8,105,11,10.5,1,0.17,7.6
189,Danny Ward,WAL,GK,Leicester City,eng  Premier League,31-262,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7
190,Timon Weiner,GER,GK,Holstein Kiel,de  Bundesliga,26-052,1999,24.0,58,4,2,5,2,45.7,0.32,-10.3,-0.43,164,438,37.4,750,112,41.7,35.0,192,65.1,49.0,480,27,5.6,13,0.54,10.5
191,Robin Zentner,GER,GK,Mainz 05,de  Bundesliga,30-134,1994,25.0,26,3,2,4,0,30.4,0.27,4.4,0.17,132,439,30.1,780,111,44.5,38.0,143,64.3,51.5,432,40,9.3,47,1.88,13.6
192,Michael Zetterer,GER,GK,Werder Bremen,de  Bundesliga,29-242,1995,25.0,49,2,2,3,3,41.9,0.34,-4.1,-0.16,90,251,35.9,888,132,25.6,30.9,88,27.3,33.9,348,26,7.5,17,0.68,12.0
