,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
394,Noah El Biache,BEL,MF,Empoli,it  Serie A,20-026,2005.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
395,Côme Bianay Balcot,FRA,DF,Torino,it  Serie A,19-302,2005.0,0,,,,,0,,0,0,,13,,,,,,,,,,,
396,Alessandro Bianco,ITA,MF,Monza,it  Serie A,22-161,2002.0,24,1788.0,75.0,71.0,19.9,19,86.0,13,5,30.0,1,0.5,15.0,40.0,-25.0,-1.26,-1.26,16.2,31.1,-14.8,-0.75,-0.47
397,Alessandro Bianco,ITA,MF,Fiorentina,it  Serie A,22-161,2002.0,1,18.0,18.0,0.7,0.2,0,,0,1,18.0,1,1.0,1.0,0.0,1.0,5.0,4.57,0.1,0.2,-0.1,-0.34,-0.52
398,Mika Biereth,DEN,FW,Monaco,fr  Ligue 1,22-031,2003.0,8,638.0,80.0,28.4,7.1,8,80.0,3,0,,0,1.63,20.0,12.0,8.0,1.13,0.63,20.0,10.3,9.6,1.36,0.3
399,Davide Bifulco,ITA,GK,Monza,it  Serie A,19-066,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
400,Jaka Bijol,SVN,DF,Udinese,it  Serie A,26-034,1999.0,26,2340.0,90.0,92.9,26.0,26,90.0,26,0,,0,1.42,33.0,35.0,-2.0,-0.08,0.42,27.6,33.6,-6.0,-0.23,1.11
401,El Bilal Touré,MLI,"FW,MF",Stuttgart,de  Bundesliga,23-159,2001.0,10,318.0,32.0,14.1,3.5,3,67.0,0,7,17.0,0,1.4,8.0,5.0,3.0,0.85,0.76,6.7,5.2,1.6,0.44,0.2
402,Philip Billing,DEN,MF,Bournemouth,eng  Premier League,28-273,1996.0,10,184.0,18.0,7.3,2.0,1,72.0,0,9,12.0,3,1.9,5.0,4.0,1.0,0.49,0.03,5.4,3.3,2.2,1.05,0.62
403,Philip Billing,DEN,MF,Napoli,it  Serie A,28-273,1996.0,3,78.0,26.0,3.1,0.9,1,61.0,0,2,9.0,5,1.33,2.0,1.0,1.0,1.15,0.38,2.0,0.4,1.7,1.92,1.31
404,Cristiano Biraghi,ITA,DF,Torino,it  Serie A,32-191,1992.0,5,291.0,58.0,11.5,3.2,3,87.0,2,2,15.0,0,1.6,6.0,4.0,2.0,0.62,0.74,2.4,5.0,-2.6,-0.79,-0.37
405,Cristiano Biraghi,ITA,DF,Fiorentina,it  Serie A,32-191,1992.0,8,433.0,54.0,17.2,4.8,5,81.0,4,3,9.0,5,1.88,5.0,7.0,-2.0,-0.42,-1.06,6.1,5.6,0.6,0.12,-0.08
406,Samuele Birindelli,ITA,"DF,MF",Monza,it  Serie A,25-235,1999.0,11,696.0,63.0,27.6,7.7,8,81.0,2,3,15.0,3,0.18,5.0,12.0,-7.0,-0.91,-0.02,7.6,10.3,-2.6,-0.34,0.37
407,Tom Bischof,GER,"MF,FW",Hoffenheim,de  Bundesliga,19-256,2005.0,23,1876.0,82.0,83.4,20.8,22,85.0,14,1,15.0,0,1.0,23.0,36.0,-13.0,-0.62,-0.14,25.9,32.4,-6.6,-0.32,0.63
408,Yves Bissouma,MLI,MF,Tottenham,eng  Premier League,28-193,1996.0,21,1100.0,52.0,43.7,12.2,13,74.0,3,8,17.0,3,1.29,26.0,19.0,7.0,0.57,0.13,18.9,22.1,-3.2,-0.26,-0.39
409,Leonardo Bittencourt,GER,MF,Werder Bremen,de  Bundesliga,31-082,1993.0,18,859.0,48.0,38.2,9.5,10,70.0,2,8,20.0,4,1.11,14.0,23.0,-9.0,-0.94,-0.81,15.7,13.8,1.9,0.2,0.54
410,Stipe Biuk,CRO,MF,Valladolid,es  La Liga,22-075,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
411,Emmanuel Biumla,FRA,DF,Angers,fr  Ligue 1,19-307,2005.0,16,1318.0,82.0,58.6,14.6,15,87.0,14,1,13.0,3,1.25,19.0,21.0,-2.0,-0.14,1.02,17.6,27.7,-10.1,-0.69,-0.44
412,Marco Bizot,NED,GK,Brest,fr  Ligue 1,34-001,1991.0,24,2160.0,90.0,96.0,24.0,24,90.0,24,0,,0,1.38,34.0,39.0,-5.0,-0.21,-3.21,33.9,40.4,-6.4,-0.27,-1.1
413,Bjarki Bjarkason,ISL,"DF,MF",Venezia,it  Serie A,24-304,2000.0,9,165.0,18.0,6.5,1.8,1,75.0,0,8,11.0,7,0.67,2.0,1.0,1.0,0.55,1.31,2.5,2.9,-0.4,-0.23,0.44
414,Antonio Blanco,ESP,MF,Alavés,es  La Liga,24-231,2000.0,25,1861.0,74.0,76.6,20.7,22,82.0,13,3,19.0,1,1.0,18.0,33.0,-15.0,-0.73,-1.52,23.0,27.5,-4.4,-0.21,-0.39
415,Ludovic Blas,FRA,"MF,FW",Rennes,fr  Ligue 1,27-070,1997.0,24,1995.0,83.0,88.7,22.2,23,86.0,13,1,28.0,0,1.08,32.0,31.0,1.0,0.05,0.75,28.5,30.9,-2.4,-0.11,-0.91
416,Daley Blind,NED,DF,Girona,es  La Liga,35-002,1990.0,23,1790.0,78.0,73.7,19.9,20,85.0,18,3,29.0,1,1.17,29.0,26.0,3.0,0.15,1.28,25.0,20.0,5.0,0.25,1.34
417,Myron Boadu,NED,FW,Bochum,de  Bundesliga,24-056,2001.0,11,588.0,53.0,26.1,6.5,7,67.0,0,4,30.0,3,0.27,11.0,15.0,-4.0,-0.61,0.42,10.3,14.0,-3.7,-0.56,0.27
418,Augustine Boakye,GHA,"FW,MF",Saint-Étienne,fr  Ligue 1,24-128,2000.0,17,733.0,43.0,32.6,8.1,8,63.0,0,9,25.0,2,0.76,9.0,13.0,-4.0,-0.49,1.17,9.9,14.8,-4.9,-0.6,0.89
419,Mathéo Bodmer,FRA,MF,Le Havre,fr  Ligue 1,20-309,2004.0,1,6.0,6.0,0.3,0.1,0,,0,1,6.0,3,3.0,0.0,1.0,-1.0,-15.0,-13.96,0.0,0.5,-0.5,-6.8,-6.16
420,Sacha Boey,FRA,DF,Bayern Munich,de  Bundesliga,24-179,2000.0,9,419.0,47.0,18.6,4.7,5,70.0,1,4,17.0,4,1.89,15.0,7.0,8.0,1.72,-0.4,12.5,4.5,8.1,1.73,-0.07
421,Jeremie Boga,CIV,"MF,FW",Nice,fr  Ligue 1,28-067,1997.0,15,673.0,45.0,29.9,7.5,8,73.0,0,7,13.0,0,2.07,10.0,12.0,-2.0,-0.27,-1.47,11.4,9.7,1.7,0.23,-0.57
422,Lamare Bogarde,NED,"DF,MF",Aston Villa,eng  Premier League,21-065,2004.0,8,476.0,60.0,18.2,5.3,5,77.0,2,3,30.0,13,1.5,10.0,11.0,-1.0,-0.19,-0.06,7.5,9.3,-1.8,-0.34,-0.46
423,Emil Bohinen,NOR,MF,Genoa,it  Serie A,25-364,1999.0,3,166.0,55.0,6.6,1.8,1,90.0,1,2,38.0,19,0.33,2.0,8.0,-6.0,-3.25,-3.1,1.3,6.2,-4.9,-2.62,-2.58
424,Adama Boiro,ESP,DF,Athletic Club,es  La Liga,22-262,2002.0,12,763.0,64.0,31.4,8.5,10,72.0,2,2,20.0,13,1.92,13.0,7.0,6.0,0.71,-0.1,14.1,5.6,8.5,1.0,0.58
425,Adama Bojang,GAM,FW,Reims,fr  Ligue 1,20-287,2004.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
426,Willy Boly,CIV,DF,Nott'ham Forest,eng  Premier League,34-036,1991.0,5,134.0,27.0,5.3,1.5,1,90.0,1,4,11.0,17,2.6,3.0,1.0,2.0,1.34,0.97,2.4,1.9,0.5,0.33,0.3
427,Moïse Bombito,CAN,DF,Nice,fr  Ligue 1,24-346,2000.0,20,1635.0,82.0,72.7,18.2,18,88.0,16,2,24.0,0,2.0,35.0,19.0,16.0,0.88,0.44,31.2,19.8,11.4,0.63,-0.01
428,Warren Bondo,FRA,MF,Monza,it  Serie A,21-177,2003.0,20,1618.0,81.0,64.2,18.0,19,85.0,13,1,10.0,0,0.65,18.0,25.0,-7.0,-0.39,1.41,17.0,22.8,-5.9,-0.33,0.79
429,Warren Bondo,FRA,MF,Milan,it  Serie A,21-177,2003.0,1,61.0,61.0,2.4,0.7,1,61.0,0,0,,4,3.0,0.0,2.0,-2.0,-2.95,-3.39,1.6,0.9,0.8,1.13,0.54
430,Victor Boniface,NGA,FW,Leverkusen,de  Bundesliga,24-078,2000.0,14,800.0,57.0,35.6,8.9,10,74.0,0,4,15.0,3,1.93,17.0,9.0,8.0,0.9,-0.16,17.2,9.5,7.7,0.87,0.01
431,Kevin Bonifazi,ITA,DF,Lecce,it  Serie A,28-296,1996.0,3,65.0,22.0,2.6,0.7,0,,0,3,22.0,6,1.0,1.0,4.0,-3.0,-4.15,-3.31,0.4,2.0,-1.6,-2.21,-1.57
432,Ange-Yoan Bonny,FRA,FW,Parma,it  Serie A,21-137,2003.0,27,1807.0,67.0,71.7,20.1,21,74.0,7,6,43.0,0,0.89,24.0,30.0,-6.0,-0.3,0.71,24.3,30.9,-6.6,-0.33,0.6
433,Alexandru Borbei,ROU,GK,Lecce,it  Serie A,21-257,2003.0,0,,,,,0,,0,0,,22,,,,,,,,,,,
434,Filipe Bordon,BRA,DF,Lazio,it  Serie A,19-260,2005.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
435,Sebastiaan Bornauw,BEL,DF,Wolfsburg,de  Bundesliga,25-354,1999.0,13,697.0,54.0,31.0,7.7,7,90.0,7,6,11.0,4,1.46,18.0,18.0,0.0,0.0,-0.58,14.0,14.3,-0.3,-0.04,0.07
436,Sven Botman,NED,DF,Newcastle Utd,eng  Premier League,25-058,2000.0,3,224.0,75.0,8.9,2.5,3,75.0,1,0,,2,2.0,6.0,3.0,3.0,1.21,0.97,4.6,3.3,1.3,0.53,0.15
437,Léo Botz,FRA,FW,Brest,fr  Ligue 1,20-059,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
438,Hervé Boua Dié,FRA,FW,Lens,fr  Ligue 1,19-253,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
439,Saïmon Bouabré,FRA,"MF,FW",Monaco,fr  Ligue 1,18-283,2006.0,2,72.0,36.0,3.2,0.8,1,61.0,0,1,11.0,3,0.5,2.0,2.0,0.0,0.0,-0.7,1.6,0.7,0.8,1.06,-0.09
440,Ayyoub Bouaddi,FRA,MF,Lille,fr  Ligue 1,17-160,2007.0,20,1018.0,51.0,45.2,11.3,10,80.0,3,10,22.0,5,1.8,19.0,9.0,10.0,0.88,0.66,20.3,12.2,8.1,0.72,0.76
441,Badredine Bouanani,ALG,"MF,FW",Nice,fr  Ligue 1,20-093,2004.0,19,681.0,36.0,30.3,7.6,6,77.0,1,13,17.0,4,1.58,15.0,9.0,6.0,0.79,0.05,15.3,10.1,5.2,0.69,0.09
442,Benjamin Bouchouari,MAR,MF,Saint-Étienne,fr  Ligue 1,23-118,2001.0,20,1389.0,69.0,61.7,15.4,16,83.0,9,4,16.0,1,0.8,17.0,35.0,-18.0,-1.17,0.3,16.6,36.1,-19.5,-1.26,-0.18
443,Hicham Boudaoui,ALG,MF,Nice,fr  Ligue 1,25-169,1999.0,20,1711.0,86.0,76.0,19.0,19,89.0,14,1,29.0,0,1.8,33.0,22.0,11.0,0.58,-0.76,30.5,22.7,7.8,0.41,-0.91
444,Carlo Boukhalfa,MAR,MF,St. Pauli,de  Bundesliga,25-312,1999.0,19,1227.0,65.0,54.5,13.6,14,80.0,3,5,22.0,4,1.11,12.0,15.0,-3.0,-0.22,0.48,14.6,17.9,-3.3,-0.24,0.12
445,Teddy Boulhendi,FRA,GK,Nice,fr  Ligue 1,23-336,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
446,Ismaïl Bouneb,FRA,MF,Le Havre,fr  Ligue 1,18-277,2006.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
447,Justin Bourgault,FRA,DF,Brest,fr  Ligue 1,19-178,2005.0,1,77.0,77.0,3.4,0.9,1,77.0,0,0,,2,1.0,1.0,2.0,-1.0,-1.17,-1.13,1.7,1.1,0.5,0.64,0.89
448,Benjamin Bourigeaud,FRA,MF,Rennes,fr  Ligue 1,31-056,1994.0,1,80.0,80.0,3.6,0.9,1,80.0,0,0,,0,3.0,2.0,0.0,2.0,2.25,2.37,1.9,1.9,0.0,0.02,0.03
449,Edoardo Bove,ITA,"MF,FW",Fiorentina,it  Serie A,22-299,2002.0,12,851.0,71.0,33.8,9.5,11,74.0,5,1,33.0,0,2.42,21.0,7.0,14.0,1.48,1.53,15.4,8.5,6.9,0.73,0.84
450,Edoardo Bove,ITA,MF,Roma,it  Serie A,22-299,2002.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
451,Jarrod Bowen,ENG,"FW,MF",West Ham,eng  Premier League,28-081,1996.0,24,2096.0,87.0,83.2,23.3,24,87.0,19,0,,0,1.21,27.0,37.0,-10.0,-0.43,0.84,30.3,38.6,-8.2,-0.35,0.15
452,Enzo Boyomo,CMR,DF,Osasuna,es  La Liga,23-155,2001.0,22,1952.0,89.0,80.3,21.7,22,89.0,21,0,,0,1.22,29.0,31.0,-2.0,-0.09,0.47,24.4,30.7,-6.4,-0.29,0.07
453,Enzo Boyomo,CMR,DF,Valladolid,es  La Liga,23-155,2001.0,3,270.0,90.0,11.1,3.0,3,90.0,3,0,,0,1.33,1.0,3.0,-2.0,-0.67,1.08,2.3,2.9,-0.6,-0.21,0.8
454,Domagoj Bradarić,CRO,DF,Hellas Verona,it  Serie A,25-091,1999.0,19,1187.0,62.0,47.1,13.2,15,72.0,4,4,28.0,6,0.89,11.0,33.0,-22.0,-1.67,-1.13,11.5,21.6,-10.1,-0.77,-0.33
455,Conor Bradley,NIR,DF,Liverpool,eng  Premier League,21-245,2003.0,12,372.0,31.0,14.3,4.1,2,75.0,1,10,22.0,6,2.25,6.0,5.0,1.0,0.24,-1.41,8.0,5.3,2.7,0.65,-0.85
456,Bilal Brahimi,ALG,MF,Nice,fr  Ligue 1,24-362,2000.0,2,76.0,38.0,3.4,0.8,1,63.0,0,1,13.0,1,0.5,1.0,1.0,0.0,0.0,-0.79,0.7,1.9,-1.2,-1.42,-2.12
457,Federico Brancolini,ITA,GK,Empoli,it  Serie A,23-240,2001.0,0,,,,,0,,0,0,,14,,,,,,,,,,,
458,Julian Brandt,GER,MF,Dortmund,de  Bundesliga,28-313,1996.0,21,1632.0,78.0,72.5,18.1,20,82.0,8,1,2.0,0,1.38,28.0,32.0,-4.0,-0.22,-1.68,27.5,22.6,5.0,0.27,-0.52
459,Jarrad Branthwaite,ENG,DF,Everton,eng  Premier League,22-257,2002.0,21,1718.0,82.0,68.2,19.1,19,90.0,19,2,4.0,0,1.33,24.0,19.0,5.0,0.26,1.27,21.1,20.6,0.5,0.03,0.55
460,Darko Brašanac,SRB,MF,Leganés,es  La Liga,33-027,1992.0,22,1305.0,59.0,53.7,14.5,13,78.0,4,9,32.0,3,1.18,13.0,22.0,-9.0,-0.62,-0.06,13.6,23.9,-10.3,-0.71,0.1
461,Lilian Brassier,FRA,DF,Marseille,fr  Ligue 1,25-129,1999.0,12,779.0,65.0,34.6,8.7,9,83.0,6,3,11.0,5,1.5,12.0,15.0,-3.0,-0.35,-1.88,11.3,14.9,-3.7,-0.42,-1.47
462,Lilian Brassier,FRA,DF,Rennes,fr  Ligue 1,25-129,1999.0,6,515.0,86.0,22.9,5.7,6,86.0,5,0,,0,2.0,8.0,6.0,2.0,0.35,0.51,11.0,10.0,1.1,0.19,0.25
463,Matthias Braunöder,AUT,MF,Como,it  Serie A,22-349,2002.0,8,268.0,34.0,10.6,3.0,3,65.0,1,5,14.0,19,0.75,1.0,9.0,-8.0,-2.69,-2.61,2.1,4.8,-2.7,-0.92,-1.09
464,Iker Bravo,ESP,"FW,MF",Udinese,it  Serie A,20-057,2005.0,20,382.0,19.0,15.2,4.2,2,57.0,0,18,15.0,7,1.5,5.0,4.0,1.0,0.24,0.4,3.6,6.5,-2.9,-0.68,-0.43
465,Brayan,BRA,FW,Empoli,it  Serie A,19-036,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
466,Fabian Bredlow,GER,GK,Stuttgart,de  Bundesliga,30-009,1995.0,0,,,,,0,,0,0,,25,,,,,,,,,,,
467,James Bree,ENG,DF,Southampton,eng  Premier League,27-151,1997.0,14,890.0,64.0,35.3,9.9,11,76.0,5,3,18.0,9,0.29,8.0,28.0,-20.0,-2.02,-0.48,8.0,26.2,-18.2,-1.84,-0.55
468,Tim Breithaupt,GER,MF,Augsburg,de  Bundesliga,23-032,2002.0,2,120.0,60.0,5.3,1.3,2,60.0,0,0,,13,0.5,2.0,4.0,-2.0,-1.5,-1.29,1.3,2.1,-0.8,-0.62,-0.31
469,Josip Brekalo,CRO,"FW,MF",Fiorentina,it  Serie A,26-261,1998.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
470,Gleison Bremer,BRA,DF,Juventus,it  Serie A,27-358,1997.0,6,540.0,90.0,21.4,6.0,6,90.0,6,0,,0,2.0,9.0,0.0,9.0,1.5,1.0,6.7,2.2,4.5,0.75,0.35
471,Brenner,BRA,"MF,FW",Udinese,it  Serie A,25-054,2000.0,9,386.0,43.0,15.3,4.3,5,70.0,1,4,9.0,10,1.56,5.0,4.0,1.0,0.23,0.4,3.8,6.9,-3.1,-0.73,-0.49
472,Ben Brereton,CHI,FW,Southampton,eng  Premier League,25-327,1999.0,10,449.0,45.0,17.8,5.0,4,78.0,2,6,23.0,4,0.2,2.0,10.0,-8.0,-1.6,0.13,5.0,11.0,-6.0,-1.2,0.35
473,Marco Brescianini,ITA,MF,Atalanta,it  Serie A,25-050,2000.0,21,793.0,38.0,31.5,8.8,7,63.0,1,14,25.0,3,1.95,18.0,10.0,8.0,0.91,-0.6,14.1,9.6,4.5,0.51,-0.47
474,Maximilian Breunig,GER,"FW,MF",Heidenheim,de  Bundesliga,24-209,2000.0,13,350.0,27.0,15.6,3.9,2,70.0,0,11,19.0,4,0.77,5.0,9.0,-4.0,-1.03,-0.13,7.1,8.0,-0.8,-0.22,0.27
475,Anthony Briançon,FRA,DF,Saint-Étienne,fr  Ligue 1,30-103,1994.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,4,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,1.2
476,Thorsten Brits,ENG,GK,Manchester City,eng  Premier League,17-260,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
477,Nathan Broadhead,WAL,"FW,MF",Ipswich Town,eng  Premier League,26-340,1998.0,12,444.0,37.0,17.6,4.9,4,77.0,1,8,17.0,7,0.33,6.0,7.0,-1.0,-0.2,1.14,6.3,6.2,0.1,0.03,1.3
478,Bennit Bröger,GER,MF,Wolfsburg,de  Bundesliga,18-253,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
479,Benjamin Broggio,ENG,FW,Aston Villa,eng  Premier League,18-041,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
480,Armando Broja,ALB,FW,Everton,eng  Premier League,23-182,2001.0,5,159.0,32.0,6.3,1.8,2,53.0,0,3,18.0,0,1.0,0.0,2.0,-2.0,-1.13,-1.06,1.2,2.3,-1.1,-0.63,-0.51
481,David Brooks,WAL,FW,Bournemouth,eng  Premier League,27-246,1997.0,21,724.0,34.0,28.7,8.0,8,68.0,0,13,14.0,5,1.57,19.0,9.0,10.0,1.24,1.09,15.7,13.2,2.5,0.31,-0.24
482,Arvid Brorsson,SWE,DF,Monza,it  Serie A,25-307,1999.0,3,107.0,36.0,4.2,1.2,1,90.0,1,2,9.0,3,0.33,0.0,4.0,-4.0,-3.36,-2.58,0.3,1.8,-1.5,-1.25,-0.66
483,Moritz Broschinski,GER,"FW,MF",Bochum,de  Bundesliga,24-169,2000.0,25,1238.0,50.0,55.0,13.8,14,71.0,0,11,23.0,0,0.8,11.0,31.0,-20.0,-1.45,-1.19,14.8,27.8,-13.0,-0.95,-0.42
484,Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,de  Bundesliga,21-268,2003.0,17,1203.0,71.0,53.5,13.4,14,81.0,5,3,24.0,2,1.65,30.0,20.0,10.0,0.75,0.58,24.3,16.3,8.0,0.6,0.61
485,Bruno,BRA,GK,Venezia,it  Serie A,26-284,1998.0,0,,,,,0,,0,0,,11,,,,,,,,,,,
486,Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,de  Bundesliga,26-173,1998.0,12,400.0,33.0,17.8,4.4,3,79.0,0,9,18.0,3,0.92,7.0,10.0,-3.0,-0.68,-0.09,7.1,8.1,-1.0,-0.23,0.23
487,Jacob Bruun Larsen,DEN,MF,Stuttgart,de  Bundesliga,26-173,1998.0,8,344.0,43.0,15.3,3.8,3,70.0,0,5,27.0,0,1.38,6.0,6.0,0.0,0.0,-0.24,6.1,5.2,0.9,0.23,-0.05
488,Tajon Buchanan,CAN,"DF,FW",Inter,it  Serie A,26-031,1999.0,6,95.0,16.0,3.8,1.1,0,,0,6,16.0,7,2.67,2.0,1.0,1.0,0.95,-0.35,1.3,0.6,0.8,0.72,-0.23
489,Tajon Buchanan,CAN,"MF,FW",Villarreal,es  La Liga,26-031,1999.0,4,52.0,13.0,2.1,0.6,0,,0,4,13.0,1,1.75,0.0,2.0,-2.0,-3.46,-3.99,1.5,1.4,0.1,0.14,-0.5
490,Ante Budimir,CRO,FW,Osasuna,es  La Liga,33-232,1991.0,26,1986.0,76.0,81.7,22.1,23,83.0,11,3,22.0,0,1.22,30.0,29.0,1.0,0.05,1.26,25.5,28.2,-2.7,-0.12,1.01
491,Emi Buendía,ARG,"MF,FW",Aston Villa,eng  Premier League,28-076,1996.0,12,98.0,8.0,3.8,1.1,0,,0,12,8.0,11,2.0,1.0,2.0,-1.0,-0.92,-0.81,1.9,2.0,-0.1,-0.08,-0.12
492,Emi Buendía,ARG,"MF,FW",Leverkusen,de  Bundesliga,28-076,1996.0,5,115.0,23.0,5.1,1.3,1,45.0,0,4,18.0,1,2.0,1.0,2.0,-1.0,-0.78,-1.88,2.6,1.7,1.0,0.77,-0.11
493,Manu Bueno,ESP,MF,Sevilla,es  La Liga,20-227,2004.0,6,104.0,17.0,4.3,1.2,1,69.0,0,5,7.0,2,1.33,2.0,2.0,0.0,0.0,0.15,0.9,2.0,-1.1,-0.96,-0.72
494,Santiago Bueno,URU,DF,Wolves,eng  Premier League,26-122,1998.0,21,1513.0,72.0,60.0,16.8,17,86.0,13,4,11.0,6,0.9,22.0,32.0,-10.0,-0.59,0.21,19.9,26.0,-6.1,-0.36,0.31
495,Endika Buján,ESP,FW,Athletic Club,es  La Liga,22-054,2003.0,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,1,3.0,0.0,0.0,0.0,0.0,-0.78,0.0,0.0,0.0,0.0,-0.6
496,Marius Bülter,GER,"FW,DF",Hoffenheim,de  Bundesliga,31-347,1993.0,16,1103.0,69.0,49.0,12.3,15,73.0,4,1,14.0,0,1.06,20.0,25.0,-5.0,-0.41,0.38,15.6,22.1,-6.5,-0.53,-0.22
497,Facundo Buonanotte,ARG,"FW,MF",Leicester City,eng  Premier League,20-078,2004.0,24,1296.0,54.0,51.4,14.4,13,82.0,6,11,21.0,2,0.63,16.0,27.0,-11.0,-0.76,1.15,14.9,25.6,-10.6,-0.74,0.53
498,Alessandro Buongiorno,ITA,DF,Napoli,it  Serie A,25-278,1999.0,19,1681.0,88.0,66.7,18.7,19,88.0,18,0,,2,2.11,29.0,13.0,16.0,0.86,0.21,27.9,14.0,13.9,0.75,0.28
499,Cameron Burgess,AUS,DF,Ipswich Town,eng  Premier League,29-141,1995.0,10,900.0,90.0,35.7,10.0,10,90.0,10,0,,4,0.8,10.0,23.0,-13.0,-1.3,-0.24,11.0,21.1,-10.1,-1.01,0.05
500,Jonathan Burkardt,GER,FW,Mainz 05,de  Bundesliga,24-243,2000.0,21,1423.0,68.0,63.2,15.8,20,70.0,6,1,24.0,0,1.81,31.0,18.0,13.0,0.82,0.5,23.9,19.8,4.1,0.26,0.46
501,Oliver Burke,SCO,"FW,MF",Werder Bremen,de  Bundesliga,27-338,1997.0,17,343.0,20.0,15.2,3.8,2,79.0,1,15,12.0,4,1.29,7.0,6.0,1.0,0.26,0.83,8.3,6.1,2.2,0.59,0.85
502,Vincent Burlet,BEL,DF,Lille,fr  Ligue 1,19-169,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
503,Dan Burn,ENG,DF,Newcastle Utd,eng  Premier League,32-306,1992.0,27,2430.0,90.0,96.4,27.0,27,90.0,27,0,,0,1.74,47.0,36.0,11.0,0.41,2.41,44.6,34.3,10.3,0.38,-0.39
504,Rareș-Cătălin Burnete,ROU,FW,Lecce,it  Serie A,21-039,2004.0,2,19.0,10.0,0.8,0.2,0,,0,2,10.0,17,0.0,0.0,2.0,-2.0,-9.47,-8.61,0.1,0.7,-0.6,-2.64,-1.98
505,Wes Burns,WAL,"FW,DF",Ipswich Town,eng  Premier League,30-108,1994.0,18,926.0,51.0,36.7,10.3,12,67.0,0,6,20.0,3,0.67,7.0,23.0,-16.0,-1.56,-0.65,9.6,23.2,-13.6,-1.32,-0.44
506,Marnon Busch,GER,DF,Heidenheim,de  Bundesliga,30-093,1994.0,15,861.0,57.0,38.3,9.6,8,85.0,6,7,26.0,7,0.8,10.0,19.0,-9.0,-0.94,-0.03,10.5,16.0,-5.5,-0.57,-0.19
507,Maxime Busi,BEL,DF,Reims,fr  Ligue 1,25-148,1999.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
508,Gianluca Busio,USA,MF,Venezia,it  Serie A,22-287,2002.0,24,1838.0,77.0,72.9,20.4,20,85.0,12,4,35.0,1,0.71,18.0,35.0,-17.0,-0.83,-0.57,18.1,32.7,-14.7,-0.72,-0.26
509,Jakob Busk,DEN,GK,Hoffenheim,de  Bundesliga,31-180,1993.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
510,Pablo Busto,ESP,DF,Betis,es  La Liga,19-177,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
511,Aurélio Buta,POR,DF,Reims,fr  Ligue 1,28-029,1997.0,20,1489.0,74.0,66.2,16.5,18,81.0,12,2,16.0,2,1.05,20.0,26.0,-6.0,-0.36,0.58,18.6,25.6,-6.9,-0.42,0.72
512,Ludovic Butelle,FRA,GK,Reims,fr  Ligue 1,41-342,1983.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
513,Jean Butez,FRA,GK,Como,it  Serie A,29-276,1995.0,10,900.0,90.0,35.7,10.0,10,90.0,10,0,,0,1.1,14.0,14.0,0.0,0.0,0.56,11.1,10.4,0.7,0.07,0.03
514,Nathan Butler-Oyedeji,ENG,FW,Arsenal,eng  Premier League,22-066,2003.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
515,Marcin Bułka,POL,GK,Nice,fr  Ligue 1,25-158,1999.0,25,2250.0,90.0,100.0,25.0,25,90.0,25,0,,0,1.84,49.0,30.0,19.0,0.76,,44.2,28.5,15.7,0.63,
516,Naïm Byar,FRA,MF,Bologna,it  Serie A,20-016,2005.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
517,Pau Cabanes,ESP,"MF,FW",Villarreal,es  La Liga,20-022,2005.0,10,163.0,16.0,6.7,1.8,0,,0,10,16.0,5,1.3,5.0,1.0,4.0,2.21,1.89,5.8,1.1,4.7,2.58,2.09
