,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
27,Joshua Acheampong,ENG,DF,Chelsea,eng  Premier League,18-310,2006.0,4,170.0,43.0,6.7,1.9,2,80.0,1,2,5.0,9,2.0,2.0,3.0,-1.0,-0.53,-1.22,3.6,2.1,1.5,0.82,0.24
28,Akor Adams,NGA,FW,Sevilla,es  La Liga,25-041,2000.0,1,10.0,10.0,0.4,0.1,0,,0,1,10.0,0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.3,-0.2,-2.18,-1.92
29,Akor Adams,NGA,FW,Montpellier,fr  Ligue 1,25-041,2000.0,15,1075.0,72.0,47.8,11.9,13,79.0,7,2,22.0,1,0.53,12.0,29.0,-17.0,-1.42,0.19,12.8,23.6,-10.8,-0.9,-0.18
30,Che Adams,SCO,FW,Torino,it  Serie A,28-241,1996.0,26,1823.0,70.0,72.3,20.3,21,79.0,13,5,31.0,1,1.23,25.0,26.0,-1.0,-0.05,-0.05,17.9,25.7,-7.8,-0.39,0.27
31,Tyler Adams,USA,MF,Bournemouth,eng  Premier League,26-025,1999.0,18,1167.0,65.0,46.3,13.0,12,86.0,9,6,23.0,1,1.61,30.0,19.0,11.0,0.85,0.72,24.7,19.4,5.3,0.41,-0.13
32,Junior Adamu,AUT,FW,Freiburg,de  Bundesliga,23-278,2001.0,18,1043.0,58.0,46.4,11.6,12,77.0,3,6,20.0,4,1.33,14.0,17.0,-3.0,-0.26,-0.33,15.7,11.4,4.3,0.37,0.74
33,Tosin Adarabioyo,ENG,DF,Chelsea,eng  Premier League,27-168,1997.0,15,1086.0,72.0,43.1,12.1,11,87.0,10,4,34.0,13,1.8,25.0,12.0,13.0,1.08,0.83,26.6,16.0,10.6,0.88,0.49
34,Vernon Addo,nan,MF,Lecce,it  Serie A,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
35,Wesley Adeh,GER,MF,Werder Bremen,de  Bundesliga,18-062,2007.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
36,Martin Adeline,FRA,MF,Reims,fr  Ligue 1,21-099,2003.0,1,26.0,26.0,1.2,0.3,0,,0,1,26.0,1,1.0,0.0,1.0,-1.0,-3.46,-2.94,0.1,1.0,-1.0,-3.42,-2.79
37,Karim Adeyemi,GER,"FW,MF",Dortmund,de  Bundesliga,23-052,2002.0,16,932.0,58.0,41.4,10.4,11,72.0,2,5,29.0,0,1.5,20.0,17.0,3.0,0.29,0.08,19.6,11.6,8.0,0.77,0.6
38,Raphaël Adiceam,FRA,GK,Auxerre,fr  Ligue 1,34-251,1990.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
39,Simon Adingra,CIV,"FW,MF",Brighton,eng  Premier League,23-069,2002.0,19,617.0,32.0,24.5,6.9,6,64.0,0,13,18.0,6,1.63,12.0,13.0,-1.0,-0.15,-0.48,10.5,11.4,-0.9,-0.13,-0.27
