,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
43,Lucien Agoume,FRA,MF,Sevilla,es  La Liga,23-030,2002.0,13.8,3,1,0,24,3,2,5,23,11,0,1,0,82,22,25,46.8
44,Felix Agu,GER,DF,Werder Bremen,de  Bundesliga,25-165,1999.0,11.0,1,0,0,8,23,2,25,12,8,0,0,1,33,10,18,35.7
45,Álvaro Aguado,ESP,MF,Espanyol,es  La Liga,28-314,1996.0,4.5,2,0,0,5,7,0,11,3,2,0,0,0,31,3,2,60.0
46,Lorenzo Aguado,ESP,DF,Real Madrid,es  La Liga,22-173,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,Nayef Aguerd,MAR,DF,Real Sociedad,es  La Liga,28-346,1996.0,18.6,5,0,0,11,19,0,2,13,24,0,1,0,67,60,30,66.7
48,Ruben Aguilar,FRA,DF,Lens,fr  Ligue 1,31-319,1993.0,6.8,2,0,0,11,9,2,26,8,14,0,0,0,41,8,7,53.3
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,fr  Ligue 1,22-347,2002.0,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0
50,Honest Ahanor,ITA,DF,Genoa,it  Serie A,17-016,2008.0,0.9,0,0,0,0,4,0,1,0,1,0,0,0,5,0,1,0.0
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,de  Bundesliga,23-148,2001.0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0
52,Jean-Eudes Aholou,CIV,MF,Angers,fr  Ligue 1,30-356,1994.0,19.5,7,0,0,43,21,1,2,33,32,0,0,0,95,32,22,59.3
53,Joseph Aidoo,GHA,DF,Valladolid,es  La Liga,29-163,1995.0,2.7,0,0,0,0,2,0,0,3,3,0,0,0,13,1,1,50.0
54,Joseph Aidoo,GHA,DF,Celta Vigo,es  La Liga,29-163,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,fr  Ligue 1,19-259,2005.0,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0
56,Ola Aina,NGA,DF,Nott'ham Forest,eng  Premier League,28-154,1996.0,27.1,2,0,0,20,32,2,40,30,40,0,1,0,154,11,17,39.3
57,Rayan Aït-Nouri,ALG,DF,Wolves,eng  Premier League,23-278,2001.0,25.6,6,1,1,26,30,3,59,19,39,0,0,0,117,14,23,37.8
58,Junior Ajayi,CIV,FW,Hellas Verona,it  Serie A,20-151,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,Kristoffer Ajer,NOR,DF,Brentford,eng  Premier League,26-328,1998.0,12.6,4,0,0,10,5,1,11,9,13,0,0,0,31,25,16,61.0
60,Ludovic Ajorque,FRA,FW,Brest,fr  Ligue 1,31-014,1994.0,19.5,4,0,0,45,17,10,5,4,15,2,0,0,43,98,88,52.7
61,Manuel Akanji,SUI,DF,Manchester City,eng  Premier League,29-235,1995.0,19.0,3,0,0,16,9,0,11,7,10,0,0,0,86,23,29,44.2
62,Ümit Akdag,ROU,DF,Toulouse,fr  Ligue 1,21-156,2003.0,4.8,2,0,0,8,0,0,1,11,2,0,0,0,21,16,5,76.2
63,Nathan Aké,NED,DF,Manchester City,eng  Premier League,30-021,1995.0,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,es  La Liga,20-329,2004.0,6.5,1,0,0,9,21,1,18,3,7,0,0,0,30,6,6,50.0
65,Sergio Akieme,ESP,DF,Reims,fr  Ligue 1,27-085,1997.0,19.5,4,0,0,19,13,0,59,13,18,0,0,0,79,14,18,43.8
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,fr  Ligue 1,23-014,2002.0,18.9,2,0,0,23,24,8,35,11,21,0,0,0,97,4,13,23.5
67,Clément Akpa,CIV,DF,Auxerre,fr  Ligue 1,23-107,2001.0,20.6,5,0,0,8,22,0,23,30,30,0,1,0,99,27,24,52.9
68,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it  Serie A,32-151,1992.0,2.5,2,0,0,9,3,0,2,2,3,0,0,0,21,5,8,38.5
69,David Akpan Ankeye,NGA,"FW,MF",Genoa,it  Serie A,23-025,2002.0,0.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0
70,Kevin Akpoguma,NGA,DF,Hoffenheim,de  Bundesliga,29-326,1995.0,18.8,3,0,0,23,17,0,9,22,18,0,4,0,88,36,41,46.8
71,Chuba Akpom,ENG,FW,Lille,fr  Ligue 1,29-153,1995.0,3.2,0,0,0,4,7,1,1,0,1,0,0,0,6,7,5,58.3
72,David Alaba,AUT,DF,Real Madrid,es  La Liga,32-260,1992.0,2.9,1,0,0,2,0,0,1,4,0,0,0,0,6,1,0,100.0
73,Andreas Albers,DEN,FW,St. Pauli,de  Bundesliga,34-353,1990.0,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5
74,Raúl Albiol,ESP,DF,Villarreal,es  La Liga,39-188,1985.0,13.2,5,0,0,11,6,0,0,6,9,0,2,1,44,29,14,67.4
75,Carlos Alcaraz,ARG,MF,Southampton,eng  Premier League,22-101,2002.0,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
76,Carlos Alcaraz,ARG,"MF,FW",Everton,eng  Premier League,22-101,2002.0,2.5,2,0,0,3,3,1,0,1,2,0,0,0,12,2,2,50.0
77,Omar Alderete,PAR,DF,Getafe,es  La Liga,28-075,1996.0,23.7,7,0,0,25,7,5,4,29,20,1,3,0,84,72,40,64.3
