,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
765,Ondrej Duda,SVK,MF,Hellas Verona,it  Serie A,30-096,1994.0,17.9,52,2.9,30,13,2,3,4,0,6,0.33,4,2,0,0,0,0
766,Duk,CPV,"MF,FW",Leganés,es  La Liga,25-023,2000.0,0.5,3,5.63,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
767,Denzel Dumfries,NED,"DF,FW",Inter,it  Serie A,28-327,1996.0,18.8,51,2.71,36,5,3,3,3,1,4,0.21,2,0,0,1,1,0
768,Alfred Duncan,GHA,MF,Venezia,it  Serie A,32-001,1993.0,9.6,27,2.8,20,4,1,2,0,0,2,0.21,1,0,0,1,0,0
769,Lewis Dunk,ENG,DF,Brighton,eng  Premier League,33-110,1991.0,17.4,16,0.92,14,0,0,2,0,0,3,0.17,2,0,0,1,0,0
770,Jáder Durán,COL,FW,Aston Villa,eng  Premier League,21-088,2003.0,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
771,Pablo Durán,ESP,"FW,MF",Celta Vigo,es  La Liga,23-290,2001.0,9.9,17,1.73,14,0,2,1,0,0,2,0.2,2,0,0,0,0,0
772,Julien Duranville,BEL,"FW,MF",Dortmund,de  Bundesliga,18-310,2006.0,2.9,7,2.39,3,0,0,0,4,0,1,0.34,0,0,0,0,1,0
773,Hugo Duro,ESP,FW,Valencia,es  La Liga,25-121,1999.0,18.8,26,1.38,19,0,1,3,3,0,3,0.16,1,0,0,1,1,0
774,Jean-Kevin Duverne,HAI,DF,Nantes,fr  Ligue 1,27-242,1997.0,6.0,5,0.84,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0
775,Paulo Dybala,ARG,"FW,MF",Roma,it  Serie A,31-116,1993.0,15.6,84,5.38,47,19,1,6,11,0,8,0.51,5,1,0,0,2,0
776,Stefan Džodić,SRB,"DF,MF",Montpellier,fr  Ligue 1,19-361,2005.0,2.1,2,0.95,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
777,Adam Dźwigała,POL,"DF,MF",St. Pauli,de  Bundesliga,29-167,1995.0,2.1,2,0.94,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
778,Aron Dønnum,NOR,"DF,MF",Toulouse,fr  Ligue 1,26-325,1998.0,22.0,62,2.83,39,14,3,3,3,0,9,0.41,6,2,0,1,0,0
779,Enzo Ebosse,CMR,DF,Udinese,it  Serie A,26-000,1999.0,1.0,3,3.0,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
780,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993.0,19.0,5,0.26,5,0,0,0,0,0,3,0.16,3,0,0,0,0,0
781,Éderson,BRA,MF,Atalanta,it  Serie A,25-247,1999.0,24.9,77,3.09,58,2,5,6,2,4,10,0.4,9,0,0,1,0,0
782,Noah Edjouma,FRA,"MF,FW",Toulouse,fr  Ligue 1,19-158,2005.0,0.9,3,3.38,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
783,George Edmundson,ENG,DF,Ipswich Town,eng  Premier League,27-192,1997.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
784,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,eng  Premier League,27-054,1998.0,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
785,Odsonne Édouard,FRA,FW,Leicester City,eng  Premier League,27-054,1998.0,0.3,2,6.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
786,Samuel Edozie,ENG,"DF,FW",Southampton,eng  Premier League,22-042,2003.0,0.7,4,5.54,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
787,Ronnie Edwards,ENG,DF,Southampton,eng  Premier League,21-348,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
788,Johannes Eggestein,GER,FW,St. Pauli,de  Bundesliga,26-307,1998.0,20.0,42,2.1,35,0,0,4,2,1,4,0.2,4,0,0,0,0,0
789,Maximilian Eggestein,GER,MF,Freiburg,de  Bundesliga,28-093,1996.0,22.8,37,1.62,29,0,1,2,4,1,4,0.18,4,0,0,0,0,0
790,Kingsley Ehizibue,NED,DF,Udinese,it  Serie A,29-290,1995.0,20.8,38,1.83,29,3,0,2,3,1,2,0.1,1,0,0,1,0,0
791,Chidera Ejuke,NGA,FW,Sevilla,es  La Liga,27-068,1998.0,8.2,34,4.14,20,4,7,0,3,0,2,0.24,2,0,0,0,0,0
792,Jeff Ekhator,ITA,"FW,MF",Genoa,it  Serie A,18-120,2006.0,7.1,18,2.54,13,0,0,2,3,0,2,0.28,1,0,0,1,0,0
793,Hugo Ekitike,FRA,FW,Eint Frankfurt,de  Bundesliga,22-264,2002.0,19.9,73,3.67,45,0,12,13,3,0,8,0.4,5,0,2,0,1,0
794,Jurgen Ekkelenkamp,NED,MF,Udinese,it  Serie A,24-340,2000.0,14.6,27,1.84,20,2,2,2,1,0,6,0.41,4,0,1,1,0,0
795,Jacques Ekomie,GAB,DF,Angers,fr  Ligue 1,21-204,2003.0,3.8,3,0.78,2,0,0,0,0,1,1,0.26,1,0,0,0,0,0
796,Emmanuel Ekong,SWE,"MF,FW",Empoli,it  Serie A,22-259,2002.0,2.1,6,2.9,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0
797,Caleb Ekuban,GHA,FW,Genoa,it  Serie A,30-353,1994.0,4.9,11,2.24,10,0,0,1,0,0,3,0.61,3,0,0,0,0,0
798,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,fr  Ligue 1,23-055,2002.0,19.6,23,1.17,23,0,0,0,0,0,2,0.1,2,0,0,0,0,0
799,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,eng  Premier League,22-318,2002.0,19.8,77,3.9,45,15,5,4,8,0,12,0.61,8,2,1,0,1,0
800,Meschak Elia,COD,"FW,DF",Nantes,fr  Ligue 1,27-217,1997.0,0.9,2,2.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
801,Mikael Ellertsson,ISL,"DF,MF",Venezia,it  Serie A,23-000,2002.0,20.8,37,1.78,25,1,4,3,3,1,4,0.19,3,0,0,0,1,0
802,Harvey Elliott,ENG,"MF,FW",Liverpool,eng  Premier League,21-341,2003.0,1.4,7,4.92,5,2,0,0,0,0,2,1.41,2,0,0,0,0,0
803,Elif Elmas,MKD,FW,Torino,it  Serie A,25-168,1999.0,2.7,8,2.96,7,0,1,0,0,0,1,0.37,0,0,1,0,0,0
804,Elif Elmas,MKD,MF,RB Leipzig,de  Bundesliga,25-168,1999.0,0.5,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
805,Aritz Elustondo,ESP,DF,Real Sociedad,es  La Liga,30-348,1994.0,7.9,7,0.89,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0
806,Nico Elvedi,SUI,DF,Gladbach,de  Bundesliga,28-162,1996.0,17.5,11,0.63,10,0,0,1,0,0,3,0.17,2,0,0,1,0,0
807,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,es  La Liga,32-308,1992.0,14.7,39,2.66,24,8,1,1,5,0,1,0.07,1,0,0,0,0,0
808,Breel Embolo,SUI,"FW,MF",Monaco,fr  Ligue 1,28-025,1997.0,13.6,28,2.07,24,0,1,2,1,0,5,0.37,4,0,0,1,0,0
809,Emanuel Emegha,NED,FW,Strasbourg,fr  Ligue 1,22-036,2003.0,18.6,23,1.24,17,0,2,1,3,0,3,0.16,2,0,1,0,0,0
810,Emerson,BRA,DF,Milan,it  Serie A,26-056,1999.0,15.3,33,2.16,29,0,0,2,2,0,1,0.07,1,0,0,0,0,0
811,Yunus Emre Konak,TUR,"MF,FW",Brentford,eng  Premier League,19-060,2006.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
812,Julio Enciso,PAR,"MF,FW",Ipswich Town,eng  Premier League,21-047,2004.0,2.1,13,6.16,5,3,3,1,0,1,1,0.47,0,1,0,0,0,0
813,Julio Enciso,PAR,"MF,FW",Brighton,eng  Premier League,21-047,2004.0,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0
814,Wataru Endo,JPN,MF,Liverpool,eng  Premier League,32-030,1993.0,1.6,3,1.81,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
815,Endrick,BRA,FW,Real Madrid,es  La Liga,18-233,2006.0,1.3,5,3.75,3,0,1,0,1,0,2,1.5,0,0,1,0,1,0
816,Yannik Engelhardt,GER,"MF,DF",Como,it  Serie A,24-032,2001.0,11.9,23,1.93,19,1,1,0,1,1,2,0.17,2,0,0,0,0,0
817,Arne Engels,BEL,"MF,FW",Augsburg,de  Bundesliga,21-184,2003.0,0.9,1,1.14,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
818,Christian Eriksen,DEN,MF,Manchester Utd,eng  Premier League,33-025,1992.0,7.9,28,3.52,18,10,0,0,0,0,6,0.76,4,2,0,0,0,0
819,Martin Erlic,CRO,DF,Bologna,it  Serie A,27-046,1998.0,3.2,4,1.24,2,0,0,1,1,0,1,0.31,0,0,0,0,1,0
820,Patrick Erras,GER,DF,Holstein Kiel,de  Bundesliga,30-049,1995.0,9.2,8,0.87,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
821,Alfonso Espino,URU,DF,Rayo Vallecano,es  La Liga,33-065,1992.0,5.3,5,0.94,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0
822,Sebastiano Esposito,ITA,"FW,MF",Empoli,it  Serie A,22-252,2002.0,17.9,57,3.19,36,3,5,7,5,1,5,0.28,0,0,2,2,1,0
823,Romain Esse,ENG,MF,Crystal Palace,eng  Premier League,19-302,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
824,Samuel Essende,COD,FW,Augsburg,de  Bundesliga,27-047,1998.0,13.8,20,1.45,10,1,1,4,4,0,3,0.22,2,0,1,0,0,0
825,Dario Essugo,POR,MF,Las Palmas,es  La Liga,19-362,2005.0,14.6,26,1.78,18,0,2,3,2,1,1,0.07,1,0,0,0,0,0
826,Nahuel Estévez,ARG,MF,Parma,it  Serie A,29-117,1995.0,6.0,11,1.83,7,3,0,1,0,0,0,0.0,0,0,0,0,0,0
827,Pervis Estupiñán,ECU,DF,Brighton,eng  Premier League,27-049,1998.0,17.8,37,2.08,24,9,0,2,2,0,4,0.22,3,0,0,0,1,0
828,Etienne Eto'o,CMR,FW,Rayo Vallecano,es  La Liga,22-205,2002.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
829,Evanilson,BRA,FW,Bournemouth,eng  Premier League,25-156,1999.0,16.2,45,2.79,27,0,3,6,9,0,7,0.43,1,0,1,1,4,0
830,Jonny Evans,NIR,DF,Manchester Utd,eng  Premier League,37-067,1988.0,3.2,2,0.62,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
831,Edu Expósito,ESP,"MF,FW",Espanyol,es  La Liga,28-222,1996.0,1.7,6,3.44,3,1,1,0,1,0,0,0.0,0,0,0,0,0,0
832,Eberechi Eze,ENG,"MF,FW",Crystal Palace,eng  Premier League,26-255,1998.0,21.4,105,4.91,54,23,10,10,7,1,7,0.33,6,1,0,0,0,0
833,Abde Ezzalzouli,MAR,"FW,MF",Betis,es  La Liga,23-084,2001.0,17.2,51,2.96,33,0,8,6,3,1,4,0.23,3,0,0,1,0,0
834,Giovanni Fabbian,ITA,MF,Bologna,it  Serie A,22-056,2003.0,9.3,14,1.5,8,0,0,4,1,1,0,0.0,0,0,0,0,0,0
835,Łukasz Fabiański,POL,GK,West Ham,eng  Premier League,39-327,1985.0,11.9,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
836,Alieu Fadera,GAM,"FW,DF",Como,it  Serie A,23-128,2001.0,17.7,50,2.82,35,1,5,3,5,1,7,0.4,6,0,1,0,0,0
837,Wout Faes,BEL,DF,Leicester City,eng  Premier League,26-342,1998.0,22.3,10,0.45,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0
838,Nicolò Fagioli,ITA,MF,Fiorentina,it  Serie A,24-027,2001.0,2.8,9,3.23,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0
839,Nicolò Fagioli,ITA,MF,Juventus,it  Serie A,24-027,2001.0,6.3,10,1.57,8,0,0,2,0,0,1,0.16,1,0,0,0,0,0
840,Romain Faivre,FRA,"MF,FW",Brest,fr  Ligue 1,26-240,1998.0,9.1,33,3.63,19,5,3,1,4,1,4,0.44,3,0,0,1,0,0
841,Wladimiro Falcone,ITA,GK,Lecce,it  Serie A,29-333,1995.0,28.0,9,0.32,7,2,0,0,0,0,1,0.04,1,0,0,0,0,0
842,Davide Faraoni,ITA,DF,Hellas Verona,it  Serie A,33-137,1991.0,2.9,3,1.05,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
843,Abdul Fatawu Issahaku,GHA,FW,Leicester City,eng  Premier League,21-003,2004.0,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0
844,Ansu Fati,ESP,FW,Barcelona,es  La Liga,22-131,2002.0,1.4,4,2.83,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
845,Khalil Fayad,FRA,"MF,FW",Montpellier,fr  Ligue 1,20-275,2004.0,7.2,16,2.23,14,0,0,0,2,0,1,0.14,1,0,0,0,0,0
846,Jacopo Fazzini,ITA,"MF,FW",Empoli,it  Serie A,21-360,2003.0,8.5,25,2.92,15,1,2,2,5,0,3,0.35,3,0,0,0,0,0
847,Peter Federico,DOM,"MF,FW",Getafe,es  La Liga,22-229,2002.0,3.7,8,2.14,5,0,0,1,1,1,1,0.27,1,0,0,0,0,0
848,Nabil Fekir,FRA,MF,Betis,es  La Liga,31-236,1993.0,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
849,Mattia Felici,ITA,"MF,FW",Cagliari,it  Serie A,23-328,2001.0,9.1,29,3.2,17,2,8,1,1,0,4,0.44,3,0,1,0,0,0
850,Luiz Felipe,ITA,DF,Marseille,fr  Ligue 1,27-354,1997.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
851,João Félix,POR,"FW,MF",Chelsea,eng  Premier League,25-121,1999.0,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
852,João Félix,POR,MF,Milan,it  Serie A,25-121,1999.0,4.2,13,3.06,9,0,2,1,1,0,1,0.24,1,0,0,0,0,0
853,Kiko Femenía,ESP,DF,Villarreal,es  La Liga,34-037,1991.0,19.2,38,1.98,32,2,2,0,0,2,4,0.21,4,0,0,0,0,0
854,Evan Ferguson,IRL,FW,West Ham,eng  Premier League,20-143,2004.0,1.0,4,3.83,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
855,Evan Ferguson,IRL,FW,Brighton,eng  Premier League,20-143,2004.0,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
856,Lewis Ferguson,SCO,MF,Bologna,it  Serie A,25-199,1999.0,5.9,17,2.87,15,1,0,0,0,1,0,0.0,0,0,0,0,0,0
857,Zinedine Ferhat,ALG,FW,Angers,fr  Ligue 1,32-010,1993.0,6.6,24,3.62,18,4,1,1,0,0,1,0.15,1,0,0,0,0,0
858,Bruno Fernandes,POR,MF,Manchester Utd,eng  Premier League,30-184,1994.0,25.4,133,5.24,91,25,4,6,6,1,11,0.43,8,2,0,1,0,0
859,Edimilson Fernandes,SUI,MF,Brest,fr  Ligue 1,28-330,1996.0,8.9,13,1.46,9,0,0,1,2,1,1,0.11,1,0,0,0,0,0
860,Mateus Fernandes,POR,MF,Southampton,eng  Premier League,20-244,2004.0,23.3,56,2.4,33,11,3,5,3,1,5,0.21,3,1,0,0,0,1
861,Álvaro Fernández,ESP,GK,Sevilla,es  La Liga,26-332,1998.0,7.3,2,0.27,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
862,Enzo Fernández,ARG,MF,Chelsea,eng  Premier League,24-053,2001.0,22.8,105,4.61,81,13,1,4,1,5,13,0.57,10,2,0,1,0,0
863,Roberto Férnandez,ESP,FW,Espanyol,es  La Liga,22-251,2002.0,5.5,11,1.99,7,0,2,0,1,1,2,0.36,0,0,0,0,1,1
864,Valery Fernández,ESP,"MF,FW",Mallorca,es  La Liga,25-108,1999.0,2.6,3,1.13,2,0,0,0,0,1,2,0.76,1,0,0,0,0,1
865,Matias Fernandez-Pardo,BEL,FW,Lille,fr  Ligue 1,20-036,2005.0,5.2,11,2.12,8,2,0,0,1,0,3,0.58,2,0,0,0,1,0
866,Jordan Ferri,FRA,MF,Montpellier,fr  Ligue 1,32-364,1992.0,12.6,28,2.23,25,0,0,2,1,0,4,0.32,3,0,0,1,0,0
867,Daniel Fila,CZE,FW,Venezia,it  Serie A,22-202,2002.0,1.7,8,4.83,5,0,1,1,1,0,0,0.0,0,0,0,0,0,0
868,Karol Fila,POL,MF,Strasbourg,fr  Ligue 1,26-271,1998.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
869,Kilian Fischer,GER,DF,Wolfsburg,de  Bundesliga,24-150,2000.0,18.2,22,1.21,17,3,0,1,0,1,1,0.05,1,0,0,0,0,0
870,Mark Flekken,NED,GK,Brentford,eng  Premier League,31-271,1993.0,26.4,6,0.23,3,3,0,0,0,0,1,0.04,0,1,0,0,0,0
871,Mateo Flores,ESP,MF,Betis,es  La Liga,20-338,2004.0,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
872,Phil Foden,ENG,"MF,FW",Manchester City,eng  Premier League,24-287,2000.0,17.9,83,4.63,55,18,2,5,3,0,9,0.5,5,1,0,3,0,0
873,Malick Fofana,BEL,FW,Lyon,fr  Ligue 1,19-345,2005.0,13.2,35,2.66,26,0,4,1,4,0,7,0.53,6,0,1,0,0,0
874,Rayan Fofana,FRA,"FW,MF",Lens,fr  Ligue 1,19-027,2006.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
875,Seko Fofana,CIV,MF,Rennes,fr  Ligue 1,29-308,1995.0,4.9,20,4.08,16,0,1,2,1,0,2,0.41,1,0,1,0,0,0
876,Wesley Fofana,FRA,DF,Chelsea,eng  Premier League,24-084,2000.0,12.1,14,1.16,11,1,1,1,0,0,0,0.0,0,0,0,0,0,0
877,Yahia Fofana,CIV,GK,Angers,fr  Ligue 1,24-202,2000.0,25.0,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
878,Youssouf Fofana,FRA,MF,Milan,it  Serie A,26-060,1999.0,21.8,47,2.16,43,0,0,0,0,4,4,0.18,4,0,0,0,0,0
879,Jonas Föhrenbach,GER,DF,Heidenheim,de  Bundesliga,29-044,1996.0,19.6,32,1.63,28,1,1,1,1,0,4,0.2,3,1,0,0,0,0
880,Michael Folorunsho,ITA,"FW,MF",Fiorentina,it  Serie A,27-032,1998.0,5.4,9,1.68,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0
881,Michael Folorunsho,ITA,"FW,MF",Napoli,it  Serie A,27-032,1998.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
882,Lamine Fomba,FRA,MF,Saint-Étienne,fr  Ligue 1,27-044,1998.0,2.4,4,1.66,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
883,Carlos Forbs,POR,"MF,FW",Wolves,eng  Premier League,20-357,2004.0,2.6,5,1.91,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0
884,Pablo Fornals,ESP,"MF,FW",Betis,es  La Liga,29-017,1996.0,12.3,62,5.04,53,5,2,2,0,0,5,0.41,5,0,0,0,0,0
885,Omari Forson,ENG,"MF,FW",Monza,it  Serie A,20-234,2004.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
886,Fraser Forster,ENG,GK,Tottenham,eng  Premier League,36-359,1988.0,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
887,Héctor Fort,ESP,DF,Barcelona,es  La Liga,18-221,2006.0,4.2,11,2.64,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0
888,Dimitri Foulquier,FRA,DF,Valencia,es  La Liga,31-353,1993.0,18.9,25,1.32,17,3,1,3,0,1,3,0.16,2,0,0,1,0,0
889,Juan Foyth,ARG,DF,Villarreal,es  La Liga,27-058,1998.0,7.0,6,0.85,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
890,Alejandro Francés,ESP,DF,Girona,es  La Liga,22-222,2002.0,7.9,11,1.39,10,0,0,1,0,0,1,0.13,1,0,0,0,0,0
891,Przemysław Frankowski,POL,DF,Lens,fr  Ligue 1,29-333,1995.0,15.4,46,2.99,38,6,0,1,1,0,5,0.32,5,0,0,0,0,0
892,Enric Franquesa,ESP,"DF,FW",Leganés,es  La Liga,28-013,1997.0,6.8,6,0.88,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0
893,Ryan Fraser,SCO,"FW,DF",Southampton,eng  Premier League,31-015,1994.0,3.4,5,1.47,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
894,Davide Frattesi,ITA,MF,Inter,it  Serie A,25-140,1999.0,9.3,10,1.08,8,0,1,0,1,0,2,0.22,1,0,0,0,1,0
895,Morten Frendrup,DEN,MF,Genoa,it  Serie A,23-338,2001.0,26.5,41,1.55,35,0,0,0,2,4,1,0.04,1,0,0,0,0,0
896,Martin Frese,DEN,DF,Hellas Verona,it  Serie A,27-066,1998.0,3.7,7,1.87,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
897,Remo Freuler,SUI,MF,Bologna,it  Serie A,32-330,1992.0,26.6,57,2.14,51,0,1,0,0,5,2,0.08,1,0,0,0,0,1
898,Marco Friedl,AUT,DF,Werder Bremen,de  Bundesliga,26-360,1998.0,15.9,8,0.5,6,1,0,1,0,0,0,0.0,0,0,0,0,0,0
899,Marvin Friedrich,GER,DF,Gladbach,de  Bundesliga,29-088,1995.0,10.5,7,0.67,6,0,0,1,0,0,1,0.1,0,0,0,1,0,0
900,Jeremie Frimpong,NED,"DF,MF",Leverkusen,de  Bundesliga,24-091,2000.0,18.8,49,2.6,39,0,2,4,1,3,9,0.48,6,0,1,1,0,1
901,Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,es  La Liga,28-019,1997.0,19.5,49,2.51,41,0,5,1,2,0,6,0.31,4,0,2,0,0,0
902,Darío Fuentes,ESP,DF,Sevilla,es  La Liga,22-058,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
903,Chris Führich,GER,"MF,FW",Stuttgart,de  Bundesliga,27-061,1998.0,15.7,62,3.94,49,5,3,5,0,0,5,0.32,4,0,0,1,0,0
904,Shiō Fukuda,JPN,"FW,MF",Gladbach,de  Bundesliga,20-337,2004.0,0.5,2,4.19,2,0,0,0,0,0,1,2.09,1,0,0,0,0,0
905,Angelo Fulgini,FRA,"MF,FW",Lens,fr  Ligue 1,28-203,1996.0,10.3,44,4.28,33,8,0,2,1,0,2,0.19,2,0,0,0,0,0
906,Niclas Füllkrug,GER,FW,West Ham,eng  Premier League,32-030,1993.0,4.1,11,2.67,10,0,0,1,0,0,1,0.24,0,0,0,1,0,0
907,Kyogo Furuhashi,JPN,FW,Rennes,fr  Ligue 1,30-050,1995.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
908,Manuel Fuster,ESP,"FW,MF",Las Palmas,es  La Liga,27-140,1997.0,7.6,38,5.0,31,4,1,0,1,1,3,0.39,2,0,0,0,0,1
909,Matteo Gabbia,ITA,DF,Milan,it  Serie A,25-141,1999.0,15.0,18,1.2,14,1,0,1,1,1,3,0.2,1,0,0,1,0,1
910,Alessandro Gabrielloni,ITA,"FW,MF",Como,it  Serie A,30-244,1994.0,1.2,6,4.95,4,0,0,1,1,0,1,0.83,1,0,0,0,0,0
911,Gianluca Gaetano,ITA,"MF,FW",Cagliari,it  Serie A,24-310,2000.0,9.1,36,3.95,23,3,4,4,2,0,3,0.33,3,0,0,0,0,0
912,Roberto Gagliardini,ITA,"MF,DF",Monza,it  Serie A,30-338,1994.0,1.1,3,2.84,1,1,0,0,1,0,0,0.0,0,0,0,0,0,0
913,Cody Gakpo,NED,FW,Liverpool,eng  Premier League,25-308,1999.0,15.7,61,3.89,46,0,7,4,3,1,6,0.38,3,0,2,0,1,0
914,Javi Galán,ESP,DF,Atlético Madrid,es  La Liga,30-112,1994.0,13.2,23,1.74,21,1,1,0,0,0,5,0.38,5,0,0,0,0,0
915,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,es  La Liga,31-217,1993.0,11.6,39,3.37,33,3,2,1,0,0,3,0.26,1,2,0,0,0,0
916,Conor Gallagher,ENG,MF,Atlético Madrid,es  La Liga,25-033,2000.0,12.1,16,1.32,12,0,2,0,2,0,2,0.17,2,0,0,0,0,0
917,Antonino Gallo,ITA,DF,Lecce,it  Serie A,25-065,2000.0,19.5,50,2.57,41,7,1,0,1,0,2,0.1,2,0,0,0,0,0
918,Gauthier Gallon,FRA,GK,Rennes,fr  Ligue 1,31-322,1993.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
919,Cristian Gamboa,CRC,DF,Bochum,de  Bundesliga,35-138,1989.0,1.7,6,3.44,4,0,0,0,2,0,0,0.0,0,0,0,0,0,0
920,Idrissa Gana Gueye,SEN,MF,Everton,eng  Premier League,35-166,1989.0,24.2,42,1.74,36,0,0,2,2,2,2,0.08,2,0,0,0,0,0
921,Ignatius Ganago,CMR,"FW,MF",Nantes,fr  Ligue 1,26-023,1999.0,2.7,7,2.62,5,0,1,1,0,0,1,0.37,1,0,0,0,0,0
922,Silvère Ganvoula M'Boussy,CGO,FW,Monza,it  Serie A,28-262,1996.0,3.3,3,0.92,1,0,0,1,1,0,0,0.0,0,0,0,0,0,0
923,Facundo Garcés,ARG,DF,Alavés,es  La Liga,25-187,1999.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
924,Aleix García,ESP,MF,Leverkusen,de  Bundesliga,27-256,1997.0,11.1,47,4.24,28,14,0,4,0,1,7,0.63,3,2,0,2,0,0
925,Álvaro García,ESP,"FW,MF",Rayo Vallecano,es  La Liga,32-135,1992.0,18.6,76,4.09,60,0,2,8,4,2,5,0.27,5,0,0,0,0,0
926,Andrés García,ESP,"DF,MF",Aston Villa,eng  Premier League,22-032,2003.0,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
927,Eric García,ESP,"MF,DF",Barcelona,es  La Liga,24-061,2001.0,9.1,17,1.86,15,0,0,2,0,0,4,0.44,3,0,0,1,0,0
928,Fran Garcia,ESP,DF,Real Madrid,es  La Liga,25-209,1999.0,14.6,25,1.71,23,0,0,2,0,0,1,0.07,1,0,0,0,0,0
929,Joan García,ESP,GK,Espanyol,es  La Liga,23-311,2001.0,26.0,4,0.15,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
930,Pablo Garcia,ESP,FW,Betis,es  La Liga,18-208,2006.0,0.3,2,6.67,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
931,Rubén García,ESP,"FW,MF",Osasuna,es  La Liga,31-240,1993.0,18.1,64,3.53,41,18,1,1,3,0,10,0.55,7,1,0,1,1,0
932,Ulisses Garcia,SUI,DF,Marseille,fr  Ligue 1,29-059,1996.0,5.6,10,1.78,8,0,0,0,1,1,2,0.36,2,0,0,0,0,0
933,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,eng  Premier League,20-253,2004.0,17.5,52,2.97,38,1,3,6,4,0,4,0.23,2,0,0,1,1,0
