,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
306,Antoine Bernede,FRA,"MF,FW",Hellas Verona,it  Serie A,25-289,1999.0,1.9,8,4.31,5,0,1,1,0,1,1,0.54,0,0,1,0,0,0
307,Alexander Bernhardsson,SWE,"MF,DF",Holstein Kiel,de  Bundesliga,26-184,1998.0,6.4,15,2.35,9,4,0,1,0,1,2,0.31,1,0,0,0,0,1
308,Victor Bernth Kristiansen,DEN,DF,Leicester City,eng  Premier League,22-085,2002.0,24.4,38,1.56,29,6,1,0,2,0,3,0.12,3,0,0,0,0,0
309,Matúš Bero,SVK,MF,Bochum,de  Bundesliga,29-186,1995.0,21.2,90,4.25,52,26,4,4,3,1,6,0.28,2,2,2,0,0,0
310,Juan Berrocal,ESP,DF,Getafe,es  La Liga,25-311,1999.0,8.8,5,0.57,3,1,0,0,0,1,0,0.0,0,0,0,0,0,0
311,Dimitry Bertaud,COD,GK,Montpellier,fr  Ligue 1,26-278,1998.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
312,Jan-Niklas Beste,GER,"FW,MF",Freiburg,de  Bundesliga,26-066,1999.0,1.0,2,2.05,1,1,0,0,0,0,1,1.02,1,0,0,0,0,0
313,Beto,GNB,FW,Everton,eng  Premier League,27-039,1998.0,9.5,12,1.26,7,0,2,1,2,0,0,0.0,0,0,0,0,0,0
314,Sam Beukema,NED,DF,Bologna,it  Serie A,26-114,1998.0,25.5,27,1.06,22,2,0,3,0,0,6,0.24,4,0,0,2,0,0
315,Alessandro Bianco,ITA,MF,Monza,it  Serie A,22-161,2002.0,19.9,26,1.31,24,0,0,2,0,0,0,0.0,0,0,0,0,0,0
316,Alessandro Bianco,ITA,MF,Fiorentina,it  Serie A,22-161,2002.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
317,Mika Biereth,DEN,FW,Monaco,fr  Ligue 1,22-031,2003.0,7.1,22,3.1,18,0,0,2,2,0,4,0.56,3,0,0,0,1,0
318,Jaka Bijol,SVN,DF,Udinese,it  Serie A,26-034,1999.0,26.0,22,0.85,18,1,0,3,0,0,1,0.04,0,0,0,1,0,0
319,El Bilal Touré,MLI,"FW,MF",Stuttgart,de  Bundesliga,23-159,2001.0,3.5,11,3.11,8,0,1,2,0,0,1,0.28,1,0,0,0,0,0
320,Philip Billing,DEN,MF,Bournemouth,eng  Premier League,28-273,1996.0,2.0,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0
321,Philip Billing,DEN,MF,Napoli,it  Serie A,28-273,1996.0,0.9,6,6.92,2,0,0,2,1,1,1,1.15,0,0,0,1,0,0
322,Cristiano Biraghi,ITA,DF,Torino,it  Serie A,32-191,1992.0,3.2,11,3.4,5,5,0,1,0,0,0,0.0,0,0,0,0,0,0
323,Cristiano Biraghi,ITA,DF,Fiorentina,it  Serie A,32-191,1992.0,4.8,8,1.66,3,5,0,0,0,0,0,0.0,0,0,0,0,0,0
324,Samuele Birindelli,ITA,"DF,MF",Monza,it  Serie A,25-235,1999.0,7.7,20,2.59,18,1,0,1,0,0,1,0.13,1,0,0,0,0,0
325,Tom Bischof,GER,"MF,FW",Hoffenheim,de  Bundesliga,19-256,2005.0,20.8,93,4.47,55,24,3,5,4,2,6,0.29,6,0,0,0,0,0
326,Yves Bissouma,MLI,MF,Tottenham,eng  Premier League,28-193,1996.0,12.2,13,1.06,12,0,0,0,0,1,0,0.0,0,0,0,0,0,0
327,Leonardo Bittencourt,GER,MF,Werder Bremen,de  Bundesliga,31-082,1993.0,9.5,33,3.46,23,2,0,3,4,1,3,0.31,3,0,0,0,0,0
328,Emmanuel Biumla,FRA,DF,Angers,fr  Ligue 1,19-307,2005.0,14.6,4,0.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
329,Marco Bizot,NED,GK,Brest,fr  Ligue 1,34-001,1991.0,24.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
330,Bjarki Bjarkason,ISL,"DF,MF",Venezia,it  Serie A,24-304,2000.0,1.8,1,0.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
331,Antonio Blanco,ESP,MF,Alavés,es  La Liga,24-231,2000.0,20.7,34,1.64,28,3,0,1,1,1,1,0.05,1,0,0,0,0,0
332,Ludovic Blas,FRA,"MF,FW",Rennes,fr  Ligue 1,27-070,1997.0,22.2,96,4.33,52,23,5,7,3,6,15,0.68,6,4,1,1,2,1
333,Daley Blind,NED,DF,Girona,es  La Liga,35-002,1990.0,19.9,27,1.36,26,1,0,0,0,0,4,0.2,4,0,0,0,0,0
334,Myron Boadu,NED,FW,Bochum,de  Bundesliga,24-056,2001.0,6.5,15,2.3,12,0,0,1,2,0,1,0.15,1,0,0,0,0,0
335,Augustine Boakye,GHA,"FW,MF",Saint-Étienne,fr  Ligue 1,24-128,2000.0,8.1,35,4.3,24,1,5,3,2,0,1,0.12,0,0,0,1,0,0
336,Mathéo Bodmer,FRA,MF,Le Havre,fr  Ligue 1,20-309,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
337,Sacha Boey,FRA,DF,Bayern Munich,de  Bundesliga,24-179,2000.0,4.7,7,1.5,5,0,2,0,0,0,2,0.43,1,0,1,0,0,0
338,Jeremie Boga,CIV,"MF,FW",Nice,fr  Ligue 1,28-067,1997.0,7.5,35,4.69,19,5,4,5,2,0,3,0.4,2,0,0,1,0,0
339,Lamare Bogarde,NED,"DF,MF",Aston Villa,eng  Premier League,21-065,2004.0,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0
340,Emil Bohinen,NOR,MF,Genoa,it  Serie A,25-364,1999.0,1.8,5,2.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
341,Adama Boiro,ESP,DF,Athletic Club,es  La Liga,22-262,2002.0,8.5,11,1.3,7,1,1,1,1,0,0,0.0,0,0,0,0,0,0
342,Willy Boly,CIV,DF,Nott'ham Forest,eng  Premier League,34-036,1991.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
343,Moïse Bombito,CAN,DF,Nice,fr  Ligue 1,24-346,2000.0,18.2,9,0.5,9,0,0,0,0,0,2,0.11,2,0,0,0,0,0
