,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
749,Douglas,BRA,MF,Nantes,fr  Ligue 1,28-057,1997.0,18.1,859,810,47,36,2,2,8,5,3,2,0,0,741,2,9
750,Ismaël Doukouré,FRA,"MF,DF",Strasbourg,fr  Ligue 1,21-230,2003.0,20.8,1121,1038,78,34,2,2,1,8,0,0,0,0,980,5,10
751,Issa Doumbia,CIV,MF,Venezia,it  Serie A,21-146,2003.0,7.2,188,186,1,1,0,0,8,0,0,0,0,0,141,1,6
752,Kamory Doumbia,MLI,MF,Brest,fr  Ligue 1,22-021,2003.0,10.3,481,424,52,17,4,1,44,2,24,11,13,0,376,5,4
753,Amidou Doumbouya,FRA,DF,Nice,fr  Ligue 1,17-218,2007.0,0.5,25,24,1,0,0,0,2,1,0,0,0,0,19,0,2
754,Anastasios Douvikas,GRE,FW,Como,it  Serie A,25-221,1999.0,0.6,15,14,1,0,0,0,0,0,0,0,0,0,11,0,0
755,Anastasios Douvikas,GRE,FW,Celta Vigo,es  La Liga,25-221,1999.0,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6
756,Artem Dovbyk,UKR,FW,Roma,it  Serie A,27-263,1997.0,20.3,328,295,30,0,1,0,0,1,0,0,0,0,237,3,7
757,Flynn Downes,ENG,MF,Southampton,eng  Premier League,26-050,1999.0,16.8,826,800,25,25,6,1,2,0,0,0,0,0,745,1,9
758,Tommy Doyle,ENG,MF,Wolves,eng  Premier League,23-145,2001.0,5.4,390,352,34,19,0,6,15,3,11,6,4,0,320,4,8
759,Radu Drăgușin,ROU,DF,Tottenham,eng  Premier League,23-036,2002.0,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5
760,Patrick Drewes,GER,GK,Bochum,de  Bundesliga,32-035,1993.0,21.0,860,598,260,83,0,0,0,0,0,0,0,0,565,2,1
761,Tim Drexler,GER,DF,Hoffenheim,de  Bundesliga,20-005,2005.0,4.0,180,173,7,4,1,2,1,3,0,0,0,0,153,0,3
762,Domingos Duarte,POR,DF,Getafe,es  La Liga,30-001,1995.0,11.0,350,331,18,18,0,3,0,0,0,0,0,0,274,1,0
763,Martin Dúbravka,SVK,GK,Newcastle Utd,eng  Premier League,36-055,1989.0,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0
764,Marvin Ducksch,GER,FW,Werder Bremen,de  Bundesliga,31-004,1994.0,19.9,652,476,171,35,5,9,125,6,83,32,39,0,403,5,15
765,Ondrej Duda,SVK,MF,Hellas Verona,it  Serie A,30-096,1994.0,17.9,795,698,96,38,3,12,57,4,46,17,24,0,625,1,5
766,Duk,CPV,"MF,FW",Leganés,es  La Liga,25-023,2000.0,0.5,25,22,3,0,0,0,3,3,0,0,0,0,15,0,2
767,Denzel Dumfries,NED,"DF,FW",Inter,it  Serie A,28-327,1996.0,18.8,700,571,126,5,1,3,51,121,0,0,0,0,511,3,22
768,Alfred Duncan,GHA,MF,Venezia,it  Serie A,32-001,1993.0,9.6,466,432,31,15,4,5,17,2,11,1,7,0,380,3,7
769,Lewis Dunk,ENG,DF,Brighton,eng  Premier League,33-110,1991.0,17.4,1472,1364,105,51,1,6,2,7,0,0,0,0,1343,3,7
770,Jáder Durán,COL,FW,Aston Villa,eng  Premier League,21-088,2003.0,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4
771,Pablo Durán,ESP,"FW,MF",Celta Vigo,es  La Liga,23-290,2001.0,9.9,268,251,15,0,1,2,14,7,1,0,1,0,189,2,12
772,Julien Duranville,BEL,"FW,MF",Dortmund,de  Bundesliga,18-310,2006.0,2.9,79,78,1,0,1,1,13,1,0,0,0,0,54,0,2
773,Hugo Duro,ESP,FW,Valencia,es  La Liga,25-121,1999.0,18.8,338,305,32,1,0,1,7,1,0,0,0,0,238,1,14
774,Jean-Kevin Duverne,HAI,DF,Nantes,fr  Ligue 1,27-242,1997.0,6.0,304,250,53,6,0,0,9,47,0,0,0,0,238,1,5
775,Paulo Dybala,ARG,"FW,MF",Roma,it  Serie A,31-116,1993.0,15.6,721,637,81,26,2,16,62,5,36,11,14,2,588,3,16
776,Stefan Džodić,SRB,"DF,MF",Montpellier,fr  Ligue 1,19-361,2005.0,2.1,123,119,4,2,0,1,0,0,0,0,0,0,112,0,0
777,Adam Dźwigała,POL,"DF,MF",St. Pauli,de  Bundesliga,29-167,1995.0,2.1,112,93,19,4,0,0,3,14,0,0,0,0,83,0,4
778,Aron Dønnum,NOR,"DF,MF",Toulouse,fr  Ligue 1,26-325,1998.0,22.0,893,739,149,26,6,15,89,102,21,13,5,0,634,5,37
779,Enzo Ebosse,CMR,DF,Udinese,it  Serie A,26-000,1999.0,1.0,55,49,6,3,0,1,0,2,0,0,0,0,48,0,0
780,Ederson,BRA,GK,Manchester City,eng  Premier League,31-206,1993.0,19.0,706,625,81,25,0,2,0,0,0,0,0,0,614,0,1
781,Éderson,BRA,MF,Atalanta,it  Serie A,25-247,1999.0,24.9,1536,1484,47,41,4,26,21,4,2,0,1,0,1336,5,19
782,Noah Edjouma,FRA,"MF,FW",Toulouse,fr  Ligue 1,19-158,2005.0,0.9,20,19,1,0,0,0,1,1,0,0,0,0,14,0,2
783,George Edmundson,ENG,DF,Ipswich Town,eng  Premier League,27-192,1997.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
784,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,eng  Premier League,27-054,1998.0,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
785,Odsonne Édouard,FRA,FW,Leicester City,eng  Premier League,27-054,1998.0,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
786,Samuel Edozie,ENG,"DF,FW",Southampton,eng  Premier League,22-042,2003.0,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
787,Ronnie Edwards,ENG,DF,Southampton,eng  Premier League,21-348,2003.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
788,Johannes Eggestein,GER,FW,St. Pauli,de  Bundesliga,26-307,1998.0,20.0,533,502,28,0,4,2,33,0,0,0,0,0,394,3,27
789,Maximilian Eggestein,GER,MF,Freiburg,de  Bundesliga,28-093,1996.0,22.8,1054,1031,19,17,2,0,8,2,0,0,0,0,880,4,29
790,Kingsley Ehizibue,NED,DF,Udinese,it  Serie A,29-290,1995.0,20.8,756,574,180,4,1,1,45,176,0,0,0,0,576,2,17
791,Chidera Ejuke,NGA,FW,Sevilla,es  La Liga,27-068,1998.0,8.2,351,320,30,0,2,3,15,10,20,10,0,0,288,1,12
792,Jeff Ekhator,ITA,"FW,MF",Genoa,it  Serie A,18-120,2006.0,7.1,133,128,3,0,3,0,9,1,0,0,0,0,88,2,5
793,Hugo Ekitike,FRA,FW,Eint Frankfurt,de  Bundesliga,22-264,2002.0,19.9,435,392,42,1,4,5,14,0,0,0,0,0,337,1,15
794,Jurgen Ekkelenkamp,NED,MF,Udinese,it  Serie A,24-340,2000.0,14.6,529,497,30,5,2,3,9,20,4,1,1,0,428,2,12
795,Jacques Ekomie,GAB,DF,Angers,fr  Ligue 1,21-204,2003.0,3.8,165,111,53,1,0,0,17,52,0,0,0,0,111,1,11
796,Emmanuel Ekong,SWE,"MF,FW",Empoli,it  Serie A,22-259,2002.0,2.1,44,43,1,0,0,0,0,1,0,0,0,0,30,0,2
797,Caleb Ekuban,GHA,FW,Genoa,it  Serie A,30-353,1994.0,4.9,82,74,7,0,0,0,3,0,0,0,0,0,59,1,3
798,Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,fr  Ligue 1,23-055,2002.0,19.6,1071,1036,35,33,2,10,4,1,1,1,0,0,947,0,10
799,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,eng  Premier League,22-318,2002.0,19.8,567,478,87,23,3,0,131,3,58,37,20,0,365,2,21
800,Meschak Elia,COD,"FW,DF",Nantes,fr  Ligue 1,27-217,1997.0,0.9,36,35,1,0,0,0,8,1,0,0,0,0,19,0,1
801,Mikael Ellertsson,ISL,"DF,MF",Venezia,it  Serie A,23-000,2002.0,20.8,459,420,38,1,1,2,15,36,0,0,0,0,321,1,19
802,Harvey Elliott,ENG,"MF,FW",Liverpool,eng  Premier League,21-341,2003.0,1.4,137,124,12,2,0,3,10,5,4,2,1,0,110,1,2
803,Elif Elmas,MKD,FW,Torino,it  Serie A,25-168,1999.0,2.7,74,73,0,0,0,0,1,0,0,0,0,0,64,1,0
804,Elif Elmas,MKD,MF,RB Leipzig,de  Bundesliga,25-168,1999.0,0.5,16,16,0,0,1,0,0,0,0,0,0,0,13,0,1
805,Aritz Elustondo,ESP,DF,Real Sociedad,es  La Liga,30-348,1994.0,7.9,449,408,39,17,2,1,2,22,0,0,0,0,376,2,5
806,Nico Elvedi,SUI,DF,Gladbach,de  Bundesliga,28-162,1996.0,17.5,1197,1107,88,21,3,0,1,1,0,0,0,0,1104,2,8
807,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,es  La Liga,32-308,1992.0,14.7,484,425,56,17,2,2,96,7,29,16,9,0,308,3,24
808,Breel Embolo,SUI,"FW,MF",Monaco,fr  Ligue 1,28-025,1997.0,13.6,273,247,21,1,6,1,2,0,0,0,0,0,191,5,7
809,Emanuel Emegha,NED,FW,Strasbourg,fr  Ligue 1,22-036,2003.0,18.6,217,203,12,0,0,0,0,0,0,0,0,0,169,2,5
810,Emerson,BRA,DF,Milan,it  Serie A,26-056,1999.0,15.3,909,796,110,26,0,3,45,84,0,0,0,0,784,3,23
811,Yunus Emre Konak,TUR,"MF,FW",Brentford,eng  Premier League,19-060,2006.0,0.3,19,18,1,0,0,0,0,1,0,0,0,0,14,0,1
812,Julio Enciso,PAR,"MF,FW",Ipswich Town,eng  Premier League,21-047,2004.0,2.1,87,77,9,2,2,0,4,0,4,3,0,0,60,1,5
813,Julio Enciso,PAR,"MF,FW",Brighton,eng  Premier League,21-047,2004.0,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
814,Wataru Endo,JPN,MF,Liverpool,eng  Premier League,32-030,1993.0,1.6,84,84,0,0,0,0,0,0,0,0,0,0,79,0,1
815,Endrick,BRA,FW,Real Madrid,es  La Liga,18-233,2006.0,1.3,37,35,2,0,0,1,0,0,0,0,0,0,29,0,0
816,Yannik Engelhardt,GER,"MF,DF",Como,it  Serie A,24-032,2001.0,11.9,634,583,50,22,1,3,1,28,0,0,0,0,561,1,9
817,Arne Engels,BEL,"MF,FW",Augsburg,de  Bundesliga,21-184,2003.0,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1
818,Christian Eriksen,DEN,MF,Manchester Utd,eng  Premier League,33-025,1992.0,7.9,479,417,62,18,5,6,50,3,39,14,13,5,385,0,4
819,Martin Erlic,CRO,DF,Bologna,it  Serie A,27-046,1998.0,3.2,217,211,6,5,0,1,0,0,0,0,0,0,198,0,0
820,Patrick Erras,GER,DF,Holstein Kiel,de  Bundesliga,30-049,1995.0,9.2,510,490,20,12,0,0,0,0,0,0,0,0,469,0,3
821,Alfonso Espino,URU,DF,Rayo Vallecano,es  La Liga,33-065,1992.0,5.3,255,206,46,6,0,0,13,40,0,0,0,0,180,3,6
822,Sebastiano Esposito,ITA,"FW,MF",Empoli,it  Serie A,22-252,2002.0,17.9,549,498,48,13,5,3,43,6,19,9,4,0,325,3,32
823,Romain Esse,ENG,MF,Crystal Palace,eng  Premier League,19-302,2005.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
824,Samuel Essende,COD,FW,Augsburg,de  Bundesliga,27-047,1998.0,13.8,225,206,16,2,0,0,3,0,0,0,0,0,145,3,9
825,Dario Essugo,POR,MF,Las Palmas,es  La Liga,19-362,2005.0,14.6,671,659,10,7,4,8,1,1,0,0,0,0,576,2,6
826,Nahuel Estévez,ARG,MF,Parma,it  Serie A,29-117,1995.0,6.0,250,226,23,14,1,1,9,1,8,2,1,0,193,1,6
827,Pervis Estupiñán,ECU,DF,Brighton,eng  Premier League,27-049,1998.0,17.8,1096,930,164,15,0,5,87,119,30,22,6,0,915,2,20
828,Etienne Eto'o,CMR,FW,Rayo Vallecano,es  La Liga,22-205,2002.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
829,Evanilson,BRA,FW,Bournemouth,eng  Premier League,25-156,1999.0,16.2,208,206,1,0,4,2,0,0,0,0,0,0,143,1,8
830,Jonny Evans,NIR,DF,Manchester Utd,eng  Premier League,37-067,1988.0,3.2,196,177,19,5,0,0,0,3,0,0,0,0,174,0,1
831,Edu Expósito,ESP,"MF,FW",Espanyol,es  La Liga,28-222,1996.0,1.7,72,57,12,5,1,1,13,0,6,1,4,0,37,3,1
832,Eberechi Eze,ENG,"MF,FW",Crystal Palace,eng  Premier League,26-255,1998.0,21.4,825,667,144,55,8,4,95,3,54,33,10,0,611,14,17
833,Abde Ezzalzouli,MAR,"FW,MF",Betis,es  La Liga,23-084,2001.0,17.2,606,585,19,3,2,3,41,15,1,0,0,0,425,2,24
834,Giovanni Fabbian,ITA,MF,Bologna,it  Serie A,22-056,2003.0,9.3,164,159,4,1,1,1,7,3,0,0,0,0,119,1,7
835,Łukasz Fabiański,POL,GK,West Ham,eng  Premier League,39-327,1985.0,11.9,454,321,132,38,0,0,0,0,0,0,0,0,304,1,0
836,Alieu Fadera,GAM,"FW,DF",Como,it  Serie A,23-128,2001.0,17.7,572,522,49,1,3,3,39,48,0,0,0,0,428,1,27
837,Wout Faes,BEL,DF,Leicester City,eng  Premier League,26-342,1998.0,22.3,1081,1047,33,16,2,5,2,4,0,0,0,0,937,1,5
838,Nicolò Fagioli,ITA,MF,Fiorentina,it  Serie A,24-027,2001.0,2.8,177,161,15,9,0,2,12,1,3,2,1,0,144,1,3
839,Nicolò Fagioli,ITA,MF,Juventus,it  Serie A,24-027,2001.0,6.3,418,404,14,8,2,6,13,1,5,1,3,0,370,0,3
840,Romain Faivre,FRA,"MF,FW",Brest,fr  Ligue 1,26-240,1998.0,9.1,343,314,28,7,4,0,23,4,16,10,4,0,287,1,7
841,Wladimiro Falcone,ITA,GK,Lecce,it  Serie A,29-333,1995.0,28.0,853,636,213,88,0,0,0,0,0,0,0,0,540,4,0
842,Davide Faraoni,ITA,DF,Hellas Verona,it  Serie A,33-137,1991.0,2.9,94,78,16,1,0,0,12,15,0,0,0,0,65,0,2
843,Abdul Fatawu Issahaku,GHA,FW,Leicester City,eng  Premier League,21-003,2004.0,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18
844,Ansu Fati,ESP,FW,Barcelona,es  La Liga,22-131,2002.0,1.4,63,59,3,3,2,0,0,0,0,0,0,0,53,1,1
845,Khalil Fayad,FRA,"MF,FW",Montpellier,fr  Ligue 1,20-275,2004.0,7.2,343,333,10,9,2,4,3,1,0,0,0,0,295,0,6
846,Jacopo Fazzini,ITA,"MF,FW",Empoli,it  Serie A,21-360,2003.0,8.5,219,198,19,4,3,0,20,1,12,2,2,0,161,2,9
847,Peter Federico,DOM,"MF,FW",Getafe,es  La Liga,22-229,2002.0,3.7,79,70,7,2,0,0,6,4,0,0,0,0,58,2,4
848,Nabil Fekir,FRA,MF,Betis,es  La Liga,31-236,1993.0,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4
849,Mattia Felici,ITA,"MF,FW",Cagliari,it  Serie A,23-328,2001.0,9.1,244,225,17,1,0,2,21,5,11,6,4,0,171,2,8
850,Luiz Felipe,ITA,DF,Marseille,fr  Ligue 1,27-354,1997.0,0.1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1
851,João Félix,POR,"FW,MF",Chelsea,eng  Premier League,25-121,1999.0,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
852,João Félix,POR,MF,Milan,it  Serie A,25-121,1999.0,4.2,145,136,6,1,1,1,2,4,0,0,0,0,114,3,7
853,Kiko Femenía,ESP,DF,Villarreal,es  La Liga,34-037,1991.0,19.2,1174,967,205,46,1,8,40,158,0,0,0,0,1039,2,13
854,Evan Ferguson,IRL,FW,West Ham,eng  Premier League,20-143,2004.0,1.0,23,23,0,0,1,0,0,0,0,0,0,0,18,0,0
855,Evan Ferguson,IRL,FW,Brighton,eng  Premier League,20-143,2004.0,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
856,Lewis Ferguson,SCO,MF,Bologna,it  Serie A,25-199,1999.0,5.9,354,334,18,11,1,0,6,3,3,1,2,0,309,2,6
857,Zinedine Ferhat,ALG,FW,Angers,fr  Ligue 1,32-010,1993.0,6.6,311,269,38,11,3,2,46,5,22,4,14,2,206,4,5
858,Bruno Fernandes,POR,MF,Manchester Utd,eng  Premier League,30-184,1994.0,25.4,1655,1463,180,78,19,14,142,14,68,37,14,3,1236,12,37
859,Edimilson Fernandes,SUI,MF,Brest,fr  Ligue 1,28-330,1996.0,8.9,403,399,4,4,1,3,3,0,0,0,0,0,348,0,3
860,Mateus Fernandes,POR,MF,Southampton,eng  Premier League,20-244,2004.0,23.3,999,871,127,44,8,5,84,8,44,31,12,0,794,1,27
861,Álvaro Fernández,ESP,GK,Sevilla,es  La Liga,26-332,1998.0,7.3,293,237,55,17,0,0,0,0,0,0,0,0,185,1,0
862,Enzo Fernández,ARG,MF,Chelsea,eng  Premier League,24-053,2001.0,22.8,1438,1324,106,42,12,20,74,4,59,36,8,0,1162,8,28
863,Roberto Férnandez,ESP,FW,Espanyol,es  La Liga,22-251,2002.0,5.5,90,87,3,0,0,0,1,0,0,0,0,0,57,0,3
864,Valery Fernández,ESP,"MF,FW",Mallorca,es  La Liga,25-108,1999.0,2.6,68,66,2,0,0,0,3,2,0,0,0,0,59,0,1
865,Matias Fernandez-Pardo,BEL,FW,Lille,fr  Ligue 1,20-036,2005.0,5.2,136,128,7,2,1,1,11,0,5,4,0,0,98,1,4
866,Jordan Ferri,FRA,MF,Montpellier,fr  Ligue 1,32-364,1992.0,12.6,755,718,35,24,0,3,14,11,0,0,0,0,666,2,7
867,Daniel Fila,CZE,FW,Venezia,it  Serie A,22-202,2002.0,1.7,32,30,2,0,0,0,0,0,0,0,0,0,27,0,0
868,Karol Fila,POL,MF,Strasbourg,fr  Ligue 1,26-271,1998.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
869,Kilian Fischer,GER,DF,Wolfsburg,de  Bundesliga,24-150,2000.0,18.2,830,634,195,9,0,2,22,186,0,0,0,0,637,1,19
870,Mark Flekken,NED,GK,Brentford,eng  Premier League,31-271,1993.0,26.4,1280,1043,231,95,0,5,0,0,0,0,0,0,957,6,0
871,Mateo Flores,ESP,MF,Betis,es  La Liga,20-338,2004.0,1.7,69,67,2,2,0,0,1,0,0,0,0,0,56,0,2
872,Phil Foden,ENG,"MF,FW",Manchester City,eng  Premier League,24-287,2000.0,17.9,853,773,77,20,7,2,72,4,42,26,8,1,723,3,22
873,Malick Fofana,BEL,FW,Lyon,fr  Ligue 1,19-345,2005.0,13.2,461,448,12,1,1,0,48,11,0,0,0,0,350,1,24
874,Rayan Fofana,FRA,"FW,MF",Lens,fr  Ligue 1,19-027,2006.0,0.3,8,8,0,0,0,0,0,0,0,0,0,0,5,0,1
875,Seko Fofana,CIV,MF,Rennes,fr  Ligue 1,29-308,1995.0,4.9,279,272,6,5,1,5,4,1,0,0,0,0,250,1,0
876,Wesley Fofana,FRA,DF,Chelsea,eng  Premier League,24-084,2000.0,12.1,765,723,41,23,0,0,1,17,0,0,0,0,689,1,4
877,Yahia Fofana,CIV,GK,Angers,fr  Ligue 1,24-202,2000.0,25.0,761,497,262,65,0,1,0,0,0,0,0,0,526,2,0
878,Youssouf Fofana,FRA,MF,Milan,it  Serie A,26-060,1999.0,21.8,1150,1109,39,37,7,6,7,2,0,0,0,0,992,2,6
879,Jonas Föhrenbach,GER,DF,Heidenheim,de  Bundesliga,29-044,1996.0,19.6,851,690,160,8,0,2,55,152,0,0,0,0,608,1,35
880,Michael Folorunsho,ITA,"FW,MF",Fiorentina,it  Serie A,27-032,1998.0,5.4,171,159,11,7,0,0,14,3,1,1,0,0,127,1,6
881,Michael Folorunsho,ITA,"FW,MF",Napoli,it  Serie A,27-032,1998.0,0.4,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0
882,Lamine Fomba,FRA,MF,Saint-Étienne,fr  Ligue 1,27-044,1998.0,2.4,145,144,1,1,1,2,1,0,0,0,0,0,121,0,4
883,Carlos Forbs,POR,"MF,FW",Wolves,eng  Premier League,20-357,2004.0,2.6,87,85,2,0,0,0,9,2,0,0,0,0,56,0,9
884,Pablo Fornals,ESP,"MF,FW",Betis,es  La Liga,29-017,1996.0,12.3,632,586,44,13,7,8,46,8,23,7,6,0,487,2,16
885,Omari Forson,ENG,"MF,FW",Monza,it  Serie A,20-234,2004.0,0.8,43,42,1,0,0,0,4,1,0,0,0,0,34,0,2
886,Fraser Forster,ENG,GK,Tottenham,eng  Premier League,36-359,1988.0,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0
887,Héctor Fort,ESP,DF,Barcelona,es  La Liga,18-221,2006.0,4.2,310,268,41,3,0,1,7,38,0,0,0,0,278,1,9
888,Dimitri Foulquier,FRA,DF,Valencia,es  La Liga,31-353,1993.0,18.9,953,738,210,30,0,3,46,180,0,0,0,0,734,5,38
889,Juan Foyth,ARG,DF,Villarreal,es  La Liga,27-058,1998.0,7.0,420,370,50,16,2,2,1,30,0,0,0,0,362,0,4
890,Alejandro Francés,ESP,DF,Girona,es  La Liga,22-222,2002.0,7.9,530,444,85,16,0,4,14,69,0,0,0,0,450,1,14
891,Przemysław Frankowski,POL,DF,Lens,fr  Ligue 1,29-333,1995.0,15.4,1092,930,156,11,4,2,78,132,13,4,9,0,875,6,31
892,Enric Franquesa,ESP,"DF,FW",Leganés,es  La Liga,28-013,1997.0,6.8,225,179,43,0,0,0,16,43,0,0,0,0,158,3,9
893,Ryan Fraser,SCO,"FW,DF",Southampton,eng  Premier League,31-015,1994.0,3.4,103,97,5,0,0,0,12,3,2,2,0,0,77,1,2
894,Davide Frattesi,ITA,MF,Inter,it  Serie A,25-140,1999.0,9.3,264,251,11,7,5,0,6,4,0,0,0,0,220,2,5
895,Morten Frendrup,DEN,MF,Genoa,it  Serie A,23-338,2001.0,26.5,971,942,24,17,2,3,3,7,0,0,0,0,822,5,18
896,Martin Frese,DEN,DF,Hellas Verona,it  Serie A,27-066,1998.0,3.7,169,140,28,2,0,0,7,26,0,0,0,0,115,1,3
897,Remo Freuler,SUI,MF,Bologna,it  Serie A,32-330,1992.0,26.6,1490,1412,73,60,2,1,15,11,0,0,0,0,1311,5,13
898,Marco Friedl,AUT,DF,Werder Bremen,de  Bundesliga,26-360,1998.0,15.9,1006,959,46,41,0,2,2,4,0,0,0,0,909,1,3
899,Marvin Friedrich,GER,DF,Gladbach,de  Bundesliga,29-088,1995.0,10.5,680,660,19,10,0,0,0,1,0,0,0,0,606,1,5
900,Jeremie Frimpong,NED,"DF,MF",Leverkusen,de  Bundesliga,24-091,2000.0,18.8,642,582,58,0,0,2,77,58,0,0,0,0,490,2,18
901,Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,es  La Liga,28-019,1997.0,19.5,496,485,9,0,2,1,54,9,0,0,0,0,340,2,35
902,Darío Fuentes,ESP,DF,Sevilla,es  La Liga,22-058,2003.0,0.1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
903,Chris Führich,GER,"MF,FW",Stuttgart,de  Bundesliga,27-061,1998.0,15.7,722,654,65,8,6,1,62,21,36,16,0,0,568,3,17
904,Shiō Fukuda,JPN,"FW,MF",Gladbach,de  Bundesliga,20-337,2004.0,0.5,7,7,0,0,0,0,1,0,0,0,0,0,5,0,1
905,Angelo Fulgini,FRA,"MF,FW",Lens,fr  Ligue 1,28-203,1996.0,10.3,569,523,40,11,7,5,37,8,12,4,6,0,441,6,13
906,Niclas Füllkrug,GER,FW,West Ham,eng  Premier League,32-030,1993.0,4.1,77,70,7,0,0,1,0,0,0,0,0,0,53,0,2
907,Kyogo Furuhashi,JPN,FW,Rennes,fr  Ligue 1,30-050,1995.0,1.0,7,5,2,0,0,0,0,0,0,0,0,0,3,0,0
908,Manuel Fuster,ESP,"FW,MF",Las Palmas,es  La Liga,27-140,1997.0,7.6,388,349,35,15,2,3,45,6,14,6,7,0,299,4,10
909,Matteo Gabbia,ITA,DF,Milan,it  Serie A,25-141,1999.0,15.0,990,960,28,23,0,10,2,4,0,0,0,0,897,2,3
910,Alessandro Gabrielloni,ITA,"FW,MF",Como,it  Serie A,30-244,1994.0,1.2,40,37,3,0,0,0,1,1,0,0,0,0,23,0,4
911,Gianluca Gaetano,ITA,"MF,FW",Cagliari,it  Serie A,24-310,2000.0,9.1,282,263,19,3,2,5,20,3,8,1,7,0,199,0,10
912,Roberto Gagliardini,ITA,"MF,DF",Monza,it  Serie A,30-338,1994.0,1.1,54,51,3,3,0,0,1,0,0,0,0,0,50,0,0
913,Cody Gakpo,NED,FW,Liverpool,eng  Premier League,25-308,1999.0,15.7,482,469,11,2,2,4,54,8,1,0,0,0,368,2,9
914,Javi Galán,ESP,DF,Atlético Madrid,es  La Liga,30-112,1994.0,13.2,698,576,119,13,1,2,35,106,0,0,0,0,578,3,13
915,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,es  La Liga,31-217,1993.0,11.6,602,574,26,19,4,4,22,0,5,0,5,0,498,2,11
916,Conor Gallagher,ENG,MF,Atlético Madrid,es  La Liga,25-033,2000.0,12.1,539,524,13,5,1,1,8,6,1,1,0,0,459,2,9
917,Antonino Gallo,ITA,DF,Lecce,it  Serie A,25-065,2000.0,19.5,868,673,193,16,0,3,84,164,13,6,5,0,587,2,20
918,Gauthier Gallon,FRA,GK,Rennes,fr  Ligue 1,31-322,1993.0,0.5,19,15,4,0,0,0,0,0,0,0,0,0,16,0,0
919,Cristian Gamboa,CRC,DF,Bochum,de  Bundesliga,35-138,1989.0,1.7,89,76,13,1,1,2,7,12,0,0,0,0,54,0,2
920,Idrissa Gana Gueye,SEN,MF,Everton,eng  Premier League,35-166,1989.0,24.2,1017,987,24,5,2,4,5,6,0,0,0,0,876,6,18
921,Ignatius Ganago,CMR,"FW,MF",Nantes,fr  Ligue 1,26-023,1999.0,2.7,77,72,5,0,0,0,3,1,0,0,0,0,59,0,1
922,Silvère Ganvoula M'Boussy,CGO,FW,Monza,it  Serie A,28-262,1996.0,3.3,52,43,9,0,0,0,0,0,0,0,0,0,33,0,2
923,Facundo Garcés,ARG,DF,Alavés,es  La Liga,25-187,1999.0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
924,Aleix García,ESP,MF,Leverkusen,de  Bundesliga,27-256,1997.0,11.1,1002,911,90,33,2,24,72,5,52,27,15,0,880,1,12
925,Álvaro García,ESP,"FW,MF",Rayo Vallecano,es  La Liga,32-135,1992.0,18.6,571,558,10,1,2,4,73,5,1,1,0,0,361,3,27
926,Andrés García,ESP,"DF,MF",Aston Villa,eng  Premier League,22-032,2003.0,3.0,162,141,21,0,0,0,16,21,0,0,0,0,138,0,5
927,Eric García,ESP,"MF,DF",Barcelona,es  La Liga,24-061,2001.0,9.1,693,671,21,17,1,1,1,3,0,0,0,0,642,1,5
928,Fran Garcia,ESP,DF,Real Madrid,es  La Liga,25-209,1999.0,14.6,920,788,131,16,0,1,33,115,0,0,0,0,810,1,22
929,Joan García,ESP,GK,Espanyol,es  La Liga,23-311,2001.0,26.0,829,577,250,96,0,3,0,0,0,0,0,0,586,2,1
930,Pablo Garcia,ESP,FW,Betis,es  La Liga,18-208,2006.0,0.3,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0
