Rank,Player,Value
1.0,Mateo Retegui  •  Atalanta,22
2.0,Moise Kean  •  Fiorentina,17
3.0,Marcus Thuram  •  Inter,14
4.0,Ademola Lookman  •  Atalanta,13
5.0,Artem Dovbyk  •  Roma,11
,Romelu Lukaku  •  Napoli,11
,Riccardo Orsolini  •  Bologna,11
,Lautaro Martínez  •  Inter,11
9.0,Nikola Krstović  •  Lecce,10
,Lorenzo Lucca  •  Udinese,10
