Rank,Player,Value
1.0,Rafael Leão  •  Milan,62
2.0,Ademola Lookman  •  Atalanta,61
3.0,Francisco Conceição  •  Juventus,45
4.0,Gustav Isaksen  •  Lazio,44
5.0,Dan Ndoye  •  Bologna,40
6.0,Khvicha Kvaratskhelia  •  Napoli,37
7.0,Charles De Ketelaere  •  Atalanta,36
,Marcus Thuram  •  Inter,36
9.0,Kenan Yıldız  •  Juventus,35
10.0,Florian Thauvin  •  Udinese,34
