Rank,Player,Value
1.0,Mateo Retegui  •  Atalanta,19
2.0,Moise Kean  •  Fiorentina,16
3.0,Marcus Thuram  •  Inter,14
4.0,Ademola Lookman  •  Atalanta,12
5.0,Lautaro Martínez  •  Inter,11
6.0,Artem Dovbyk  •  Roma,9
,Lorenzo Lucca  •  Udinese,9
,Tijjani Reijnders  •  Milan,9
9.0,Andrea Pinamonti  •  Genoa,8
,Nikola Krstović  •  Lecce,8
,Romelu Lukaku  •  Napoli,8
,Riccardo Orsolini  •  Bologna,8
,Santiago Castro  •  Bologna,8
,Che Adams  •  Torino,8
