Rank,Player,Value
1.0,Manuel Locatelli  •  Juventus,256
2.0,Mattéo Guendouzi  •  Lazio,229
3.0,Marten de Roon  •  Atalanta,196
4.0,Remo Freuler  •  Bologna,167
5.0,Amir Rrahmani  •  Napoli,158
6.0,Éderson  •  Atalanta,156
7.0,Giovanni Di Lorenzo  •  Napoli,151
,Henrikh Mkhitaryan  •  Inter,151
9.0,Sam Beukema  •  Bologna,143
10.0,Nicolò Barella  •  Inter,136
