Rank,Player,Value
1.0,Vanja Milinković-Savić  •  Torino,104
2.0,Wladimiro Falcone  •  Lecce,100
3.0,Mile Svilar  •  Roma,95
4.0,Lorenzo Montipò  •  Hellas Verona,86
5.0,Stefano Turati  •  Monza,83
6.0,David de Gea  •  Fiorentina,81
,Mike Maignan  •  Milan,81
8.0,Zion Suzuki  •  Parma,80
9.0,Marco Carnesecchi  •  Atalanta,73
10.0,Yann Sommer  •  Inter,69
