Rank,Player,Value
1.0,Liam Henderson  •  Empoli,69
2.0,Armando Izzo  •  Monza,65
3.0,Lorenzo Lucca  •  Udinese,59
4.0,Denzel Dumfries  •  Inter,51
5.0,Roberto Piccoli  •  Cagliari,49
,Saúl Coco  •  Torino,49
7.0,Morten Thorsby  •  Genoa,48
8.0,Tomáš Suslov  •  Hellas Verona,46
,Santiago Pierotti  •  Lecce,46
,Santiago Castro  •  Bologna,46
,Morten Frendrup  •  Genoa,46
